trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693534035.6244860,0,0,0,0,0,0,0,0,0
0,0.6634059354762896,0.6687863188998154,1693534035.7305589,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.661354831973474,0.6657371261556195,1693534035.8280528,2,41.74899781478371,0.6316575075925673,0.004663338778750113,0.5072874812427098,0.9593735040499425,10.165963385227615,2.158809279897319e-08,37.11020579598419
2,0.645219636601548,0.6482666746707905,1693534035.9237094,2,4.895179127997987e-05,0.8030415921794145,0.5261695122952522,0.9263677705546425,0.5011296167592567,0.0016302727605977936,0.0033141818351955362,0.0007141248348406739
3,0.645219636601548,0.6482666746707905,1693534036.017907,9,1.2283377262004072e-06,0.8822802251694394,1.2707174379800676e-05,0.5676050891845584,0.558136508700845,1.2559601062903738e-05,0.05182346558157022,0.0005155820423156452
4,0.6605282767633972,0.6656400489200464,1693534036.1106057,9,5.816050729110737e-05,0.8665629888063353,0.0325920573816216,0.6637847381317115,0.6673237645530279,60.33659393783202,0.017612504511100968,31.851892916622575
5,0.6227192316609551,0.6272651919369605,1693534036.20439,9,531.0315100787736,0.7033201509033309,0.001805269551090575,0.7003158136808367,0.9975690801692793,5.965430074702689e-07,42.26384746642457,0.00015577677287057293
6,0.645219636601548,0.6482666746707905,1693534036.2963488,5,0.010493860979464874,0.6868615744119577,0.002125888589290102,0.5175841307354023,0.5421363348659228,0.21144965525721876,0.02301441490595801,1.901419259695876e-08
7,0.645219636601548,0.6482666746707905,1693534036.4015403,4,7.4316076099753975e-06,0.5275099966701,0.00413266644395438,0.7081848286473051,0.5241093749127852,0.005297185179348627,1.0843425669555034,1.367782980341828e-07
8,0.6634059354762896,0.6687863188998154,1693534036.504944,4,2.1969248024797694,0.7463686527182539,0.0034102041481854505,0.7307201300329775,0.9473715369639454,0.011422914637395457,0.010803289934538048,0.0002746113997981817
9,0.5,0.5,1693534036.598658,6,3546.646093239253,0.6042502442300901,0.528332480480921,0.5367350219711328,0.7975762283180452,2.04885256845208e-08,0.04493392181595766,0.023651296436630484
10,0.6642324906863664,0.6688833961353886,1693534036.7369635,11,1.445448146241447e-08,0.9830745882262086,0.8618585921339177,0.9692714833123864,0.8783301855809975,1.3824020810852633e-08,97.01707276394973,1.5715901484831777e-08
11,0.6642324906863664,0.6688833961353886,1693534036.8767855,7,2.066967359810311e-07,0.9886252054458374,0.9595983441460585,0.9950272059639765,0.8798807628924242,2.6284579530332518e-08,28.40746675516166,1.0053485960022297e-08
12,0.6642324906863664,0.6688833961353886,1693534037.0134356,10,1.5867368798016504e-08,0.9598572248858666,0.8519255080674665,0.8697173762700214,0.8508316172271342,2.7935213053036588e-08,24.613471425684313,2.9683915867603535e-08
13,0.6634059354762896,0.6687863188998154,1693534037.1519175,11,2.109367555996738e-08,0.9405200805521832,0.0920149218556733,0.8523742096634022,0.866321668213735,1.2004855728980275e-08,85.000367019353,3.908787489331221e-07
14,0.6605282767633972,0.6656400489200464,1693534037.2843893,8,2.900193043467884e-07,0.9999122135091884,0.06702777951592621,0.997670402849528,0.7482494279683032,4.649299934298461e-06,1.9837653689476331,1.1323495983358345e-08
15,0.6634059354762896,0.6687863188998154,1693534037.4196572,7,0.0009667428126647363,0.8841940205707239,0.8716239727455446,0.8197865612348534,0.8977936918926678,2.8436873654486354e-07,4.867983879389058e-05,1.2967769399189773e-06
16,0.6634059354762896,0.6687863188998154,1693534037.5578818,11,1.2277407559294557e-08,0.814733416396092,0.16063612780445102,0.933340455688018,0.8080470455208084,3.648827692944071e-05,88.45533415039999,6.232696443010911e-06
17,0.6634059354762896,0.6687863188998154,1693534037.6934726,7,5.469176355580363e-07,0.9371652259976887,0.025197315521124284,0.7940550458766125,0.9069129434865133,1.377526314879791e-08,2.825691581714834,3.637729584360056e-06
18,0.6605282767633972,0.6656400489200464,1693534037.8257241,1,0.0004086613924193165,0.9341146594200849,0.14765092444143013,0.9148665839562284,0.7430366609093031,2.3402447920862516e-07,7.37690790469584,2.391419929614236e-08
19,0.6634059354762896,0.6687863188998154,1693534037.972322,10,3.740581566017538e-06,0.8218334040506281,0.8723320698946416,0.9694079431093736,0.909085816287333,0.00011270203304576566,0.33067820160645695,1.0182686420206585e-08
20,0.6634059354762896,0.6687863188998154,1693534038.108984,8,2.369296239586299e-07,0.8955433883769067,0.23053958411665998,0.8904493500597841,0.8339972497525965,1.4199592250271067e-06,8.664394681812333,2.831582662758648e-07
21,0.6634059354762896,0.6687863188998154,1693534038.2544737,11,1.0023965711431009e-08,0.999655917845748,0.8902470207495384,0.8864850883153903,0.8511597266904265,6.458743726003987e-08,16.614985434584273,7.499496541790286e-08
22,0.6634059354762896,0.6687863188998154,1693534038.4002368,10,1.6617823528119736e-07,0.951097303253708,0.30621405411027697,0.9573595791763523,0.8705371447033574,1.0649988395330488e-08,95.9026476133927,1.175422254882051e-08
23,0.6642324906863664,0.6688833961353886,1693534038.5382524,10,9.107114623711758e-08,0.9625284551319508,0.9745893795953124,0.870598793264233,0.779699993828284,1.5565659937939657e-07,9.435911667209433,8.272884922535989e-08
24,0.6634059354762896,0.6687863188998154,1693534038.6842687,8,3.4127571428234803e-06,0.9146406207640487,0.2550462861511566,0.9506963873145078,0.8265440500927336,5.670392374559481e-08,0.30206256361896194,2.50409486455908e-07
