trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693534670.91343240,0,0,0,0,0,0,0,0,0
0,0.01073458661813953,0.009150774276569962,1693534671.0061736,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.12188517513558761,-0.11686826873286815,1693534671.09948,11,0.13002271769376875,0.9863421799824421,0.037504205387428644,0.8488644122986354,0.6080447477901882,57.90879763853604,1.1542570931089779e-08,3.3870657230750124e-06
2,-0.001521245860473197,-0.00124300943800848,1693534671.18729,5,135.51207123830534,0.5988425373001265,0.20652193143111638,0.9917003385876564,0.5819211207023494,0.009404580740729699,1.2298750087705019e-08,7.340283376002147e-05
3,-0.2608460008374205,-0.2504271067690438,1693534671.2726212,1,27320.49604057463,0.7180733234398988,0.5557590377310717,0.8931529929675305,0.9331446492908493,5.390812353997821e-07,5.616760038028798e-08,0.010172488645739896
4,-0.23898728856258789,-0.2293618977404248,1693534671.3654196,2,34.19339140903968,0.7042219300760073,0.004360578579698507,0.968785791975471,0.760848061222479,1.2076298209908342e-07,3.821501829618512e-07,0.002831564879425136
5,-0.1815484567318426,-0.17409107078505093,1693534671.455763,6,1.9450607655105536,0.7007477217951364,0.017742938413568495,0.6984500014508663,0.8119580567741116,0.47211703489834445,6.162246976597645e-07,5.698462384888516e-05
6,-0.23108042411417462,-0.22177727061552566,1693534671.548973,6,8.446407667705342,0.6268398243306916,0.005938876781336054,0.8124654220320489,0.947750583028073,4.2514383359654154e-05,0.023744921064325686,8.212285159374715e-07
7,-0.25341249380327713,-0.24326619169428798,1693534671.6401951,6,2.3539121979928015e-06,0.9591915195698814,0.0014424818478275016,0.9150940510491732,0.7083881523391813,11.134632494184494,0.00011175119427862092,2.0499583194974577e-05
8,-0.2161961475572869,-0.20738659457633268,1693534671.72656,7,978.9656155146594,0.930507155876536,0.009515696575257743,0.5423308055102052,0.7986333036595874,2.847980988233004e-06,0.2118041600779507,8.84123477399595
9,-0.23554835993546108,-0.2260640454351568,1693534671.8207824,6,0.701981447930494,0.5325339061914036,0.0050161861902170285,0.5645933918352188,0.8072814231751659,4.330155279524328e-05,0.47597083616506225,3.057323286593149e-08
10,-0.2601187398537206,-0.24972696970511654,1693534671.942871,10,0.0006384067693214644,0.8528257892348662,0.0001404370438267256,0.7473660493761739,0.9820227132246726,1.4565384766793693e-08,44.09766639281722,3.016802378043057e-08
11,-0.2608460008374205,-0.2504271067690438,1693534672.0581899,4,65761.43476151385,0.8242461243063097,0.7275239847364396,0.976772236373351,0.5201682843629305,1.0792010819768531e-08,0.00013940307601704172,2.807915558703626e-08
12,-0.02075978247671828,-0.019928438163174134,1693534672.1830263,8,0.0004684173763474368,0.8135764863442455,0.10880318937791891,0.995201162638937,0.6599042793937525,0.0027849347741960117,1.621147386204385e-05,0.10760789118781562
13,-0.007684556599322434,-0.00782749154040907,1693534672.306925,4,142.42450145470707,0.5003432285131487,0.1301704219543798,0.9137102032860627,0.8821610085258127,0.008063017613943358,0.002463272469480989,9.5085486877233e-05
14,0.012118931485572304,0.009920574796952408,1693534672.4324775,4,0.021687203349696288,0.6132441432653323,0.8006505420323629,0.9962934729426125,0.9961232371166051,1.2045855494700775e-05,3.145234927391255e-06,1.057633776324432e-08
15,0.011390306899463964,0.009679071086181601,1693534672.5565152,3,0.02059644074056168,0.9000013021196436,0.6171317930825787,0.8291695277817814,0.9831169294127904,6.864564091060374e-06,3.639978616582081e-06,1.1377737120582305e-08
