trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919184.38715270,0,0,0,0,0,0,0
0,0.5518099579594158,0.538570550299676,1694919865.875934,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.5431479915628623,0.5481264696380088,1694920056.413571,6,15,1.6201574660182794,0.4593054539689608,0.2,0.0006842764422737331,0.0001984831160477726,296
2,0.5291805779623969,0.5177114413655934,1694920734.0443764,6,9,1.2422238062946245,0.369220148099485,0.2,2.984898743241403e-05,0.000436326000905218,187
3,0.5468331383223604,0.540715634953924,1694921588.0600498,7,10,2.88636372663845,0.2899189050947725,0.30000000000000004,6.272740951122691e-05,7.145911642048774e-06,177
4,0.5006004502181177,0.513796929430633,1694921857.8592467,6,9,1.496838583603803,0.4819652645339709,0.5,3.674886808676866e-05,1.18282279326507e-06,155
5,0.5264320115238953,0.5325445206156055,1694921974.1630697,9,15,1.0687992773172446,0.288831429064878,0.0,0.0003518988403952359,8.30587763012032e-05,506
6,0.5553848751512049,0.5419359728659039,1694922262.7959235,6,15,3.6114492610044495,0.46137480697283495,0.0,0.0002561327517056228,0.0008798450860128317,243
7,0.49939254191856497,0.5064656952409096,1694922410.5480857,9,12,3.3125622614206733,0.242465537494229,0.0,1.8179296176244347e-05,2.159540917294387e-06,176
8,0.5480765806112045,0.5467372224861939,1694922518.8280883,10,13,3.4499806078460855,0.28304099804637817,0.30000000000000004,0.002727138368335589,0.0006026259730389194,473
9,0.5403990953425575,0.533861511153052,1694922679.2421832,9,8,2.083145255391427,0.017754515880165134,0.30000000000000004,0.0024458406716809855,1.4237325340063056e-06,148
10,0.5437433301630309,0.5365756390353301,1694922924.221563,7,10,3.385262418763096,0.17604746788318426,0.30000000000000004,0.0003021656939744952,5.6298812072471986e-05,485
11,0.5480409641764623,0.532944806854971,1694923284.2065027,10,9,3.530664898330671,0.17301407587797618,0.0,0.0001413276697346565,3.396756319175919e-05,495
12,0.5294916446482348,0.5394485828004288,1694923368.4555023,7,8,3.5791206609645747,0.05555537477018263,0.2,0.003547644527047409,3.501175663142836e-05,264
13,0.5464879392198945,0.5423962460664791,1694923466.601633,9,8,2.7178559464233976,0.20569180788968827,0.5,0.002536323182356849,1.4517315203390512e-06,149
14,0.5551499880618987,0.5427571709002732,1694923599.972164,7,14,1.996144448607032,0.1799915975856538,0.5,0.007259246054113967,1.6713106708306895e-05,467
15,0.5465689830980229,0.5502310733927842,1694923697.0758865,6,8,2.580152696375774,0.33042219547919266,0.5,0.007860906687638546,0.0002040788652006566,404
16,0.5370602194763856,0.5319587476707138,1694924596.7825592,9,14,3.30199414335335,0.48717473944282197,0.2,1.774856842108808e-05,5.23505584448471e-06,163
