trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919177.96885560,0,0,0,0,0,0,0
0,0.028415181641885168,0.013605908190634453,1694919742.8470407,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.024415885163284967,0.024045042012691864,1694920101.8943772,7,8,2.6489874336361274,0.21766119630913844,0.2,9.795000511540233e-05,4.110985094345336e-06,342
2,0.01757997243135545,-0.0034448133488615973,1694920360.2104106,6,10,2.863401498307885,0.26457104713851953,0.0,0.00034732365595985,3.575358516942407e-06,416
3,0.0074117750997853005,-0.004559576435742896,1694921426.088307,10,12,3.539684456072404,0.0398227385045305,0.30000000000000004,1.569854900969735e-05,1.9247174457099903e-05,107
4,-0.02286800492335428,-0.025945016290793044,1694921820.381391,5,13,1.6780360018127076,0.053472842154991485,0.1,0.00011206728613322814,2.5314097805761728e-05,154
5,0.030963019696434113,0.01612309478409002,1694922080.24251,8,12,2.5157101600556473,0.19344632555927965,0.4,0.0005495567374990239,3.0682856964744665e-06,378
6,0.03436885815642021,0.015427631927711905,1694922343.5492868,10,12,3.6685601918384347,0.17080682633555483,0.30000000000000004,0.00019170696418658556,2.0428749782009708e-05,412
7,0.0308267667592641,0.026957579135468146,1694922560.2227745,8,16,2.6326244804443064,0.0410474611375124,0.2,0.0035690407944941483,1.655103393578769e-05,76
8,0.018225829360129064,-0.01107654897455257,1694922809.447305,6,8,3.9815560342638188,0.48529015668858677,0.4,0.0006389271811451121,0.000197187591003829,139
9,0.017742158024177113,0.0062343669422304515,1694923070.6373432,6,12,2.0698728433682767,0.022839482622700025,0.5,0.00021089425929313513,3.250882840670801e-05,209
10,0.01814063028927293,-0.005851325201406299,1694925021.4287949,6,11,3.4960506989035025,0.36837352814355645,0.2,1.0940873837534088e-05,0.0002467259427456143,184
11,-9.591419838983484e-05,-0.043659127794669184,1694925426.6862218,8,8,2.9866060578049773,0.19376171293664074,0.2,0.0001756780540171873,1.128796629309343e-05,311
12,0.013106355899831779,-0.004681148171506555,1694925676.6743064,10,9,1.9397755852891407,0.02089885490765503,0.4,0.0009387223605687395,4.404607756022469e-06,251
13,0.026058942545917674,0.0059319727026760916,1694927453.6834624,8,13,1.511431400451312,0.4408261178742743,0.4,2.5226826744461203e-05,0.00040434295373283,400
14,0.0350567708334758,0.01752744460529887,1694927884.8136604,9,12,1.6625137451843857,0.45922932329480026,0.30000000000000004,0.00010932355063534289,6.18494138052856e-06,474
15,0.023912722137738984,0.005326008090168366,1694928858.887871,7,12,2.825326473415149,0.413124914217079,0.30000000000000004,3.389506606671653e-05,5.939803226865262e-05,283
16,-0.020707951031841976,-0.04694457309049582,1694929244.134927,8,14,1.7374334917123921,0.0933135727932401,0.0,6.640147973859422e-05,1.0733716443793045e-06,346
17,0.0027352762309783563,-0.023556468052550406,1694929637.1292272,6,9,1.2858641567824112,0.14187790373262732,0.1,7.191362841843047e-05,2.59555103379684e-05,310
18,0.013189878159156065,0.009076102431855193,1694930274.35263,10,16,1.146604258688054,0.11605912571808197,0.30000000000000004,3.050701310919681e-05,0.00040779104084007206,161
19,-0.005088762015375892,-0.012177784789447754,1694930480.248124,9,13,3.396656534513889,0.015623781132630798,0.1,0.0012998178519646022,1.830996554246273e-06,77
20,-0.014175334215396962,-0.04451130335622744,1694930737.3456225,7,13,1.1566681821524807,0.03283183310318877,0.0,0.0001532682770680362,0.00010122345064314252,152
21,0.0364753671235144,0.033417840943587906,1694930941.6462107,10,11,2.858924391129894,0.1452133714674942,0.30000000000000004,0.00726072331117408,2.2082292060981207e-05,156
22,-0.034058750186627185,-0.10049784455176858,1694931637.9357977,7,12,2.5228524600158844,0.26286662490547896,0.0,3.113560138227753e-05,2.242237124439076e-05,381
23,0.027155262467558394,0.02331528657761961,1694931885.384058,9,14,2.5083362575276644,0.4783737966536238,0.1,0.00027821112156206445,0.00017584175031052434,449
24,0.007707565996319166,-0.012818307859706835,1694932968.1226633,7,15,2.3337128252521278,0.3578735421431771,0.0,1.190157043089989e-05,0.0006627526617535486,109
25,0.020801943261051004,-0.008167362221752628,1694933247.2734423,8,10,1.6025270313263362,0.19416709105737956,0.5,0.0005138337532426505,0.0005625276002984842,379
26,0.01847457406849129,-0.000622052487403213,1694933472.702411,8,12,1.6564623589881182,0.0023317613675249427,0.2,0.000489923567008617,0.00042627082084232545,368
27,0.01336975318723943,-0.0077854073241747646,1694933848.7331417,10,16,3.8233476209008668,0.408009575962197,0.0,0.00010962006240435195,4.221895539780859e-06,453
28,0.04011786132110673,0.028631585799871684,1694934570.1263509,9,11,2.707421596166906,0.4025657701278508,0.4,4.143630592855349e-05,0.00015561111034364616,424
29,0.02065489478672966,0.01899440396508545,1694934780.7706196,5,8,2.305250949576483,0.11044061093037205,0.5,0.0014423232793974226,0.0001377278857261224,409
30,0.021288220126795432,-0.013567928172143029,1694935002.5190296,6,10,2.879031877603079,0.20723962476269459,0.5,0.0008459744694236698,1.4477748533986258e-05,447
31,0.027187180723274196,0.009823275660067354,1694935203.3892446,7,9,3.344978276998244,0.2361042937079007,0.1,0.0011945318602811943,0.0008738869158779771,174
32,0.02828550112089201,0.010754638353333679,1694935946.4027119,9,14,1.360119376532242,0.4194512972795003,0.2,2.3842080372161136e-05,4.064717986721729e-05,197
33,0.01913936713282749,0.00489124732888313,1694937437.8738651,6,8,1.5966972754884976,0.21479430952820688,0.30000000000000004,1.8286792474081953e-05,0.0001403433255612647,109
34,0.026152570366357764,0.015466394037426223,1694937702.343564,6,14,3.655791023231467,0.49156918052153614,0.30000000000000004,0.0002711496567645669,1.8338451653119129e-06,314
35,0.032585566931618404,0.018904927311706454,1694937902.2410827,6,12,2.826790446803175,0.4166062450613021,0.1,0.009259473219773159,0.0009657190086823811,434
36,0.02015662714531552,0.007672631588474643,1694938157.3171492,9,14,3.625806429413988,0.47575507417286617,0.5,0.0008371743610239532,1.661480138872196e-06,343
37,0.022090707184141523,0.005156046025430072,1694938463.581418,7,9,3.67949855970113,0.4124452406033397,0.30000000000000004,0.000245667535150968,2.936999444502873e-05,181
38,0.008746860244255195,-0.002222688435919773,1694938834.5623014,7,11,1.04516840274511,0.4464529415393579,0.0,0.0001314252016475573,1.939188129785229e-06,152
39,0.022852780243722393,0.02479148601645642,1694939026.0172627,10,11,3.187002405464431,0.06308005431451075,0.1,0.004402566162756363,0.0005127296724662404,193
40,0.018060017619568547,0.004269128960847857,1694939227.5693843,10,14,2.5090203206029797,0.18900120432427775,0.2,0.00717847372753421,0.0001202268547699104,303
41,0.02291761742782361,-0.0002260069263857467,1694940751.3792245,5,10,3.829512168001625,0.27843008312162665,0.2,1.0674588013998261e-05,5.762949337373918e-06,178
42,0.009469337041507875,-0.0062848892671449885,1694940972.4259892,6,11,1.6079471540431713,0.03145077009042052,0.0,0.0003091594364269732,1.6180121229464695e-06,483
43,-0.015488929945628671,-0.0012150119399603199,1694941500.6034045,6,12,2.2440047713199105,0.14566885921649114,0.1,4.313132006547745e-05,6.9311430672973815e-06,116
44,0.02807955593149114,0.01834374867501809,1694941722.981419,9,13,1.934588210028954,0.4401494780787484,0.2,0.000681189430863909,3.711145472625179e-05,209
45,0.02616042974679067,0.02717291616922457,1694941957.8388565,10,15,3.523368844059724,0.47714431827816384,0.0,0.00029947274312977674,0.0006512374351495851,124
46,0.021907535364036668,0.01727976618424598,1694942146.9659033,6,12,3.035264529465648,0.1663799788084746,0.1,0.0021251702794584455,1.2547633200951891e-06,416
47,0.02586987387780093,0.015770067500260776,1694942357.8238063,7,13,3.1165090747203994,0.049234314710708826,0.5,0.0029304708508853076,1.3370397278173426e-05,151
48,0.0006227330645927065,-0.007011616995582726,1694943095.2159207,5,10,3.1395758818061683,0.4065908580899465,0.1,4.58004410101152e-05,9.598039898550333e-06,497
49,0.004690818605631697,-0.02236541947506021,1694943295.2889507,5,9,3.0827173568582813,0.06988174952388282,0.1,0.002567601480169925,7.976922112496562e-06,332
50,0.016158967467149843,-0.011522490711555866,1694945410.69447,8,10,1.7462028666778908,0.14483774533100813,0.5,1.1383464049185403e-05,1.8832554648078567e-06,217
