trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919245.08668230,0,0,0,0,0,0,0
0,0.028668205878490283,0.020895805903788145,1694919328.4267101,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.028917406930530243,0.030457980784367122,1694919359.6042364,6,15,1.6201574660182794,0.4593054539689608,0.2,0.0006842764422737331,0.0001984831160477726,296
2,0.014919408105988352,0.013046161927359523,1694919435.7738726,6,9,1.2422238062946245,0.369220148099485,0.2,2.984898743241403e-05,0.000436326000905218,187
3,0.02995951345742809,-0.03080565166458782,1694919484.793724,7,10,2.88636372663845,0.2899189050947725,0.30000000000000004,6.272740951122691e-05,7.145911642048774e-06,177
4,0.0032634600759743337,-0.021031819638780647,1694919639.3792922,6,9,1.496838583603803,0.4819652645339709,0.5,3.674886808676866e-05,1.18282279326507e-06,155
5,0.028830008896884918,0.030677272800932465,1694919673.1765647,9,15,1.0687992773172446,0.288831429064878,0.0,0.0003518988403952359,8.30587763012032e-05,506
6,0.02778356931167758,0.025077514097252562,1694919694.632168,6,15,3.6114492610044495,0.46137480697283495,0.0,0.0002561327517056228,0.0008798450860128317,243
7,0.02637232189816263,0.016023009476154648,1694919807.7345922,9,12,3.3125622614206733,0.242465537494229,0.0,1.8179296176244347e-05,2.159540917294387e-06,176
8,0.026032612742300842,0.01900387698276529,1694919823.5473826,10,13,3.4499806078460855,0.28304099804637817,0.30000000000000004,0.002727138368335589,0.0006026259730389194,473
9,0.02829832496862761,0.030427085731174475,1694919842.2068608,9,8,2.083145255391427,0.017754515880165134,0.30000000000000004,0.0024458406716809855,1.4237325340063056e-06,148
10,0.03196352993819496,-0.040529072388858056,1694919857.4287758,7,10,3.385262418763096,0.17604746788318426,0.30000000000000004,0.0003021656939744952,5.6298812072471986e-05,485
11,0.02801201051986224,-0.010778871482917562,1694919922.0845313,10,9,3.530664898330671,0.17301407587797618,0.0,0.0001413276697346565,3.396756319175919e-05,495
12,0.0298806901473071,0.016052951769782053,1694919936.2022028,7,8,3.5791206609645747,0.05555537477018263,0.2,0.003547644527047409,3.501175663142836e-05,264
13,0.02460397838836259,0.020089805840707742,1694919959.0359855,9,8,2.7178559464233976,0.20569180788968827,0.5,0.002536323182356849,1.4517315203390512e-06,149
14,0.030449407922395588,0.027674211294952178,1694919986.278222,7,14,1.996144448607032,0.1799915975856538,0.5,0.007259246054113967,1.6713106708306895e-05,467
15,0.03221318237051618,0.030734398411363828,1694920034.8470209,6,8,2.580152696375774,0.33042219547919266,0.5,0.007860906687638546,0.0002040788652006566,404
16,0.017405063207344806,0.01904533448882384,1694920106.2254639,9,14,3.30199414335335,0.48717473944282197,0.2,1.774856842108808e-05,5.23505584448471e-06,163
17,0.027310881137565968,0.024956244515715542,1694920145.3136091,7,15,1.1802885095990494,0.22487177894827803,0.4,6.204619074247734e-05,1.5495405504397167e-06,172
18,0.02999818267022858,0.02728425616820529,1694920168.7808688,5,15,1.5107502269142463,0.09767231278121935,0.4,0.002696848733685888,5.863023497117064e-05,474
19,0.02901379258156367,0.030330181454449656,1694920206.5184903,5,16,2.712925650567417,0.15125905625019714,0.4,0.0009511561954237732,0.0009109705226284621,112
20,0.02709938268349177,-0.029421032742595665,1694920252.8894796,8,12,2.956812357963102,0.12092952704871457,0.0,0.00042923690845744403,1.2420255685052657e-05,464
21,0.028430313695180454,0.017751340089453005,1694920286.1261754,7,11,2.8987166223729015,0.2635894164732811,0.5,0.0023282539244746676,3.090911193891674e-05,158
22,0.03250622221712118,0.005820360429299454,1694920306.2011442,8,14,3.2675914937818424,0.4967520039663336,0.1,0.00018919602192914,1.8687396847552513e-05,207
23,0.027607254349724775,-0.0014838595713515534,1694920334.0130877,7,12,2.626271227231025,0.13261512331339897,0.0,8.047450114295664e-05,2.567085191623447e-06,206
24,0.029661273249971032,-0.03682309958425889,1694920352.2153003,9,13,3.991676399688766,0.280457294905076,0.30000000000000004,0.0008453734817568324,0.00015148447003907127,340
25,0.027826370404797962,0.02890996781431765,1694920396.6117334,8,13,2.064356382093884,0.3886909973142571,0.30000000000000004,8.466273896216145e-05,5.456234101980055e-06,95
26,0.02972234490219461,0.033129242740863374,1694920437.214681,7,8,1.4969254799148897,0.030183216208888863,0.1,0.000110916455605829,5.938365633026796e-05,411
27,0.029593434911442618,0.02603045350912514,1694920467.0601013,8,9,3.681287959696861,0.36529563300335105,0.2,0.0008529442742775006,3.376177590657687e-05,139
28,0.025950206741243376,0.0243930610237737,1694920492.9814744,8,16,3.3109880893527746,0.09074060455972804,0.0,0.006180527298233098,0.0005373933635550875,400
29,0.025604443209560124,-0.08132935239643024,1694920536.5867696,9,9,3.435832574672273,0.09613964788773749,0.0,0.0001664320143592719,1.002648441529462e-06,443
30,0.031182051321999582,0.028802310446496504,1694920584.0059228,5,14,2.748732447770241,0.38513000148573057,0.30000000000000004,0.007663064085532516,1.3782727452618125e-05,287
31,0.02010784772120744,0.03100869080948021,1694920638.8570933,7,14,1.9014876093203177,0.3993931372833341,0.0,5.093202141327329e-05,2.0630353888050023e-05,120
32,0.03045545304840558,-0.0051675522950942465,1694920657.0365016,6,15,2.1172973647494553,0.1093408647288282,0.5,0.000532260202891394,7.964333397432382e-05,463
33,0.030895702190464336,0.021865463781040817,1694920692.054807,9,10,1.0291249249994459,0.2747317297644952,0.4,0.0026126656108645054,3.732235183288299e-06,348
34,0.02962541713954825,0.02573742744983687,1694920733.1238008,10,10,1.877441378892302,0.2128220060196127,0.30000000000000004,0.009336125047041023,5.8156577182928395e-05,462
35,-0.008445724116302511,-0.045364435173803175,1694920747.8473194,8,12,1.9166455891795162,0.1750897890483482,0.4,3.408216243524846e-05,2.5930212459946334e-06,159
36,0.032699023828641094,0.028366571471755253,1694920769.3198016,9,11,1.619508035748492,0.16535220160400094,0.0,0.00020398895841000953,0.00027142381322947407,264
37,0.024231135573975715,0.028321695213130327,1694920786.2773337,7,8,1.8369330162230386,0.037585249943321186,0.0,0.003897236304583299,0.0001389801483560103,436
38,0.027996858088528365,0.021902187123380323,1694920827.9203625,5,11,3.739652626947454,0.21669394549380344,0.5,0.007657803681252959,1.046705060775717e-06,258
39,-0.016013985000416397,-0.036529189588917044,1694920843.5492234,8,11,2.1280960537143883,0.1779107880788992,0.1,1.1970484627954407e-05,0.0001561535994969905,512
40,0.030489900924044466,-0.039530638317587075,1694920858.8907144,5,15,2.6329147929113637,0.009759979411591624,0.0,0.0003770061573264363,2.0591150806774125e-06,196
41,0.031080614715921717,0.027711920346874863,1694920874.9941761,6,16,2.408999454814508,0.14259053213523748,0.5,0.007946575363733098,0.00014394601570633895,125
42,0.02573665968186012,0.026285069468911182,1694920900.438589,10,11,3.358382134591184,0.36074436417598466,0.30000000000000004,0.001999490743288725,0.00027257797845865376,271
43,0.02899376529187514,0.023504065480585368,1694920929.9808068,7,8,2.1125882993569527,0.44306714641397615,0.1,0.0017650026327607998,0.0002629595788154304,152
44,0.02568303465244859,0.011156399183549048,1694920967.0883875,9,13,3.9263776333124225,0.19414657482672687,0.4,0.003402991516867152,1.371569845528306e-05,164
45,0.03156027263599126,0.02081723779585465,1694920981.421996,7,13,1.772162053435883,0.4292494663452597,0.1,0.0019593137983482385,9.186100827325096e-06,290
46,0.028512747868720822,0.006388864309031073,1694921078.5211835,10,12,2.872565537359041,0.17140401805688366,0.2,1.528417721264414e-05,3.6249286720913245e-05,265
47,0.02628384943380946,0.014483032636833926,1694921103.335259,6,9,2.0219911627495843,0.14742526115439258,0.2,0.0026684691288746828,0.00048618178122902177,474
48,0.031766177503737336,0.013117345757749588,1694921117.5130436,7,16,2.761232778165434,0.49830554995838644,0.0,0.0018642093262687953,5.81842860538077e-05,295
49,0.031077678307658063,0.02205932660627441,1694921137.3949099,9,15,3.4932634832157916,0.17205946964009672,0.2,0.0006107386188103477,1.3446703707693385e-06,429
50,0.029561130468529928,0.023705621767641905,1694921176.3953605,8,11,2.9144046238532315,0.47767578876952066,0.4,0.0009299274662544342,4.193986453573337e-06,500
51,0.021455472077493876,0.013295862588608709,1694921310.0349936,7,16,2.503163871399628,0.33620414122876535,0.5,1.4967775629010198e-05,7.660196932368737e-06,143
52,0.03425094430498521,0.03175133076076253,1694921323.7304246,5,11,3.7462022045475805,0.1263581393763415,0.0,0.006691674541526991,3.0194856608293652e-05,275
53,0.028056892879506412,0.02902226619387549,1694921351.5505002,9,15,1.6807219216365294,0.10117642721455411,0.2,0.0034896256947440835,0.0006044553280270744,149
54,0.025145597237634765,0.02946701110222183,1694921471.4501405,9,12,3.634330839227129,0.1478055505865341,0.1,1.1635784912798216e-05,0.0004111995601673527,138
55,0.0325255693465718,-0.010916352079564096,1694921486.4450243,6,10,3.766156541102319,0.04081407988212704,0.2,0.0010997781686803508,3.1383073071051795e-06,323
56,0.02728999101568863,0.01867024613608892,1694921506.6555343,7,8,2.819808663931611,0.1734584410906403,0.1,0.008422675833774467,0.0003288112222761419,265
57,0.02630125749820189,0.03170010206509688,1694921531.1258817,6,8,3.18420952655732,0.13316177491334463,0.30000000000000004,0.000755191711078985,0.00018143371008641956,135
58,0.03572662488519984,0.010713851519967399,1694921576.120997,5,14,1.1543737946014763,0.2033086629839121,0.0,4.2011340724706345e-05,3.699926569193948e-06,441
59,0.03157076213474497,0.02104384823539518,1694921617.2504485,9,10,2.7585042848595975,0.24729940616840757,0.0,0.00011842754336538338,0.00017869111529015828,121
60,0.031431707608382986,0.03030681227534826,1694921636.7770257,6,11,1.0120653472231482,0.3867267589876951,0.2,0.0008241383158590682,3.785322076430055e-05,413
61,0.01713150506289285,-0.18594541915008356,1694921721.9705358,8,11,1.3709848675495868,0.21200308318143385,0.0,1.715922723066881e-05,0.0003086208112964086,296
