trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919182.12104440,0,0,0,0,0,0,0
0,0.499470762535058,0.5140364761690135,1694919199.5270472,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.514174690617919,0.4797360855297594,1694919216.0601737,10,12,3.918053079894653,0.35740799683718233,0.4,4.449062295352051e-05,0.0008488351677146049,66
2,0.5172487046358456,0.5253199474077949,1694919249.33289,6,11,3.3381487653812574,0.09884253730012654,0.5,0.008916656398688452,3.101178212970888e-06,332
3,0.5201513767040443,0.5301241867348919,1694919261.9978352,5,11,1.1324801737944987,0.47832648385711796,0.2,0.007029621154678124,0.0002285167073663151,452
4,0.5215291899286427,0.5301377629023634,1694919292.7937982,6,8,2.8022281641333078,0.08398609185920192,0.4,0.0001680086261350344,3.834656529668796e-05,484
5,0.5249673319987957,0.511522682351873,1694919309.8965933,8,8,1.4746702215543983,0.2726013258516064,0.30000000000000004,0.0008181458511011513,1.6013502457514096e-05,355
6,0.5162175894870832,0.5262642692224405,1694919330.764639,7,13,3.3022149012703714,0.08948695502056542,0.2,0.0003218097351972291,0.00011481568990526385,177
7,0.5137897522302448,0.5197192874767589,1694919348.7957907,8,13,3.686503498168438,0.18142679421656321,0.30000000000000004,3.7526598987597545e-05,3.11445703386225e-05,145
8,0.5266031088739707,0.5297215468191974,1694919386.2405238,10,11,3.4905643062950387,0.2083881523391813,0.5,0.0001638610192492188,9.851979721981257e-06,320
9,0.5172256759397662,0.47936859519757086,1694919412.2405512,10,15,2.7870643512050033,0.04233080551020513,0.30000000000000004,5.449556074899306e-05,0.00015768135589624648,465
10,0.5208069550887607,0.5179560258597498,1694919445.5412273,8,13,1.1952034371484221,0.27003736482140317,0.0,0.0006977318355156063,1.2329658307469299e-05,408
11,0.5165479139487347,0.5305094194658394,1694919469.8968015,5,8,3.052069645370883,0.25732684854182825,0.30000000000000004,0.0033971989561808755,2.9054467312470838e-05,427
12,0.5207659682351885,0.5300734975875606,1694919489.8867252,8,16,3.000783314618878,0.07436341971702848,0.2,0.003956623697822891,1.1242311968217274e-05,148
13,0.5195945681855394,0.47929900237436873,1694919509.4844239,7,11,2.856789779932281,0.2183831459697566,0.1,0.00017274943474446006,1.8075990468578393e-05,469
14,0.5182655588948338,0.5301373319129199,1694919548.06537,10,13,1.2495523677125835,0.3664993587979975,0.4,0.0030065511793871246,1.1024375826514967e-05,90
15,0.5274385857422793,0.5300551805362103,1694919583.750159,8,9,3.278588587489994,0.3972116587883211,0.2,0.006782542404422541,3.3215391925038975e-06,487
16,0.5206060349972799,0.5301747202471466,1694919616.6476038,7,14,3.2584605864412386,0.4906049595656304,0.5,1.3190867985233182e-05,1.1166416754012388e-06,307
17,0.5171730691019337,0.5243560155734683,1694919629.7119055,5,13,2.6047078049933576,0.33327919805013007,0.2,6.567716171462559e-05,0.0007063286458453467,390
18,0.5215238024813948,0.5187402949557666,1694919645.132425,5,8,2.8950767353749387,0.14401841349885408,0.2,0.0022110235670194907,1.1546134560728502e-05,479
19,0.5193992468137474,0.5299567952237942,1694919674.242817,9,12,1.5428945080753071,0.2047956948338247,0.4,0.009384053077655415,1.6632484307268035e-06,124
20,0.5223351942914187,0.5299370654848233,1694919691.5226078,9,15,1.266318572170608,0.41470897486050284,0.4,0.0011605499029943666,1.0465964310687613e-05,263
21,0.5191554384167243,0.5305290055416623,1694919737.6727717,7,15,1.9849664106427245,0.16128748812662785,0.5,0.005753896466559641,0.0008054199377387592,426
22,0.5212927760670579,0.5269929167363832,1694919755.1737347,5,8,2.671246225795612,0.4280918854639088,0.5,0.0008138530935014645,0.0007369088664303212,132
23,0.5184370064807822,0.5155622386587762,1694919775.2572744,6,10,1.7704147626446716,0.15610251614002596,0.0,0.00013366583939300306,1.2283496041087623e-06,305
24,0.513654326595503,0.5231562127942377,1694919790.6908119,10,12,2.872459732990973,0.30590617430086453,0.5,0.0015979278241268612,0.0002981692031065823,214
25,0.5172752193272029,0.5355885821701966,1694919808.4243155,10,9,2.2239468066818526,0.36872598670733814,0.2,0.00455410137723805,0.00038191576547231274,138
26,0.5218174711745164,0.5224249434278468,1694919844.1888463,6,8,3.576162545467855,0.16961245411205944,0.2,6.472863470482327e-05,2.34252193470576e-06,269
27,0.5173419814185888,0.5188074814212423,1694919876.0384731,6,13,1.6082951432183763,0.25569364106787434,0.5,0.00013046713305083193,0.0007288820716531925,89
