trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919183.74945830,0,0,0,0,0,0,0
0,-0.005966848852869022,-0.009114192115934339,1694919210.0411277,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.0023084676756210953,-0.008170774687112248,1694919230.2505484,10,12,3.918053079894653,0.35740799683718233,0.4,4.449062295352051e-05,0.0008488351677146049,66
2,-0.013388474729045807,-0.020848004854931768,1694919243.662237,6,11,3.3381487653812574,0.09884253730012654,0.5,0.008916656398688452,3.101178212970888e-06,332
3,-0.016445635411561632,-0.023733288691168752,1694919259.4033036,5,11,1.1324801737944987,0.47832648385711796,0.2,0.007029621154678124,0.0002285167073663151,452
4,-0.023064232631729853,-0.0277701392034857,1694919327.916649,6,8,2.8022281641333078,0.08398609185920192,0.4,0.0001680086261350344,3.834656529668796e-05,484
5,-0.0004943277684892333,-0.012652058747986805,1694919341.7133675,8,8,1.4746702215543983,0.2726013258516064,0.30000000000000004,0.0008181458511011513,1.6013502457514096e-05,355
6,-0.014708076408395776,-0.02808297342556343,1694919354.9138737,7,13,3.3022149012703714,0.08948695502056542,0.2,0.0003218097351972291,0.00011481568990526385,177
7,-0.025033438709052502,-0.0421559012922994,1694919456.0809133,8,13,3.686503498168438,0.18142679421656321,0.30000000000000004,3.7526598987597545e-05,3.11445703386225e-05,145
8,0.0006268770529381795,-0.002637827792356884,1694919476.0148618,10,11,3.4905643062950387,0.2083881523391813,0.5,0.0001638610192492188,9.851979721981257e-06,320
9,-0.01685629164028213,-0.020157414797060236,1694919517.3985753,10,15,2.7870643512050033,0.04233080551020513,0.30000000000000004,5.449556074899306e-05,0.00015768135589624648,465
10,-0.018760913383131017,-0.03788564167450792,1694919531.4212003,8,13,1.1952034371484221,0.27003736482140317,0.0,0.0006977318355156063,1.2329658307469299e-05,408
11,-0.012621312086402492,-0.010351474579838982,1694919554.9543009,5,8,3.052069645370883,0.25732684854182825,0.30000000000000004,0.0033971989561808755,2.9054467312470838e-05,427
12,-0.013802376044558695,-0.01891251442650521,1694919588.0029924,8,16,3.000783314618878,0.07436341971702848,0.2,0.003956623697822891,1.1242311968217274e-05,148
13,0.0019448336743033146,-0.014049918311756615,1694919602.5963871,7,11,2.856789779932281,0.2183831459697566,0.1,0.00017274943474446006,1.8075990468578393e-05,469
14,-0.015393564376032343,-0.02821371696567687,1694919617.2300854,10,13,1.2495523677125835,0.3664993587979975,0.4,0.0030065511793871246,1.1024375826514967e-05,90
15,-0.01748347746996748,-0.025473774732991394,1694919635.2043405,8,9,3.278588587489994,0.3972116587883211,0.2,0.006782542404422541,3.3215391925038975e-06,487
16,-0.00602215361348768,-0.005732991099270723,1694919697.345121,7,14,3.2584605864412386,0.4906049595656304,0.5,1.3190867985233182e-05,1.1166416754012388e-06,307
17,-0.011480106468982454,-0.016205682211374306,1694919718.833353,5,13,2.6047078049933576,0.33327919805013007,0.2,6.567716171462559e-05,0.0007063286458453467,390
18,-0.024266841753506352,-0.03575964592393355,1694919736.9527736,5,8,2.8950767353749387,0.14401841349885408,0.2,0.0022110235670194907,1.1546134560728502e-05,479
19,-0.012101708346461848,-0.021892649520859564,1694919757.0721684,9,12,1.5428945080753071,0.2047956948338247,0.4,0.009384053077655415,1.6632484307268035e-06,124
20,0.0019177853095284636,-0.032867415183928106,1694919770.6786954,9,15,1.266318572170608,0.41470897486050284,0.4,0.0011605499029943666,1.0465964310687613e-05,263
21,-0.007548296426286294,-0.006407995909913922,1694919783.71355,7,15,1.9849664106427245,0.16128748812662785,0.5,0.005753896466559641,0.0008054199377387592,426
22,-0.010981210138035324,-0.051019201945704085,1694919796.503793,5,8,2.671246225795612,0.4280918854639088,0.5,0.0008138530935014645,0.0007369088664303212,132
23,-0.022439000062538517,-0.0706896211348309,1694919834.0069668,6,10,1.7704147626446716,0.15610251614002596,0.0,0.00013366583939300306,1.2283496041087623e-06,305
24,-0.0014474498911629663,-0.010497066103805741,1694919848.0728514,10,12,2.872459732990973,0.30590617430086453,0.5,0.0015979278241268612,0.0002981692031065823,214
25,-0.010106091601743028,-0.03071098668879002,1694919862.0718048,10,9,2.2239468066818526,0.36872598670733814,0.2,0.00455410137723805,0.00038191576547231274,138
26,-0.021032945597740937,-0.049557107239072584,1694919888.4822023,6,8,3.576162545467855,0.16961245411205944,0.2,6.472863470482327e-05,2.34252193470576e-06,269
27,-0.018654682928720412,-0.049160164437831444,1694919950.965917,6,13,1.6082951432183763,0.25569364106787434,0.5,0.00013046713305083193,0.0007288820716531925,89
28,-0.011859625891766035,-0.01786059323082978,1694919964.5328605,8,13,3.885259953237579,0.46259256561421136,0.30000000000000004,0.0018987090503368171,0.0008466732617738975,394
29,-0.0015687440177118983,-0.023250707848399665,1694919979.7936254,10,16,2.445301484199793,0.3299471154401091,0.1,0.0002046776477642779,0.00039661813361326347,323
30,-0.012733332440965972,-0.08092628605477392,1694919994.426616,6,9,1.695565605455064,0.06249628239336197,0.1,0.00014149465354880965,1.3449173389986114e-06,440
31,-0.019526536900095204,-0.12772145548434222,1694920042.8893027,7,13,2.90840204429243,0.06642100323304478,0.0,2.9484694901710973e-05,0.0009092308650157958,110
32,-0.0034653746895678683,-0.025236279504340153,1694920062.618745,7,15,2.752826958126363,0.00876683568589448,0.5,0.00014205057291421199,3.185595456474709e-06,215
33,-0.01572463860840201,-0.03366776249200654,1694920125.2807176,8,8,2.929925563943508,0.30505320015926096,0.1,0.00018969386296088618,3.806667027822461e-06,73
34,0.00036987335047955483,-0.23843932289460268,1694920138.731658,8,12,3.52616994412606,0.09952782698187695,0.2,0.0010054572212417753,1.6032597513020866e-06,223
35,-0.021897756711848126,-0.02951798053726251,1694920152.986378,9,10,2.0919319673981307,0.28868184939548963,0.2,0.004269180411029675,0.000379877730011595,438
36,-0.006473294216585934,-0.01494539528514971,1694920166.092225,7,9,2.916589309430786,0.21407749072110016,0.30000000000000004,0.0008977484730113977,0.0006604266708420986,426
37,-0.0007484383417057927,-0.06276260055638483,1694920183.7032933,5,16,3.031201998126491,0.15971259758473627,0.4,0.0002660061989906854,4.8205622053901455e-05,320
38,-0.01577730976843683,-0.01645299485857188,1694920198.7852535,5,11,2.307204223731999,0.02886254958449125,0.4,9.55904064289166e-05,2.6949989324780304e-05,489
39,-0.008697126349341389,-0.01383964378096958,1694920221.000517,10,10,2.200815108364676,0.2856171019425834,0.0,0.0024465445909146906,9.359569645055359e-06,115
40,-0.0020138677370242775,-0.009521244968918374,1694920368.672809,9,12,1.08130120288132,0.2813918065680425,0.4,1.2391617633903937e-05,9.392103333575578e-05,176
41,-0.013947572851197743,-0.010917430766493874,1694920476.2674618,7,8,2.5966855687450603,0.46941445432781215,0.1,1.5510012117888208e-05,0.0003504927040463736,489
42,-0.011631837231456998,-0.009837268680791711,1694920496.5960739,7,16,3.725921237706456,0.3672595899980381,0.4,3.062052987549914e-05,0.0003440466244854202,250
43,-0.014965966594041813,-0.01621071661081297,1694920509.2205842,6,13,3.5724797044706884,0.21658432690441703,0.0,7.275030873879474e-05,7.176832259408753e-06,376
44,-0.027072785321326398,-0.031760224252233904,1694920559.3907125,10,12,1.7608375773008365,0.3515649400258526,0.0,1.5306901297643658e-05,8.851628984127697e-05,232
