trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1695100824.0314450,0,0,0,0,0,0,0
0,-0.006566751801868609,-0.0024033173351225567,1695101774.3770761,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.016642089082939848,0.010790953439034134,1695102019.9693816,8,14,1.8727142167388329,0.2554138025988315,0.5,0.004885165336171604,2.380981008777947e-06,157
2,-0.012003338332769786,-0.024939399401601392,1695102191.3755188,5,11,1.089628632635701,0.22841661219735554,0.30000000000000004,6.846393360094252e-05,0.00010684758386306284,329
3,0.019229815093155467,0.0005112737387760191,1695102343.7989635,5,13,1.7777573407223963,0.20755059850503482,0.1,0.0012006426178129766,2.0958546137692438e-05,134
4,-0.002958261811528917,0.005531954032276243,1695102508.0071495,8,15,1.9190905971285392,0.1109789419660907,0.2,0.006443932010830324,0.0008472006248632765,365
5,0.001992801808648248,0.01480268323965872,1695102683.0790353,10,15,2.1339821239866676,0.04610850443586212,0.30000000000000004,0.00047154406945875663,1.215330197968237e-05,165
6,0.008896301675765717,-0.003220673093293991,1695102857.3828986,7,12,1.8077067347531837,0.1458963871127163,0.2,0.0038159417695365293,5.7379758149718936e-05,191
7,-0.01799306547086066,-0.024451731819476574,1695103544.3253953,6,12,1.6162310338149626,0.10068935552153657,0.30000000000000004,1.8267878159225086e-05,2.823297197583363e-05,226
8,0.0042080921588107945,-0.007313704393392628,1695103679.6278033,9,14,3.073278765567293,0.34459020687745706,0.2,0.0010101931381810488,1.0460344598514096e-05,321
9,0.005251898165895108,-0.03671061939438913,1695103994.1149988,6,12,1.1845867924898177,0.12133771109216906,0.5,4.917593352751772e-05,0.00011869502953305068,356
10,-0.007553230570471525,-0.012975094142215537,1695104571.2776003,9,12,2.7899913238055882,0.03348471196641317,0.0,3.953011510085378e-05,2.854848005699732e-06,108
11,-0.012517660212716608,-0.014836072695800784,1695104656.689535,5,12,1.5634444747716347,0.4760506215156041,0.4,0.00041981603259058355,0.00013229450401542684,182
12,-0.008858759507508251,-0.02976750076594259,1695105009.1727924,10,15,3.1789584952841117,0.24011997804270502,0.5,0.001714971749145451,9.571449652053148e-05,474
13,0.005801433479975082,0.006633907255485627,1695105110.486672,8,11,2.6585337194513365,0.09819028835006843,0.1,0.0015031726726942977,0.000226365433728117,500
14,0.009907273140787543,0.002524094635034446,1695105274.8105378,10,12,1.2693726085691943,0.2444366223080564,0.5,0.0023059750206383873,2.852874572333906e-05,268
15,-0.0023625717595536777,-0.004615672223815981,1695105545.8030372,6,9,1.2208710076580727,0.44619659379354626,0.30000000000000004,2.6915159166155542e-05,1.7473534393341244e-05,86
16,0.009717466802837693,0.009682272363421784,1695105784.8359556,6,14,2.953368311324798,0.23948914868848886,0.1,0.0009050433365501446,0.0007401990680373163,259
17,0.013895443662074736,0.008536938674122418,1695105965.0324156,5,8,1.2486130563926723,0.47985359362661056,0.30000000000000004,0.0032537733519507014,3.236686472450496e-06,180
18,-0.053489936451204256,-0.06431773874189917,1695106070.9545279,9,16,2.0220654533804785,0.03233659899514163,0.5,7.457913423805202e-05,0.00016720421421487076,134
19,0.003775985423501216,-0.001115335094315828,1695106430.6917326,9,15,3.1814562362401277,0.1795537624317457,0.4,2.6206038368953362e-05,8.738911590189812e-06,252
20,0.01669212304137402,0.011205304262001836,1695106585.4816751,10,9,3.6403743707479466,0.39948215961040195,0.5,0.00012679699170605103,4.119260967891291e-06,172
21,0.0019786992962979033,0.0022001714049877386,1695106692.1614861,9,16,3.0964299951412704,0.24124852088691495,0.1,0.0031700320495519027,0.00041355999861361766,105
22,-0.0036003185937982796,-0.003697271928908119,1695106792.604726,6,15,3.544911691238488,0.15732649938199866,0.1,0.00019608531313154804,4.1527855125952765e-05,106
23,0.011261200440072172,0.011062831437292808,1695106977.2367568,10,12,3.3249034451227706,0.11541813278816343,0.5,0.0017909436519458247,1.0697482708907862e-05,489
24,0.005805971732196991,0.003846904255330741,1695107411.83648,9,15,1.1364919175676067,0.027820770525844085,0.4,8.204635632995882e-05,3.551019829883781e-05,134
25,-0.029879022533895405,-0.026224441807589205,1695108144.6886272,10,12,3.4870032354241762,0.0370188981399982,0.2,1.5375825488177987e-05,0.0004494944080657061,264
26,-0.006212752936252786,-0.034094539490344467,1695108655.2017887,5,8,2.61637797400951,0.03778320225261539,0.1,0.00020373763123160044,3.114214289026227e-05,325
27,0.008096182326781554,0.005235072126149598,1695108804.6372833,8,11,2.8562097489417395,0.07862232919256812,0.1,0.002489744672721097,2.879173936063787e-06,164
28,-0.008352402899004963,-0.011908235019761015,1695109758.5639746,6,12,1.0022365661256938,0.015155680261233262,0.2,3.072996422053306e-05,0.00010927112423128635,421
29,0.004634229795872913,0.007431260571433174,1695109854.4565778,8,14,2.172874047201636,0.02314810149647417,0.2,0.00013059932630084037,6.1803024159046e-05,124
30,-0.0026536852536567235,0.0006524599648440876,1695110480.1924076,6,15,1.7929765799206394,0.20516010245358163,0.5,6.708993777325458e-05,2.7281602481700836e-06,379
31,-0.004218281046260541,-0.033115410828263636,1695111150.1050634,8,13,1.1260925529807209,0.2086334473786134,0.0,5.4904306028493746e-05,0.00013127092658504698,91
32,-0.0018362396784477042,-0.001856828553004286,1695111354.8579051,6,16,3.9136666906809268,0.2409231943398525,0.4,0.0007906191375302389,2.4950497768776423e-05,448
33,0.01575242412501221,0.0067505353895734865,1695111483.050163,6,15,1.126208570374954,0.43347684590639923,0.4,0.0002176418103557107,0.00010344529510907331,270
34,-0.022029642932219096,-0.016123252114432773,1695111656.676325,9,9,2.5244722865458162,0.43574476997193645,0.5,4.5815137535978945e-05,5.698898311110619e-06,469
35,-0.0033919626750040788,0.0025012853110669697,1695112190.19773,7,8,3.1446600163360987,0.20720942957667893,0.4,0.00026994475918930944,3.174655930547344e-05,251
36,-0.0066047268459903385,-0.0029342629054576186,1695113032.104316,6,16,3.0063627339553216,0.3944161716714836,0.5,5.6307575414583374e-05,0.0005747273198016907,451
37,0.0074055036793643225,0.0088226497282885,1695113233.315569,8,13,1.3447967141103356,0.3810579202788843,0.1,0.0003994920333132419,2.3950352828995323e-06,96
38,-0.022722549321266383,-0.02450757998464459,1695113618.247125,8,12,3.024429804217818,0.39542709152714217,0.5,1.787483506781119e-05,7.827739013293682e-05,323
39,0.0032283248268536457,0.006347952189290962,1695114035.3647408,8,12,2.6721021625906047,0.4342773168202443,0.2,0.0004026491029623885,0.00011827449742130177,104
40,0.01617456402530515,0.013648140765181171,1695114324.9405015,7,8,1.4134296787330998,0.0010627792329545027,0.1,4.465928722378063e-05,3.537801353107229e-05,320
41,0.015264306374133896,-0.018534729934937877,1695114435.3654416,9,12,3.674363796765375,0.1975303948875829,0.4,0.0004552728868330392,7.438326839657043e-05,185
42,-0.005418218169995104,-0.0037867559663000705,1695114801.869582,10,14,1.4367850872097199,0.26871718497228675,0.5,1.4033596893086091e-05,8.099524319415838e-06,396
43,-0.003550195091878594,-0.004132656030764181,1695115010.1458082,5,14,2.720263839951283,0.3658528377810333,0.30000000000000004,0.006579765789092699,1.0944731422658882e-05,321
44,-0.061244731367202654,-0.03930634850422665,1695115137.2497895,5,12,2.2581788309438116,0.49158089389510073,0.5,2.5991912994209e-05,1.3330514898218793e-06,118
