trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1695071393.82321670,0,0,0,0,0,0,0
0,0.7609535950027542,0.7574160606447577,1695071800.1966543,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.7531007120324579,0.7428747173122361,1695072016.6733775,10,10,3.4636873691734955,0.02084831286262495,0.0,0.0006097561546572525,3.88554628405112e-05,252
2,0.7630836448220872,0.7553643005604244,1695072264.4169211,7,13,2.314424278326622,0.3679410531743451,0.30000000000000004,0.0005452250496085,8.631082894759621e-05,508
3,0.7660359236625893,0.7606113686945235,1695072487.7772744,9,11,3.628802965619882,0.41187971628526066,0.0,0.0014318967708737353,0.0002549832705274941,394
4,0.7611606418033746,0.7645951272046363,1695073091.2602837,9,12,1.3744725231418293,0.4788236477348342,0.2,4.475622834815355e-05,0.00014184941183004415,510
5,0.7589888847148518,0.7520518103339807,1695073457.3054404,6,14,2.79701773941735,0.35866607277775653,0.5,0.00011361333430245636,5.766367170514039e-06,244
6,0.7536262236242485,0.7559138139495432,1695073873.3093565,9,14,2.218323388175168,0.4946899241400012,0.2,0.00013225902058291894,0.00013455065569188584,101
7,0.730482859950863,0.7375119912407495,1695074126.2865353,7,14,3.2942529505014013,0.14192969177884868,0.1,0.00025927037402924744,1.0102250505453406e-05,393
8,0.7633391018458744,0.7607411970323497,1695074329.5472178,6,10,3.5326852624677065,0.30751201716118803,0.5,0.008504701225373414,0.00032413488817427356,145
9,0.7679470103186764,0.7629979421764583,1695074549.1621711,8,12,2.2124699640181844,0.37094184377450456,0.4,0.001121216528866238,2.6170668507961323e-06,379
10,0.7281342938318821,0.7493860665634964,1695074789.645364,5,9,3.774381294865589,0.20255122868199582,0.0,0.0011139389558157927,3.0936149106853432e-06,355
11,0.7377309875179081,0.7320760179338979,1695075116.6797898,6,8,3.8761678009479215,0.033110240406715785,0.30000000000000004,0.00010565493171236114,9.550573603988117e-05,443
12,0.7390111027729674,0.7393395709001749,1695075408.0556695,8,13,1.3510991066039255,0.35522516772138846,0.1,0.0002958716677783146,1.2877323063226874e-06,205
13,0.7579941663446766,0.7557031004300163,1695075876.4082925,10,13,2.640123478829457,0.1839123294670561,0.4,6.74607831042068e-05,2.3821824731020616e-06,316
14,0.7615789061315346,0.7542315897688503,1695077668.895226,6,14,1.5382190366186173,0.3916283356687478,0.30000000000000004,1.3342789314026061e-05,4.8286463247867974e-05,363
15,0.7744706230380827,0.7694160113331042,1695077888.3885336,10,15,3.2512914145625125,0.24852548791727663,0.0,0.0028222955392180208,1.0986800347544048e-06,310
16,0.7441001343867795,0.7383809583853864,1695078504.6741037,8,9,1.1883287194937928,0.28736211248351196,0.2,8.021697699347688e-05,1.3163963642261573e-06,348
17,0.7215750809791317,0.7123930302265696,1695079967.8913283,5,8,1.829999766035594,0.15077277004708062,0.1,1.5883049494562623e-05,0.00021762153063753932,243
18,0.7618604301985654,0.7631218913055917,1695080169.298855,6,12,1.7649570816796452,0.4259542309022136,0.2,0.0007403717741595398,0.0008302664990208447,223
19,0.7732202986895873,0.7689685884766975,1695080370.0008852,6,16,2.7612232630024383,0.49084069436875033,0.5,0.0013041027393192947,1.1432926906321188e-06,339
20,0.7657115006901063,0.7479881213854591,1695080551.1271248,6,9,2.098783404709082,0.10004675255711004,0.4,0.006346634603027928,1.2000716994724838e-06,178
21,0.7080123239022275,0.7167547498311276,1695082476.67467,6,9,3.8544979324890005,0.12380597629498169,0.2,1.4022235741865537e-05,5.1807425796470025e-06,460
22,0.7689467931429675,0.7704814043476531,1695083124.4421594,10,13,1.890583320492534,0.029667986349001252,0.5,2.920267883930221e-05,6.436418434827899e-06,310
23,0.765866115495174,0.7660736895662571,1695083313.3201702,6,15,2.506644647639506,0.2423446966189638,0.5,0.0055693582803465905,5.307415780794587e-06,72
24,0.7320313912740647,0.7234139167938205,1695084313.0139427,9,10,1.0429193546209026,0.04856519568516032,0.2,2.29955965797757e-05,4.1808731656746635e-06,398
25,0.7580635791569711,0.7524494022904996,1695084511.5680265,7,9,1.645970994915535,0.46512162708365223,0.0,0.0008425884822877243,8.589889614836287e-05,369
26,0.7707869774414318,0.7676695681036145,1695084701.5469747,8,15,3.4655415467490736,0.3234146676706115,0.1,0.0015094509699431474,7.147205400557066e-06,441
27,0.7667112835143975,0.7657055439028484,1695086217.6111,8,8,3.732856589062511,0.23122795560207493,0.5,1.3227471860687646e-05,2.100704224481869e-06,403
28,0.7671268666609667,0.7694245370232029,1695086406.4292629,5,12,3.4482574958809824,0.20959886957554974,0.1,0.0033902502481200194,2.0976786399166433e-06,193
29,0.7792791732665938,0.7712784474976279,1695086604.831918,6,12,1.958771160866985,0.45454708782690684,0.4,0.0013099419600204145,2.6285143420859582e-06,338
30,0.765909312309692,0.7683835820869522,1695086795.3252168,10,16,2.9866317612740403,0.12948973688442977,0.1,0.0008061836304793846,0.00014901099908573814,201
31,0.7564170357511733,0.7611288898084202,1695087801.9041455,9,12,3.4881572593974965,0.34164902964928673,0.5,2.2899123643322606e-05,0.00033052125942035587,489
32,0.7392938184762607,0.7560942436818439,1695088070.5785012,8,8,1.100536852363419,0.20623300709589842,0.2,0.00027099136402181003,0.00011072930228883028,402
