trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1695048470.4430240,0,0,0,0,0,0,0
0,-0.006040157234139754,-0.003595965612072316,1695048821.651799,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.011097307182688976,-0.005504183957280695,1695049025.8651187,10,10,3.4636873691734955,0.02084831286262495,0.0,0.0006097561546572525,3.88554628405112e-05,252
2,-0.0004855360407625131,-0.0020921882397755276,1695049268.6465764,7,13,2.314424278326622,0.3679410531743451,0.30000000000000004,0.0005452250496085,8.631082894759621e-05,508
3,-0.006712908374017612,-0.008004169136328398,1695049395.9484127,9,11,3.628802965619882,0.41187971628526066,0.0,0.0014318967708737353,0.0002549832705274941,394
4,-0.0013217018693369997,0.0006726484423109635,1695050330.6660268,9,12,1.3744725231418293,0.4788236477348342,0.2,4.475622834815355e-05,0.00014184941183004415,510
5,-0.0037603487119279855,-0.004910404280339398,1695050855.0243163,6,14,2.79701773941735,0.35866607277775653,0.5,0.00011361333430245636,5.766367170514039e-06,244
6,-0.007539956500079326,-0.0014750292750598248,1695051154.3093462,9,14,2.218323388175168,0.4946899241400012,0.2,0.00013225902058291894,0.00013455065569188584,101
7,-0.01058366329672955,-0.00010040827949198139,1695051314.536696,7,14,3.2942529505014013,0.14192969177884868,0.1,0.00025927037402924744,1.0102250505453406e-05,393
8,-0.004132727843155548,-0.0017464334834056405,1695051399.1776054,6,10,3.5326852624677065,0.30751201716118803,0.5,0.008504701225373414,0.00032413488817427356,145
9,-0.0026732310881938393,0.0007113122970201502,1695051616.1663218,8,12,2.2124699640181844,0.37094184377450456,0.4,0.001121216528866238,2.6170668507961323e-06,379
10,0.0014363602029805467,0.0009759144667249586,1695051770.3231916,5,9,3.774381294865589,0.20255122868199582,0.0,0.0011139389558157927,3.0936149106853432e-06,355
11,-0.0069071348085465445,-0.009371837293637997,1695051990.1226535,6,8,3.8761678009479215,0.033110240406715785,0.30000000000000004,0.00010565493171236114,9.550573603988117e-05,443
12,-0.010146559857029391,-0.0004203008589027668,1695052179.740367,8,13,1.3510991066039255,0.35522516772138846,0.1,0.0002958716677783146,1.2877323063226874e-06,205
13,-0.008939049321040171,-0.00520797361961578,1695052687.5887198,10,13,2.640123478829457,0.1839123294670561,0.4,6.74607831042068e-05,2.3821824731020616e-06,316
14,-0.008325333891038511,0.0008485973362917232,1695053584.0547996,6,14,1.5382190366186173,0.3916283356687478,0.30000000000000004,1.3342789314026061e-05,4.8286463247867974e-05,363
15,-0.0053509451801778685,0.0020401567677519328,1695053766.0428462,10,15,3.2512914145625125,0.24852548791727663,0.0,0.0028222955392180208,1.0986800347544048e-06,310
16,-0.004080562859285708,0.001140396620523343,1695054265.0676115,8,9,1.1883287194937928,0.28736211248351196,0.2,8.021697699347688e-05,1.3163963642261573e-06,348
17,-0.004722865285438305,-0.0019838812532166905,1695055168.4872415,5,8,1.829999766035594,0.15077277004708062,0.1,1.5883049494562623e-05,0.00021762153063753932,243
18,-0.056673776284020816,-0.03623944957604408,1695055498.944314,6,12,1.7649570816796452,0.4259542309022136,0.2,0.0007403717741595398,0.0008302664990208447,223
19,-0.10866622103179213,-0.09527074984856654,1695055969.9058876,6,16,2.7612232630024383,0.49084069436875033,0.5,0.0013041027393192947,1.1432926906321188e-06,339
20,-0.034217167116082026,-0.0179696086839205,1695056197.1136675,6,9,2.098783404709082,0.10004675255711004,0.4,0.006346634603027928,1.2000716994724838e-06,178
21,-0.006995084128664342,-0.000666000681729173,1695057079.3704917,6,9,3.8544979324890005,0.12380597629498169,0.2,1.4022235741865537e-05,5.1807425796470025e-06,460
22,-0.006050624589940323,-0.0010477127352981341,1695057755.1738923,10,13,1.890583320492534,0.029667986349001252,0.5,2.920267883930221e-05,6.436418434827899e-06,310
23,-0.001520746521290084,-0.00012673442324451223,1695057909.8322449,6,15,2.506644647639506,0.2423446966189638,0.5,0.0055693582803465905,5.307415780794587e-06,72
24,-0.015759840027502747,-0.00889384749506017,1695058466.2111096,9,10,1.0429193546209026,0.04856519568516032,0.2,2.29955965797757e-05,4.1808731656746635e-06,398
