trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694931081.1845760,0,0,0,0,0,0,0
0,0.032472929651627624,0.01524211045570556,1694931172.938761,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.03793237524594051,0.04075521175626373,1694931224.1866388,5,15,2.3152276943226804,0.3617325889154706,0.5,0.00041256046816885543,3.186848301848486e-05,96
2,0.038579170691768416,0.043101580281634244,1694931312.453366,6,12,3.0376899883628212,0.40186951805218774,0.2,1.5769177465114226e-05,7.318748070568242e-06,472
3,0.039186181693590005,0.04598122671362215,1694931330.8641841,6,12,3.7936180590670654,0.012449613775174007,0.30000000000000004,0.00708579365703796,4.908046142647316e-06,310
4,0.03429528080215605,0.04095719567654532,1694931430.2930667,10,9,2.5702377420212974,0.3752049295510174,0.4,0.0002530804390632403,4.1166815298913515e-06,284
5,0.03418196783196181,0.038157733987750686,1694931488.4832926,7,12,2.097671157341779,0.4189589971546303,0.4,8.749516039671551e-05,5.2224705295550614e-05,187
6,0.039552918882687416,0.04843901137173812,1694931512.8404956,7,11,2.9721983883392746,0.1851755414940176,0.2,0.0014387070359969392,1.733706140314814e-05,470
7,0.04226407908335006,0.04435133438736383,1694931529.2984197,6,14,2.267122130929421,0.21322678634247116,0.30000000000000004,0.0003704406205831021,1.7565395603787856e-05,64
8,0.03811031389107744,0.03721506252975226,1694931547.1997297,5,14,2.5730367902955917,0.34808023175848446,0.5,0.0011187719344910795,1.4433979096775668e-06,202
9,0.033209318706024726,0.00846243769946442,1694931571.4310448,8,10,3.8949129986083806,0.4725241118963969,0.5,0.00026119928805934097,0.000334526205726917,122
10,0.03806486737594561,0.03642721223573531,1694931617.9772646,6,12,3.2255416020504004,0.24291261435444833,0.0,0.0001073024378778868,9.403261396688389e-06,198
11,0.037829991096200555,0.03834928691019002,1694931659.3300703,5,11,2.34436197250817,0.3874501879070086,0.4,0.00036912238561546403,2.4093000436241034e-05,413
12,0.04207058903785055,0.049407710041117214,1694931674.9066918,10,14,3.4014371469953906,0.4695556768660927,0.0,0.004236577687455798,6.755993411216161e-06,277
13,0.039822950884599195,0.016910108585444283,1694931703.5672197,9,14,1.441442715825079,0.32937412947707273,0.0,0.000117818064807615,0.0002744660615749158,256
14,0.040814151494518836,0.04898999641185697,1694931730.569564,8,14,3.4636828249196787,0.38025755999014155,0.0,0.0001822932135784472,2.4513687990780896e-05,88
15,0.03817793957971227,0.038328781886164065,1694931786.8832893,8,13,3.485359584988376,0.47090463409572425,0.0,4.9123807770427834e-05,9.494567605563916e-05,123
16,0.01204866057896814,0.012295962320606368,1694931932.156736,6,13,1.5085711706986276,0.39111507566188913,0.5,1.2618932390649884e-05,3.962181946752041e-05,421
17,0.03154490217016004,0.04031197847708945,1694932092.553902,10,10,1.50730319009615,0.43835046509081765,0.5,3.9138003559263876e-05,2.111490968280512e-05,386
18,0.03507419453660965,0.03476115242754574,1694932254.4574773,10,9,2.994906888714283,0.40391772964803474,0.30000000000000004,3.119966826450738e-05,1.2781635090469893e-06,190
19,0.03542391288719693,0.03237627749333161,1694932315.8580709,9,8,1.024649515117936,0.18080832385602863,0.0,2.8083996482830847e-05,1.173737835458384e-06,299
20,0.04026378519543228,0.04773619656875272,1694932332.3296106,9,11,1.403711375934063,0.16567860548120283,0.30000000000000004,0.006637188930314547,0.0009498896541379822,172
21,0.03954616737533745,0.044202193070909335,1694932361.377779,5,15,3.7798388133101697,0.22930173988398467,0.4,0.0039682324321492195,6.742863918157172e-05,455
22,0.028076181817617507,-0.019730454255961316,1694932483.657954,5,10,1.8316587480828859,0.060316214153079084,0.5,1.2340075021438294e-05,0.00010415571116059818,96
23,0.03799671674067162,0.04596595015108307,1694932529.8764718,7,11,1.5442128671721007,0.26050705164108817,0.30000000000000004,8.93576308607206e-05,0.00016265378678455733,135
24,0.0397218610872786,0.0444590027144246,1694932554.8434849,6,11,2.135128400294258,0.10314292825032717,0.5,0.0030498656502201964,2.0923302443652307e-06,229
25,0.03497510023332351,0.03831729097388448,1694932589.835921,6,12,1.8289515586323801,0.25090344555921174,0.5,0.0001404537751579456,8.920413491851165e-05,331
26,0.036279287581518216,0.034378565485236656,1694932725.1971295,9,8,3.2344710210454286,0.4731379635862139,0.30000000000000004,7.290206435949084e-05,0.00010401779788715094,383
27,0.0385023779381527,0.043967709579621594,1694932768.0400074,8,9,3.9204267048091026,0.47769172591043946,0.2,0.0006038262488109538,1.3148787950638036e-06,507
