trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694929755.492360,0,0,0,0,0,0,0
0,0.8290273977576617,0.8202296101924985,1694930300.270101,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.8118792763697683,0.8065793018203237,1694930592.1504216,6,8,2.3896555794950336,0.3624669645960739,0.2,0.00028594420172544803,1.0923012830060756e-06,282
2,0.842075383168642,0.8315161618735899,1694930817.554914,10,15,3.1898934106624557,0.05436803593448747,0.5,0.003727887014635882,3.1279503637247993e-06,347
3,0.8200176254901403,0.8108618528607563,1694931063.9317722,5,9,1.9491019348376213,0.07895615333746847,0.4,0.002849876719299812,1.081118932799183e-05,207
4,0.8095543554410046,0.7974529402456478,1694931415.9328914,5,8,3.138177807066529,0.29977169812882776,0.0,0.00027503745770253506,1.603354082325706e-05,444
5,0.8452311959353852,0.8371303090961604,1694932018.6398277,9,13,2.6571514645164918,0.47455119887331876,0.5,0.00010331470713610107,5.2435333814151534e-06,421
6,0.8053376919502286,0.7972537821488591,1694932522.7130518,5,11,1.2100684078735073,0.159683853525455,0.0,7.42661655584571e-05,0.0002345866915453269,470
7,0.8218443490770261,0.8162480626325671,1694932817.9425213,9,13,2.848055155217954,0.1807417711016009,0.1,0.0002035742300959646,0.0001579341360590834,92
8,0.8410863066379307,0.8363856316700304,1694933041.247095,5,14,1.899856028291663,0.35058213752175843,0.4,0.006290915931816627,1.5884929758604036e-05,224
9,0.8287985647413075,0.8210532988978689,1694933265.9690945,9,14,2.957844219746752,0.40548328697753366,0.30000000000000004,0.007453017800400486,1.0037446982295981e-05,395
10,0.8225412624208057,0.8162153094303671,1694934734.6868134,10,11,2.8348959902044433,0.18283508378857655,0.2,1.678827131899691e-05,1.1429575134408604e-06,405
11,0.8144240233572928,0.8069473018983104,1694935529.4384136,7,13,3.219854553393684,0.2093317150909204,0.2,3.214300173793064e-05,0.00024077823129993223,438
12,0.841811648191614,0.8322380051952478,1694935726.0748692,9,15,2.94416932592744,0.3480330873853286,0.1,0.0020086150148506386,1.005191211628364e-05,260
13,0.8159162229098158,0.8165975750025821,1694936282.1315207,6,13,2.9760770542992656,0.28777927052761726,0.1,4.508272157001442e-05,0.0003426222735466225,199
14,0.8298566007910924,0.8246608545617806,1694936487.8167815,7,8,1.9029375095228016,0.042847403006693374,0.2,0.0013424652518631212,0.0008354198061155371,344
15,0.8388580697695822,0.8273485730205944,1694936683.8286705,6,13,2.880993457573932,0.4128261145361251,0.30000000000000004,0.005412089804905535,1.7640504757223524e-05,192
16,0.832777388258136,0.8228042292052324,1694936890.2237368,8,16,3.171733787858842,0.24695650056675295,0.2,0.0008834187138131173,2.2045171466286607e-05,311
17,0.8212460900656353,0.8119526431539241,1694937262.2328215,10,16,3.5220562911659345,0.06352413055569966,0.30000000000000004,0.00012568447434812053,0.0005437339527912917,204
18,0.832526882250073,0.8234200359751238,1694937448.7126677,10,10,2.261172324536955,0.4799813236702409,0.30000000000000004,0.0062581485097137285,4.1357175959101474e-05,166
19,0.827744891436607,0.8250414436667741,1694937634.3833725,9,12,2.516419505858713,0.06824225662777189,0.0,0.00614915362276888,0.0007382012770119224,497
20,0.8359545925491633,0.8180458874536018,1694939318.8408546,7,8,2.6617818184647577,0.36815473589103564,0.30000000000000004,1.4414465643080551e-05,4.996299889983138e-06,380
21,0.8313824357008779,0.8231563649359925,1694939504.1081207,5,15,3.9672434847380678,0.1238998212416011,0.0,0.008691203622787223,0.00020028519787478201,267
22,0.819016445860163,0.8110524578701459,1694939822.6575668,7,16,2.067490239587806,0.026589914389497815,0.30000000000000004,8.662321089404485e-05,0.00011083505190407683,489
23,0.8309895071758714,0.8159897624976828,1694940049.6783729,7,10,1.158855604325342,0.4158299697652392,0.0,0.0071866491108050325,0.00013135387327125578,473
24,0.8356821320819667,0.828842165609442,1694940246.2140303,9,9,1.5277104451778725,0.48069388587853706,0.1,0.002354184944210269,3.2536470787849615e-06,198
25,0.8280013082605904,0.816812147284103,1694940885.8522022,9,10,3.255601507488563,0.4396280315261994,0.1,7.872698671712239e-05,1.2111501359862881e-06,253
26,0.8292548234368917,0.8276720380572962,1694941101.2325807,5,13,3.0638087406143124,0.2841529154639537,0.30000000000000004,0.0006294341657112455,0.0005104371640032628,302
27,0.8425041987903092,0.8259051192199485,1694941670.199799,10,11,1.4218776557604418,0.1109385455177812,0.4,4.887099390439124e-05,0.00020778454529947788,469
28,0.8391540327667487,0.8264048306347437,1694942319.513268,8,9,2.870489810371855,0.18974859419326767,0.5,4.6872211143647774e-05,5.045050709257538e-06,280
29,0.8294902709377284,0.8146988982598922,1694944380.6427643,7,9,2.123006705109567,0.33408551113385615,0.2,1.5106337495756723e-05,1.7616618392265467e-05,250
30,0.8412709492685928,0.8327859926568872,1694944575.8109565,7,8,1.8219771754232474,0.47520563279124745,0.5,0.006639371610548615,0.0001890907615188002,258
31,0.8130276634629106,0.8017855990285928,1694945238.6636245,10,10,2.7796475787673685,0.2937171118986061,0.2,5.6377347995321794e-05,9.804971295721193e-06,352
32,0.8248031346464164,0.8096373953523547,1694945485.116002,6,11,2.0623078971433912,0.16240293519560084,0.4,0.00043386638693263864,1.1352975046518823e-06,396
33,0.8378412686975292,0.8246100327684146,1694946416.5422108,8,15,2.4836909064611783,0.15541887649306274,0.5,3.31157860442957e-05,6.8364353206880445e-06,281
34,0.8418434540106153,0.8273844463145679,1694948049.2193604,10,9,2.0160654111280594,0.2661200895533734,0.4,2.0681508256871083e-05,0.00018443820978593397,314
35,0.8450473977069974,0.8349781443004258,1694950111.1353502,8,11,1.9439413603910651,0.4452523103944422,0.5,3.3546297510368894e-05,4.310260657998212e-06,363
36,0.8076331995331018,0.8021855451208579,1694950400.5732644,9,15,1.9073366146723751,0.10455015281892555,0.0,0.0001345850439870037,4.869161813090417e-05,455
37,0.8133640170355344,0.8127035141950671,1694951495.2343473,5,8,2.959435374592345,0.3356605294135568,0.0,1.9457951241159274e-05,1.2131903271740562e-06,355
38,0.8251113414765613,0.8139372233188766,1694952534.2407546,6,10,2.993646978338158,0.0605002333829438,0.30000000000000004,1.8740213097193344e-05,1.57488275078218e-06,364
39,0.8196615691977812,0.8086030305994696,1694952998.4299781,9,12,2.206438174717771,0.3507743992643668,0.0,6.836733096681463e-05,0.0005197592489632499,490
40,0.8316733322843981,0.8264141753872196,1694953203.153013,5,8,3.3036523668264404,0.2259391380988856,0.4,0.0008490811095905436,2.2074921642867922e-05,382
41,0.8435195925252384,0.8259016265799035,1694953439.792156,8,8,2.3983615512899332,0.44100232473394574,0.4,0.0009221134608895209,7.323794844445027e-05,430
42,0.825035345271868,0.8077657749278802,1694954170.0062442,6,11,2.8919687972714936,0.410477891059579,0.1,3.202095944430042e-05,6.557961126065573e-06,261
43,0.8227405413575568,0.8228525052520768,1694954457.3484921,5,13,3.689440082282928,0.17109890609792683,0.5,0.000181503214671837,4.047914973472587e-05,502
44,0.8344733702262069,0.8253322641611885,1694955015.9906793,9,12,3.263674049870391,0.23665366378407449,0.4,4.6456579804611465e-05,1.7009308117243334e-06,333
45,0.8337504211456344,0.8313907838573964,1694955211.295279,8,12,1.352432287167628,0.46727198152890115,0.0,0.007987205640152935,9.00237960719213e-06,190
46,0.8409759714074131,0.8308433862638535,1694955407.5755467,10,16,3.10198421132351,0.47761752046718636,0.1,0.003714710573006743,7.154779273808672e-05,196
47,0.793161974088672,0.7859888848360467,1694956549.2706125,8,8,3.3759694024228333,0.320938662128459,0.0,4.560120850926883e-05,7.50281153351035e-06,276
48,0.8247628848046713,0.8163093468232235,1694956795.3873923,6,10,2.654448420191456,0.07349281442297378,0.4,0.00022475278298081088,1.664580210163944e-05,321
49,0.8272161548791392,0.8144062771154991,1694957623.5283267,5,16,1.3454780386157328,0.2735592984794667,0.5,2.615614508039108e-05,0.0001248621858971177,501
50,0.8219642541999865,0.8224857470016618,1694957809.987109,10,11,2.877290016495386,0.4711879811512971,0.30000000000000004,0.004153930605100235,0.00012380169127986898,80
51,0.820682170080069,0.8061748696259562,1694958479.1382723,7,16,2.406401681924832,0.21698496425856711,0.1,3.014459555918951e-05,0.00010153594392554472,241
52,0.8131911960367134,0.8104651199973326,1694958726.7991211,10,8,3.6230479912741664,0.04618466173802921,0.4,0.00023663293792446094,0.00016615936323293145,266
53,0.8233231789268717,0.8148683922005653,1694959188.9131613,5,16,2.9274340304190587,0.10740848190882468,0.30000000000000004,4.2548920711084806e-05,1.6062413175717252e-05,331
54,0.8362794059573706,0.831409007677009,1694959384.4401288,8,8,1.577700731557123,0.22912397942300128,0.30000000000000004,0.0037302061243958064,5.3727412431182355e-05,428
55,0.8307429417117556,0.809391823950079,1694959590.2536812,7,9,1.839074490663024,0.012487270972741105,0.2,0.0008063083097407592,0.0003356731129669606,169
56,0.8469290074417173,0.8378698329378681,1694959900.8777754,9,14,3.0736569331332517,0.4816893129690323,0.30000000000000004,0.00021412538317864605,4.077522043366572e-05,66
57,0.8045014522311783,0.8021085052428872,1694960136.2784848,5,12,2.12977900338965,0.06749055250857666,0.2,0.0008401638210689586,3.701313081465829e-05,241
58,0.8316467336127555,0.8225685924235293,1694960341.6103888,9,8,3.6584211267719544,0.3395661822343499,0.2,0.0011890359054192415,0.0006572472067180737,358
59,0.8225561801943194,0.8161186797224552,1694961964.223713,9,14,3.747045749491901,0.44466288065512777,0.1,1.1675764841484738e-05,6.814680344940185e-06,227
60,0.8392866039238247,0.8360463799003254,1694962159.7784908,6,12,3.8139630928149146,0.094676952038449,0.2,0.0031559136442002983,2.4727918779231096e-06,222
61,0.8324195024275158,0.821323644760197,1694962449.0844944,8,14,3.5855272615321674,0.12799005879564657,0.5,0.00020163076586754381,2.4712236370402796e-06,135
62,0.8375481203746107,0.8303620383742726,1694962645.0479722,7,15,1.2069528236203684,0.10875266804778061,0.4,0.0029518611198095864,3.981764015516434e-06,89
63,0.8277182927649642,0.8259238242477451,1694962871.929057,8,15,1.1493052080712578,0.26130477181757095,0.0,0.0006347307495932815,2.174326303259066e-06,123
64,0.8356289347386815,0.8280809563537657,1694963067.7634537,8,16,1.085816225163967,0.04970018470803278,0.1,0.0027802203028904934,5.258436571114357e-06,186
65,0.8252605192116999,0.8084948053266082,1694963356.5484097,7,15,1.840803764599733,0.23586011149327407,0.2,0.00031532629970373063,2.175558287765983e-05,425
