trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694930067.86097760,0,0,0,0,0,0,0
0,0.051528923106899716,0.05345944942660941,1694930655.006399,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.01180602149718879,0.0032680602997982033,1694931033.1568584,5,15,2.3152276943226804,0.3617325889154706,0.5,0.00041256046816885543,3.186848301848486e-05,96
2,0.018572747078148044,0.03008622046867937,1694932201.7758794,6,12,3.0376899883628212,0.40186951805218774,0.2,1.5769177465114226e-05,7.318748070568242e-06,472
3,0.03884187342502021,0.0020427843796980705,1694932442.472873,6,12,3.7936180590670654,0.012449613775174007,0.30000000000000004,0.00708579365703796,4.908046142647316e-06,310
4,0.027093920141969874,0.040334210678262816,1694932823.5724952,10,9,2.5702377420212974,0.3752049295510174,0.4,0.0002530804390632403,4.1166815298913515e-06,284
5,0.031644349113342685,0.052639718486095166,1694933375.4398735,7,12,2.097671157341779,0.4189589971546303,0.4,8.749516039671551e-05,5.2224705295550614e-05,187
6,0.02589907449458706,0.008847872001305435,1694933605.2514088,7,11,2.9721983883392746,0.1851755414940176,0.2,0.0014387070359969392,1.733706140314814e-05,470
7,0.004416175480526974,0.011053935181494556,1694933835.1073859,6,14,2.267122130929421,0.21322678634247116,0.30000000000000004,0.0003704406205831021,1.7565395603787856e-05,64
8,0.012183209561818398,0.017134426924023116,1694934122.1570132,5,14,2.5730367902955917,0.34808023175848446,0.5,0.0011187719344910795,1.4433979096775668e-06,202
9,0.016135464406452527,0.04710213938409147,1694934463.9943693,8,10,3.8949129986083806,0.4725241118963969,0.5,0.00026119928805934097,0.000334526205726917,122
10,0.020835080043715704,0.03325425177009811,1694934827.4156387,6,12,3.2255416020504004,0.24291261435444833,0.0,0.0001073024378778868,9.403261396688389e-06,198
11,0.045116564519381175,0.06693056408510933,1694935088.8544707,5,11,2.34436197250817,0.3874501879070086,0.4,0.00036912238561546403,2.4093000436241034e-05,413
12,0.008335355311076986,0.013833613890605223,1694935270.486881,10,14,3.4014371469953906,0.4695556768660927,0.0,0.004236577687455798,6.755993411216161e-06,277
13,0.015192113887173342,0.03072855358372395,1694935561.7118256,9,14,1.441442715825079,0.32937412947707273,0.0,0.000117818064807615,0.0002744660615749158,256
14,0.03804700702922781,0.011153576520986141,1694935852.2634,8,14,3.4636828249196787,0.38025755999014155,0.0,0.0001822932135784472,2.4513687990780896e-05,88
15,0.016975954827757045,0.015489547200000842,1694936463.5338883,8,13,3.485359584988376,0.47090463409572425,0.0,4.9123807770427834e-05,9.494567605563916e-05,123
16,0.031637807274702,0.04560395931566352,1694938459.9434307,6,13,1.5085711706986276,0.39111507566188913,0.5,1.2618932390649884e-05,3.962181946752041e-05,421
17,0.02388989223777549,0.026923322394289295,1694940469.303396,10,10,1.50730319009615,0.43835046509081765,0.5,3.9138003559263876e-05,2.111490968280512e-05,386
18,0.03747361638908109,0.05437744142403267,1694941742.5877285,10,9,2.994906888714283,0.40391772964803474,0.30000000000000004,3.119966826450738e-05,1.2781635090469893e-06,190
19,0.015435397286618358,0.008327338508380189,1694942680.3997927,9,8,1.024649515117936,0.18080832385602863,0.0,2.8083996482830847e-05,1.173737835458384e-06,299
