trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1695727258.09713960,0,0,0,0,0,0,0
0,-0.027917594310371108,-0.023174562289580702,1695727405.917136,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.023389465784954044,-0.017039721169366695,1695727525.5777595,10,10,3.4636873691734955,0.02084831286262495,0.0,0.0006097561546572525,3.88554628405112e-05,252
2,-0.014232808529564211,-0.0221721243692099,1695727753.5498493,7,13,2.314424278326622,0.3679410531743451,0.30000000000000004,0.0005452250496085,8.631082894759621e-05,508
3,-0.008405154081361,-0.018233521856978907,1695727859.8467667,9,11,3.628802965619882,0.41187971628526066,0.0,0.0014318967708737353,0.0002549832705274941,394
4,-0.015382524422134836,-0.014939771445615646,1695728406.9712625,9,12,1.3744725231418293,0.4788236477348342,0.2,4.475622834815355e-05,0.00014184941183004415,510
5,-0.012678565626296212,-0.00889672598847846,1695728556.7984686,6,14,2.79701773941735,0.35866607277775653,0.5,0.00011361333430245636,5.766367170514039e-06,244
6,-0.015877712029200186,-0.012564088717760269,1695728680.9279232,9,14,2.218323388175168,0.4946899241400012,0.2,0.00013225902058291894,0.00013455065569188584,101
7,-0.019339310651874664,-0.02261836502485237,1695728840.6859355,7,14,3.2942529505014013,0.14192969177884868,0.1,0.00025927037402924744,1.0102250505453406e-05,393
8,-0.0020483082825533128,-0.006409507462664887,1695728990.0717542,6,10,3.5326852624677065,0.30751201716118803,0.5,0.008504701225373414,0.00032413488817427356,145
9,-0.011383558659691095,-0.008724069920647448,1695729126.8115928,8,12,2.2124699640181844,0.37094184377450456,0.4,0.001121216528866238,2.6170668507961323e-06,379
10,-0.01967027389647824,-0.005481119001247814,1695729221.3148746,5,9,3.774381294865589,0.20255122868199582,0.0,0.0011139389558157927,3.0936149106853432e-06,355
11,-0.0010143330248888471,-0.004945905099632331,1695729338.737206,6,8,3.8761678009479215,0.033110240406715785,0.30000000000000004,0.00010565493171236114,9.550573603988117e-05,443
