trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1695131084.55699920,0,0,0,0,0,0,0
0,0.4956832249920685,0.5046108922185811,1695131118.0108414,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.5183160114813989,0.5074534236025402,1695131136.789049,8,14,1.8727142167388329,0.2554138025988315,0.5,0.004885165336171604,2.380981008777947e-06,157
2,0.4780798632752488,0.49103513395987164,1695131160.9170709,5,11,1.089628632635701,0.22841661219735554,0.30000000000000004,6.846393360094252e-05,0.00010684758386306284,329
3,0.5103414843665818,0.5035490332735938,1695131192.8123715,5,13,1.7777573407223963,0.20755059850503482,0.1,0.0012006426178129766,2.0958546137692438e-05,134
4,0.4889388656255804,0.5148793797313502,1695131219.0750473,8,15,1.9190905971285392,0.1109789419660907,0.2,0.006443932010830324,0.0008472006248632765,365
5,0.5212497384284104,0.5043050660071294,1695131250.0772657,10,15,2.1339821239866676,0.04610850443586212,0.30000000000000004,0.00047154406945875663,1.215330197968237e-05,165
6,0.4957327267122533,0.5040824548640197,1695131263.5391824,7,12,1.8077067347531837,0.1458963871127163,0.2,0.0038159417695365293,5.7379758149718936e-05,191
7,0.5155039137610032,0.5063750950086101,1695131309.2937691,6,12,1.6162310338149626,0.10068935552153657,0.30000000000000004,1.8267878159225086e-05,2.823297197583363e-05,226
8,0.5221216437271197,0.5045539256532416,1695131342.1995978,9,14,3.073278765567293,0.34459020687745706,0.2,0.0010101931381810488,1.0460344598514096e-05,321
9,0.49625499486107144,0.5042350970873615,1695131383.4322567,6,12,1.1845867924898177,0.12133771109216906,0.5,4.917593352751772e-05,0.00011869502953305068,356
10,0.5178552454697802,0.5099696500668226,1695131397.4533422,9,12,2.7899913238055882,0.03348471196641317,0.0,3.953011510085378e-05,2.854848005699732e-06,108
11,0.5178409949745754,0.5145480770316904,1695131445.580995,5,12,1.5634444747716347,0.4760506215156041,0.4,0.00041981603259058355,0.00013229450401542684,182
12,0.5243998478947143,0.5163360903832663,1695131464.1071784,10,15,3.1789584952841117,0.24011997804270502,0.5,0.001714971749145451,9.571449652053148e-05,474
13,0.5144811282192057,0.505402613706199,1695131498.4165373,8,11,2.6585337194513365,0.09819028835006843,0.1,0.0015031726726942977,0.000226365433728117,500
14,0.5167124557578376,0.5093520111432344,1695131520.038125,10,12,1.2693726085691943,0.2444366223080564,0.5,0.0023059750206383873,2.852874572333906e-05,268
15,0.4980095558320652,0.4989878073401054,1695131533.0464976,6,9,1.2208710076580727,0.44619659379354626,0.30000000000000004,2.6915159166155542e-05,1.7473534393341244e-05,86
16,0.49312463608110385,0.5021757408518075,1695131547.898285,6,14,2.953368311324798,0.23948914868848886,0.1,0.0009050433365501446,0.0007401990680373163,259
17,0.5247443598665055,0.5044806926007473,1695131580.5319884,5,8,1.2486130563926723,0.47985359362661056,0.30000000000000004,0.0032537733519507014,3.236686472450496e-06,180
18,0.5142783711733983,0.5049586781113029,1695131597.677883,9,16,2.0220654533804785,0.03233659899514163,0.5,7.457913423805202e-05,0.00016720421421487076,134
19,0.5242845938896376,0.5029483109548817,1695131623.755869,9,15,3.1814562362401277,0.1795537624317457,0.4,2.6206038368953362e-05,8.738911590189812e-06,252
20,0.5042148964676522,0.49859486535398323,1695131638.4244027,10,9,3.6403743707479466,0.39948215961040195,0.5,0.00012679699170605103,4.119260967891291e-06,172
21,0.5179149975461648,0.5143793714829816,1695131659.7102103,9,16,3.0964299951412704,0.24124852088691495,0.1,0.0031700320495519027,0.00041355999861361766,105
22,0.5130170773434377,0.5060509706921242,1695131689.7123568,6,15,3.544911691238488,0.15732649938199866,0.1,0.00019608531313154804,4.1527855125952765e-05,106
23,0.5175579851399836,0.5153427105049353,1695131712.657009,10,12,3.3249034451227706,0.11541813278816343,0.5,0.0017909436519458247,1.0697482708907862e-05,489
24,0.514794889122397,0.5014871713759885,1695131732.3902287,9,15,1.1364919175676067,0.027820770525844085,0.4,8.204635632995882e-05,3.551019829883781e-05,134
25,0.5230994277051128,0.510159321912047,1695131794.4708772,10,12,3.4870032354241762,0.0370188981399982,0.2,1.5375825488177987e-05,0.0004494944080657061,264
26,0.5183832638184177,0.5037366193244621,1695131811.9278831,5,8,2.61637797400951,0.03778320225261539,0.1,0.00020373763123160044,3.114214289026227e-05,325
27,0.5154307862198212,0.5180278863120721,1695131840.7961838,8,11,2.8562097489417395,0.07862232919256812,0.1,0.002489744672721097,2.879173936063787e-06,164
28,0.49043179250478963,0.505329949506711,1695131871.090357,6,12,1.0022365661256938,0.015155680261233262,0.2,3.072996422053306e-05,0.00010927112423128635,421
29,0.5145258797743222,0.5020703676044606,1695131892.063673,8,14,2.172874047201636,0.02314810149647417,0.2,0.00013059932630084037,6.1803024159046e-05,124
30,0.49169046124352817,0.5035051774156364,1695131908.9331143,6,15,1.7929765799206394,0.20516010245358163,0.5,6.708993777325458e-05,2.7281602481700836e-06,379
31,0.4984591964570769,0.5027514742706024,1695131926.3472617,8,13,1.1260925529807209,0.2086334473786134,0.0,5.4904306028493746e-05,0.00013127092658504698,91
32,0.516876211448348,0.5146444840721294,1695131943.2811396,6,16,3.9136666906809268,0.2409231943398525,0.4,0.0007906191375302389,2.4950497768776423e-05,448
33,0.4876979475036758,0.49722900865363573,1695131958.5300853,6,15,1.126208570374954,0.43347684590639923,0.4,0.0002176418103557107,0.00010344529510907331,270
34,0.4942146739599202,0.5137117818477975,1695131974.386497,9,9,2.5244722865458162,0.43574476997193645,0.5,4.5815137535978945e-05,5.698898311110619e-06,469
35,0.5149452693481098,0.5125163507992967,1695131987.5639389,7,8,3.1446600163360987,0.20720942957667893,0.4,0.00026994475918930944,3.174655930547344e-05,251
36,0.4874846900929808,0.4916666962379935,1695132002.8633716,6,16,3.0063627339553216,0.3944161716714836,0.5,5.6307575414583374e-05,0.0005747273198016907,451
37,0.5151028998257691,0.5041298863694449,1695132041.8605316,8,13,1.3447967141103356,0.3810579202788843,0.1,0.0003994920333132419,2.3950352828995323e-06,96
38,0.49525321004904926,0.5047468209988349,1695132092.7696354,8,12,3.024429804217818,0.39542709152714217,0.5,1.787483506781119e-05,7.827739013293682e-05,323
39,0.5167979587290659,0.508312229112537,1695132132.0919807,8,12,2.6721021625906047,0.4342773168202443,0.2,0.0004026491029623885,0.00011827449742130177,104
40,0.5108881283624606,0.5101348612327787,1695132186.8651955,7,8,1.4134296787330998,0.0010627792329545027,0.1,4.465928722378063e-05,3.537801353107229e-05,320
41,0.5183007609514431,0.5161485855971132,1695132229.2388968,9,12,3.674363796765375,0.1975303948875829,0.4,0.0004552728868330392,7.438326839657043e-05,185
42,0.4918937183067111,0.485850336778587,1695132268.7039173,10,14,1.4367850872097199,0.26871718497228675,0.5,1.4033596893086091e-05,8.099524319415838e-06,396
43,0.5197448111321868,0.516454276367373,1695132289.5789256,5,14,2.720263839951283,0.3658528377810333,0.30000000000000004,0.006579765789092699,1.0944731422658882e-05,321
44,0.5195905557718132,0.5003737499692209,1695132328.6159482,5,12,2.2581788309438116,0.49158089389510073,0.5,2.5991912994209e-05,1.3330514898218793e-06,118
45,0.4818274935053992,0.4836762753975598,1695132341.943371,6,14,2.631933860616171,0.26746266726764073,0.2,1.0473278570492938e-05,1.5045815800487294e-05,512
46,0.49424117488082714,0.5034190232734288,1695132358.4083674,9,13,1.589388882085837,0.46023471225467694,0.2,0.0007210772922722526,4.06745699839152e-06,211
47,0.5121169210630069,0.5118712173137402,1695132371.9798448,7,11,1.0666956596715647,0.3301735260975992,0.1,0.0006455067526150265,7.223389600828476e-05,377
48,0.49512958075293123,0.5046021020852227,1695132385.1493087,6,10,3.2665884307085085,0.19411209763421716,0.0,0.0051975024633948005,1.0945823221156845e-06,462
