trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919180.96099040,0,0,0,0,0,0,0
0,0.7658989437892106,0.7533830509624827,1694919684.3687236,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.7625795096848347,0.7510393396354462,1694919788.1890013,8,14,3.611283057174438,0.004023474264908955,0.1,0.00746124357802247,3.46218393455652e-05,206
2,0.7209090335192369,0.7158547074228138,1694920763.8036263,8,9,3.41944407377281,0.17112731280734217,0.30000000000000004,1.0414090720927975e-05,0.00010458211838885727,158
3,0.7439341892733218,0.7367343851048711,1694921736.6914682,10,11,3.2572567662578393,0.381569500922761,0.5,2.1396046583465234e-05,7.948330938209046e-06,277
4,0.7638602269445496,0.7516020886394302,1694922171.3135605,9,10,3.1034539591734625,0.3285000296871312,0.1,9.251006337777405e-05,0.00045984595517283266,101
5,0.7666049709244529,0.7526426658097072,1694922276.741147,9,8,3.1944433797181855,0.3712556774967719,0.2,0.009422127931542557,2.2720186724406908e-05,149
6,0.7523166288619249,0.7461193402741738,1694922372.3803596,7,14,2.0723060897552967,0.02580927699753799,0.1,0.009917765483278666,7.306587168601358e-06,271
7,0.7634176901520463,0.7474543010323437,1694923056.4152527,9,16,1.5262079279966312,0.10621068795153338,0.0,4.2271102660605097e-05,0.0009706526255807923,174
8,0.7625451334920986,0.7536540112096703,1694923212.6664147,5,12,2.368365445670088,0.3672451144729409,0.30000000000000004,0.0007298114623433989,2.8217458993588554e-06,305
9,0.7452354052653807,0.7363468770209742,1694924150.2228394,5,9,2.3505356704420763,0.21453617360335442,0.4,1.662320076983349e-05,6.860527180471776e-06,138
10,0.7666471475197623,0.7499076140328466,1694924373.4667633,8,13,2.9158237846824875,0.10701285216976092,0.2,0.00025144473235736277,1.7750379672537975e-06,320
11,0.7633769647944249,0.751800293814721,1694924551.9519408,6,8,3.8935878346600212,0.037329973278890705,0.4,0.00032202513489873333,1.8959745540519902e-06,299
12,0.7645745079941428,0.753322751079849,1694924963.79638,7,12,3.80502090490252,0.49752515147846743,0.30000000000000004,0.00011544917033015613,2.077165219658188e-05,412
13,0.7644590438955863,0.7528395236688517,1694925436.757619,8,8,2.9547581802183465,0.4843080041756764,0.1,0.00015072012341348228,1.7700912041677964e-06,433
14,0.7601720877650504,0.7510582419819719,1694925568.2758791,6,9,1.4894051509034276,0.13898184638557703,0.0,0.0017630587846519511,0.00036428784618093584,479
15,0.7668973953185974,0.7540255311419652,1694926049.1589901,6,12,3.220946403608982,0.32531861139114526,0.1,0.0001471681540024772,0.000519664006099212,392
16,0.7644215838227632,0.7529459117438063,1694926602.9486184,5,9,3.6649551567448553,0.20635254747260184,0.1,0.00010984849271139009,1.7242362258198863e-05,403
17,0.759429870389962,0.7524872753475078,1694926978.2921329,5,15,2.1394245284712112,0.23843900200418694,0.0,6.555293322859314e-05,0.0006878819523603184,276
18,0.7547149805461587,0.7372018539070173,1694927104.8684192,5,12,2.8620076155975758,0.4245132950440264,0.2,0.00748619015992044,3.8643032488442415e-06,295
19,0.7674043307835087,0.7511481728397033,1694927450.390263,7,10,2.8122684865137213,0.03983620846966435,0.2,0.0002643723043690541,0.00016121903280518312,195
20,0.7570667112196636,0.7445222317144249,1694927610.690518,6,9,3.9461510726743247,0.22646185026432702,0.5,0.004878874863328833,2.1024278958353874e-05,248
21,0.7642193175699896,0.7548388310485512,1694928108.984398,8,16,3.413610925325811,0.2372376512518239,0.2,5.836937421942e-05,6.644808581458761e-05,92
22,0.763459231830867,0.752891589952814,1694928477.379953,8,8,2.561602448074141,0.2988262032430138,0.4,0.00037612836354723197,8.27609396013536e-05,306
23,0.7653477455748134,0.7514275363475955,1694928835.1040974,6,10,2.3292133838754876,0.18842342284093877,0.30000000000000004,0.00017323095950661085,0.0007247792913878763,331
24,0.7660674687657368,0.7529299535325631,1694928934.1644177,7,16,1.676181330326331,0.2271609237901207,0.2,0.001912814431526258,5.183326233762108e-05,372
25,0.7477611937590973,0.7328520187785931,1694929876.6042237,7,9,1.4406002382704062,0.12735243741897612,0.2,1.6044714887369456e-05,0.0002512470186525629,94
26,0.764391833450158,0.749994510934219,1694930420.6325479,5,9,1.6668407057751005,0.1323279757680365,0.0,0.00014312995933946145,0.00011172385418688595,108
27,0.7646537818528532,0.7546157853555717,1694930739.964055,9,8,3.639545074341363,0.22401796517828765,0.30000000000000004,0.0001841424538663245,0.0002565647788728511,215
28,0.7606421073712717,0.7441768097948886,1694930846.769325,6,9,3.453269869544666,0.05022465050323294,0.0,0.0012332027456394832,0.0006538163667566348,108
29,0.7653710560801779,0.7534627222572634,1694931346.7984176,6,9,2.1930225599736124,0.28402945444506017,0.4,0.00019288646542964886,0.00021374839516551187,242
30,0.7563334733777702,0.745806383683702,1694932236.788544,7,12,1.7028183150678828,0.1594253384403609,0.5,1.817733307556702e-05,7.875164465289482e-05,128
31,0.7663378524874939,0.7539882653753722,1694932370.6747983,8,9,1.0754708930367176,0.2561307022098161,0.2,0.001036183166781909,5.490460999339769e-06,497
