trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919182.50052050,0,0,0,0,0,0,0
0,0.02548971092981156,0.01395797187466663,1694919207.9746296,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.02313485317615549,-0.04636658237562363,1694919223.4608777,10,10,3.4636873691734955,0.02084831286262495,0.0,0.0006097561546572525,3.88554628405112e-05,252
2,0.024948243532586734,-0.01053063062266868,1694919237.112245,7,13,2.314424278326622,0.3679410531743451,0.30000000000000004,0.0005452250496085,8.631082894759621e-05,508
3,-0.0015989496291368699,-0.0027660454858347006,1694919253.2086248,9,11,3.628802965619882,0.41187971628526066,0.0,0.0014318967708737353,0.0002549832705274941,394
4,0.008995495192165026,0.00824691109367326,1694919301.5318384,9,12,1.3744725231418293,0.4788236477348342,0.2,4.475622834815355e-05,0.00014184941183004415,510
5,-0.005937014006153429,-0.025464197314683412,1694919357.9485815,6,14,2.79701773941735,0.35866607277775653,0.5,0.00011361333430245636,5.766367170514039e-06,244
6,-0.01691558388221015,-0.059624480480670705,1694919376.3072057,9,14,2.218323388175168,0.4946899241400012,0.2,0.00013225902058291894,0.00013455065569188584,101
7,0.00463607335774141,-0.016388917248938872,1694919390.9552073,7,14,3.2942529505014013,0.14192969177884868,0.1,0.00025927037402924744,1.0102250505453406e-05,393
8,-0.0010704719763920956,-0.014944058202559063,1694919416.8618937,6,10,3.5326852624677065,0.30751201716118803,0.5,0.008504701225373414,0.00032413488817427356,145
9,-0.004927931008883002,-0.01793981243398446,1694919431.5264091,8,12,2.2124699640181844,0.37094184377450456,0.4,0.001121216528866238,2.6170668507961323e-06,379
10,-0.006770099742973601,-0.007024699171698234,1694919465.6799152,5,9,3.774381294865589,0.20255122868199582,0.0,0.0011139389558157927,3.0936149106853432e-06,355
11,0.007596666402802987,-0.0035102571416405492,1694919524.6658084,6,8,3.8761678009479215,0.033110240406715785,0.30000000000000004,0.00010565493171236114,9.550573603988117e-05,443
12,0.007406251589239243,0.004958415597368648,1694919538.5610573,8,13,1.3510991066039255,0.35522516772138846,0.1,0.0002958716677783146,1.2877323063226874e-06,205
13,0.0030732285491652522,0.006005735957161917,1694919558.9958344,10,13,2.640123478829457,0.1839123294670561,0.4,6.74607831042068e-05,2.3821824731020616e-06,316
14,0.008135789718881514,-0.014799604113994391,1694919638.5016582,6,14,1.5382190366186173,0.3916283356687478,0.30000000000000004,1.3342789314026061e-05,4.8286463247867974e-05,363
