trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693505161.44581320,0,0,0,0,0,0,0,0,0
0,0.6480768397868261,0.6487095314081641,1693505161.872567,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5931219200439447,0.6061276426955765,1693505162.1643944,2,1.7913404771652702e-08,0.7316092632491723,0.04213758542413122,0.7101018022938637,0.7427135490838912,1.3421719117853382e-08,0.0007476805328662186,26.185840813869902
2,0.636479250405379,0.6354879006418007,1693505162.5422792,10,30.87010544062739,0.5543680359344875,0.29479550109592784,0.9285771235364149,0.5825433087976135,0.021054267586068445,1.602640553145335e-08,1.4701873709556006e-07
3,0.6378670990709294,0.6422185550341435,1693505162.842623,4,1.1294317358014939e-06,0.8794897940802526,0.12341751262217587,0.6723122454796087,0.6593993984312168,1.308013781858416e-07,6.910849467096847e-08,0.13404769696322663
4,0.5986364476651754,0.6050183596714175,1693505163.2000446,7,5.2936818247909154e-08,0.7398986408297152,0.001019488668842242,0.9239894987734872,0.8589245896699393,0.010486740287511545,0.0033407056767168677,30.975903129420928
5,0.6367810530874826,0.6400083214484004,1693505163.5978665,11,0.00024814335252747557,0.6199373395262366,0.09597956337668573,0.5318432153873277,0.6823078214980205,5.0145045099546126e-08,1.5619857608596505e-05,5.056219870758005e-08
6,0.6042374913510344,0.6039810039966131,1693505163.918302,4,186.77321934796618,0.9527001604000359,0.09185587222410166,0.7809093550724392,0.8080091925363257,4.1194138236065904e-05,4.87722718522699e-07,0.00023036120236381223
7,0.6107823946674835,0.6188702047515916,1693505164.3044171,9,6.569602760668527e-08,0.5103664894405857,0.07124269373531136,0.6499760047152772,0.8505821375217584,0.22216580214348394,21.332721903665163,0.00010075911150241139
8,0.5772155348625937,0.5752824345655067,1693505164.6417553,4,305.75127874247585,0.8822455482722358,0.018326253916881197,0.9054832869775337,0.8211074293705276,37.53535505091758,2.181444732592414e-05,0.24128272468457024
9,0.6437838894200043,0.6402712369808864,1693505165.0417888,11,0.00022219485787341965,0.8058159983674071,0.000673520529416276,0.7307701456936502,0.5375009965543578,1.561110421599126e-08,0.39490685773583634,0.00033697031579184376
10,0.5930392068832562,0.6017903924024798,1693505165.5206707,7,0.7863691663417279,0.9913776012725353,2.6175614792643717e-05,0.98516068861046,0.9966211679152841,5.977373652939607e-06,48.6609776406029,2.914024144098926e-08
11,0.6293950741830359,0.6276522372039475,1693505165.9481318,8,0.008149668737982117,0.8529061467020511,0.8371798451141668,0.8094348908205208,0.5475768334511284,7.604872680886625e-06,0.3401338934807798,1.4690330383889438e-06
12,0.5,0.5,1693505166.2890143,6,31100.05193408017,0.999605221030565,0.0017529966711153687,0.853156788017065,0.540742037388938,1.3620786252904602e-08,0.36458027401074,2.1371952672318367e-06
13,0.5706490817571529,0.5824180993154835,1693505166.6487744,1,0.0005957507535346904,0.8077926207751575,0.006987431113415601,0.737588277757045,0.9947558018853617,4.988814076817122e-07,0.576528448794812,6.165140095522705e-06
14,0.6400375008582943,0.6418579006734066,1693505167.0520017,6,0.09053132820672621,0.9296912406236197,0.0004009389859827109,0.9975952450779193,0.5034486443479678,0.00025574307878175776,0.04016999423176493,1.0471120538410167e-08
15,0.6214745760026198,0.6271643930696514,1693505167.5676792,9,3.1237715923032547e-05,0.8022240894186685,0.008107093444411162,0.8360819491196281,0.9136866573255578,2.099659913789418e-06,4.417747396945146,0.003926814167479751
16,0.5763181551690443,0.5946381465308559,1693505167.9819007,11,0.012978105558841949,0.686008764623922,0.0002452406292369039,0.7734165243574325,0.6264558570250011,3.9000641388247444e-07,67.31778383893567,3.35221697559927e-07
17,0.6420903295321899,0.6412902995481986,1693505168.3911433,5,0.37150365706973487,0.9301632304160616,0.6723303429034649,0.8765817372878701,0.7295156568632849,1.3698467666874561e-08,0.01614734072619474,1.3107999991889384e-05
18,0.6458023863222222,0.6442712500063452,1693505168.8258548,8,1.5341268682897275e-05,0.8071163957281996,0.0037980305592202404,0.8021383784825695,0.6205306528278822,0.00013482611644663597,1.862059045477545,2.9951110454502917e-07
19,0.6243368950345694,0.6289227701396339,1693505169.281082,8,3.739730521347654e-06,0.6939920511067024,0.01663676075855864,0.9525014771644471,0.7020596637224049,0.00010681757028669985,6.392922350529897,1.4752073273780842e-08
20,0.6168840484025161,0.6221696324646534,1693505169.6360261,3,0.002858401681609902,0.8662993890813008,0.004130388257225165,0.8886490120967594,0.7722431787426933,6.267937106134727e-07,4.749086190811522,1.0456561743367793e-06
