trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693505281.36974620,0,0,0,0,0,0,0,0,0
0,0.06807045272642631,0.0912764667902678,1693505282.2165215,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.23058507664134065,-0.2538067012687486,1693505283.0445902,10,0.00020688903261699735,0.9106145615289158,1.616155440846263e-05,0.553828339967984,0.7975260321031201,0.0019868890756545563,0.0001541964181575402,2.259844168955883e-05
2,-0.20892757974189924,-0.230775033708144,1693505283.896035,7,0.004964077342930281,0.8679410531743451,0.003892082702672994,0.7894293001130785,0.8226775479477969,79.8440786425614,1.579726738965914,0.0001355218583033099
3,-0.0761356192836995,-0.08770123572312372,1693505284.7026715,10,511.53178360641203,0.5272372539111774,0.039190985355431786,0.9010852812122376,0.8682033219057195,0.12340066719269657,0.0025666611856050726,1.7710945384076957e-07
4,-0.06608353754412022,-0.07572277225533242,1693505285.782376,11,0.0017471568028661472,0.60847558016178,0.0385815109988853,0.9971037192109689,0.6278070278004175,0.05165285359469164,0.00977370285806616,0.14904638792452585
5,-0.2243796182500779,-0.24717821173794974,1693505286.9727232,11,0.0003745648251837736,0.626817048735698,0.001028874835319476,0.8732553585924925,0.8620352837058441,0.00011510069886759143,78.30662075108606,0.0003198842131774002
6,-0.22474708587265435,-0.24742669121347305,1693505287.6841934,5,16.794685678451557,0.5412292766558542,0.0009814418977192234,0.8854404831539399,0.8823754917502336,6.895945739139864e-06,7.859988374814067e-07,0.0005158336235965756
7,-0.2281496232746021,-0.2511659012340952,1693505288.376793,4,35.608654863991426,0.5945535577674321,0.0004523976815718186,0.9221142104112845,0.807512017161188,7.1226367698469595,58.28143066398067,2.339300044439826
8,-0.22493641087520588,-0.24774368789441414,1693505288.981526,2,1.0948045909466755,0.7380544366366721,0.0010490188045599355,0.8709418437745046,0.9129666445845919,0.06796703190789989,2.4701086408306116e-07,0.10672116905411437
9,-0.2252501231003694,-0.2481311833309403,1693505289.4951775,1,3.1963267673250307e-06,0.9623968824775981,0.0010605039411405292,0.5741457663004716,0.8411435653372918,4.31407317843011e-07,0.030356549852627167,3.2820215754536146e-06
10,-0.23068670520723633,-0.2539158203057279,1693505290.08893,7,26462.095444279297,0.9919453467991425,0.7808441752382776,0.6978497656767569,0.9983734480332638,1.8710973152174858e-08,0.2413640457687847,1.352929555643642e-08
11,0.009136236708003675,0.009914717824930697,1693505291.0220892,8,0.14502850114645813,0.8101213212354524,0.313760550642668,0.9826981701545914,0.6444967618850245,1.5292376442189013e-07,0.0003706234101730855,1.545509399591077e-08
12,-0.09305369038377354,-0.07932795813824312,1693505291.8178353,8,0.19986154500224732,0.8269331986356446,0.4198650587362747,0.989389713092484,0.6825314722865069,1.064347523930409e-08,0.00014883579006950282,2.523944157474425e-08
13,0.05874834601331602,0.06785374203046035,1693505292.3962965,4,3.7599780743951944e-08,0.7929560007121004,0.21237394256364062,0.9972856191447068,0.5172079121342468,9.055207769006397e-07,1.0214187226106029e-05,8.21590544361186e-07
14,0.05367735223211234,0.06718851984870611,1693505292.982355,4,5.2481405631033774e-08,0.743478828785466,0.15888547321233004,0.7892021886376821,0.5105076487818545,4.571449617947301e-06,8.56095402344781e-06,9.618837480958392e-07
