trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693506137.74875620,0,0,0,0,0,0,0,0,0
0,0.4686321010472193,0.4363534760245944,1693506138.4152346,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.23848013457345685,-0.23721217646228232,1693506138.9519458,5,2.172906373407696e-08,0.7748312389393546,0.0015017995265951538,0.7101839010437445,0.6651674105019371,1.112977386395679e-06,0.01558510252222362,9.920800965244338e-06
2,-0.25274037699074237,-0.25104037182994565,1693506139.4305444,3,1.187790441340144,0.7645710471385195,4.708685960549632e-05,0.7567890606328732,0.5922199328234576,0.7134301815779208,3.4653964518555913,0.0008757262618707403
3,-0.2528975068688799,-0.25119093856172237,1693506140.1110587,10,1.0849037269315996e-07,0.752623045060852,2.1204719013178307e-05,0.7140611637986947,0.5482654578303063,1.8689587538335184e-07,0.009277972689158196,1.8202037553340975e-06
4,-0.23643706587611169,-0.23504358662795544,1693506140.5820649,2,7.311065788565077e-06,0.6749131425016497,0.002182415426974914,0.6008716131324827,0.8202033626074574,0.0006771710069246091,0.0011281509155511395,7.394801338955241e-05
5,0.03190758149822304,0.022726800717964735,1693506141.4304144,9,0.34678022609057996,0.5811492992511569,0.03189787362045474,0.9822755400446276,0.7500041805851083,7.8559848898666775,2.6069729606071557e-05,0.004692899743405533
6,-0.207017107229009,-0.20656722777311298,1693506142.0055485,5,0.004761178012767861,0.8882795924985502,0.004764538794676591,0.9768711134724333,0.7721040800740511,6.621390825772811e-08,4.607061574576499e-05,3.224816743524893
7,-0.25291624215330066,-0.2512130062527991,1693506142.7011387,5,2.257515582082828e-08,0.6235886194986766,2.166316231158394e-05,0.9969260057106364,0.9852901566885868,1.0059664836452487,0.010427284283418707,0.44627093679379526
8,-0.24843597570536047,-0.24681137613294313,1693506143.1683302,2,6.446173844347787e-05,0.762033437650182,0.000606905964470846,0.5228394826227001,0.9915767226786063,0.00025914879486117515,0.0010964892893556906,1.719543533748475e-05
9,0.038601554170546004,0.03192596037559703,1693506143.6289372,3,0.0010704552319721462,0.9160084498172505,0.04827644495354312,0.6896052834708187,0.5065086683472753,0.9419967194117421,4.941831985203758e-06,0.006711952668910744
10,0.4671577439332143,0.4294725730048018,1693506144.345987,8,519.5887841449027,0.9937705520227542,0.7404920999821625,0.8648360145721091,0.8832573138607819,1.1204187618081372e-08,4.70110672861146e-08,1.9932072833807017e-08
11,0.3929927675717204,0.3614131854830265,1693506145.0212462,8,1071.0016877121966,0.999730480719438,0.9678299354544022,0.8573559144133687,0.9142164019974712,1.2296523042065702e-08,3.389393702822316e-08,1.045113363365278e-08
12,-0.25314049616147183,-0.2514288062949992,1693506145.5067465,7,48826.02143526045,0.998436593135948,0.44402622311283485,0.8749725597868941,0.8998035645401912,6.232955689091006e-06,81.7312056870455,1.3893131252226314e-08
13,0.4841627064880347,0.44919644716014595,1693506146.363046,11,21.510487924849787,0.9003004843205351,0.20430638371759802,0.901615662070762,0.876332437234063,5.730399478484963e-06,1.906744859343869e-08,2.0400868306797828e-07
14,0.47019176261194395,0.43515528730568354,1693506147.300669,11,6.469731913309572,0.8820534187199978,0.1946780274380108,0.9216338827610935,0.9929021934119266,9.10284470656378e-06,1.048585241753882e-08,3.197635213471777e-07
15,0.35458150709578773,0.3327500210840396,1693506148.1690733,11,25.650006587909562,0.8497794096044748,0.10269718438069024,0.9128701296465986,0.8286965797081839,2.3216124689431695e-05,1.955382215488902e-08,6.423949486709631e-07
16,0.3941439496487473,0.363745945321425,1693506149.1268582,11,0.11668955966468025,0.8198067461471225,0.12506995763307002,0.8016437648714633,0.9343061087448074,3.1089443177905276e-05,5.172427876496961e-07,4.004294007946895e-07
17,-0.06074419784416518,-0.06652226954606943,1693506149.9564054,10,25.33902299493658,0.9121864696904792,0.018660475887215935,0.9342470527022564,0.8578192013889,0.00869981249946167,1.141057616217468e-08,1.1229709820263052e-07
18,0.41906048195540946,0.39266200434466025,1693506150.787221,9,0.019545073823402658,0.8290595869734003,0.1776276853473034,0.8229649071187863,0.9463036181190807,0.00587863618112433,6.365603612219239e-07,2.842697705604808e-06
19,-0.08972857758532538,-0.09629953833938032,1693506151.7918904,11,14.001077516700766,0.7026418974792689,0.014736897379370388,0.9296150843913293,0.9400638638675973,3.486460531165461e-06,6.099986224522458e-07,2.3203225036004388e-07
20,-0.25314049616147183,-0.2514288062949992,1693506152.277426,9,17727.986494061704,0.9464390514503112,0.06866325444129581,0.9120709149870204,0.8572934974733074,6.1544378268348e-05,1.3464648797555828e-07,7.105744298781087e-05
21,0.4675354712743909,0.428492369817598,1693506152.9638214,6,1.2864626303142273,0.9461785530423554,0.3314079539592087,0.9535895934678593,0.9889742890734566,3.4112359712641903e-07,5.294160198212257e-06,8.879723673402154e-08
22,0.4556980808544763,0.42197995647475695,1693506153.7116685,7,3.4867284305089448,0.872470111159646,0.2535175229107355,0.998406721054665,0.9475394721075182,1.312760989379724e-06,1.204431919154475e-08,7.698180246391522e-08
23,0.4746427384112377,0.43623044633376895,1693506154.625873,10,0.16191275298075583,0.9492577651208353,0.2828784636800758,0.8984733097397635,0.9978488728183034,5.5050661139009835e-08,0.5906067087005344,1.922491059521988e-06
24,0.3278286439652123,0.305676782735427,1693506155.5447419,10,0.06254073954731533,0.8222742050124703,0.09783394901585166,0.8862095990266078,0.8946818813780492,8.394269508819485e-06,9.785990204816468e-08,1.2345136959799284e-06
25,0.47595464806266086,0.4481441271261204,1693506156.412053,11,187.28873779664244,0.8716600875330038,0.7957605462999634,0.8338363283137533,0.9581532752927031,9.689526635176234e-07,2.1133976555924663e-07,3.577245715505058e-06
26,0.46625406105548495,0.4367550288211629,1693506157.22846,10,281.74037840801805,0.9449537193840378,0.830679590718851,0.8110804523740206,0.9541443693999481,6.050286022849138e-07,0.00016262556459307746,7.79028973937692e-06
27,0.348588374975911,0.30500992233718605,1693506158.022159,8,57.31850719649902,0.5088635863980059,0.9987934300654655,0.8339095620223279,0.9242360702018244,6.974824697535802e-08,2.950047198226651e-06,2.4608681279886883e-06
28,0.14104751610686317,0.11469426141879546,1693506158.5356503,11,3169.7652468108695,0.798455256247915,0.48668550434783675,0.892638730406908,0.8788632960420493,1.903855681838737e-06,1.55208655117182e-07,6.440762074301825e-05
29,0.49011161266816683,0.46531200736525125,1693506159.3501046,9,180.056534935109,0.8432824286073858,0.3602551640043984,0.8531106235474256,0.9710904021723775,1.2974068964600478e-08,0.12477596397689632,1.0478827584310882e-08
30,0.4871718662829827,0.46630450511567456,1693506160.0639157,9,134.65544594305442,0.8576883338715364,0.34039512767752705,0.7793576078899891,0.8045354802553688,2.4129999868759837e-08,2.614723574366853e-07,1.276718779996208e-08
31,0.4970687110909612,0.4668524456802955,1693506160.7868702,9,135.4299378119651,0.85719701109109,0.3610493059072759,0.783701647935892,0.8072418886343561,1.1670945487048702e-08,2.3838771494526262e-07,1.2317296886069904e-08
32,-0.0068275027142707945,-0.006469323764705104,1693506161.2658947,7,4016.6518357825707,0.8464344233024561,0.16494521567565648,0.7859473365315015,0.7973131896386586,1.0218127034275752e-08,9.239879207655502e-07,1.4965145667682262e-08
33,0.48694213153046817,0.4607490970316038,1693506161.9635122,9,119.75173877906481,0.7896364592476585,0.3840684081210598,0.7708147668485165,0.7098674854216326,1.1068353229920366e-08,6.864639773088307e-08,4.384844759776976e-08
34,0.4860996777047789,0.4628514598410304,1693506162.6597164,9,148.75839152425667,0.8045849171955066,0.4251350386906668,0.7663668751068973,0.7004805788781414,1.368078849607468e-08,1.1251590003067924e-07,1.1300776921650829e-08
35,-7.103419728626825e-05,-3.7756671509736606e-05,1693506163.1434553,8,5231.304363554992,0.7812793482546435,0.3250427648322033,0.7391098975087175,0.709545033691269,5.734249776669288e-08,0.06644633129222872,5.6925262409435854e-08
36,-0.25314049616147183,-0.2514288062949992,1693506163.6194282,9,97932.99053472838,0.7346116899238392,0.04957962958269638,0.7769636798509229,0.6390927399424374,1.6924164554315846e-07,1.4920345422034042e-06,3.904588189407117e-08
37,0.2574429561330154,0.23903313805626303,1693506164.2653468,7,2.2619514247674735,0.7941447986345771,0.0821513154364991,0.7382529686844725,0.7794831314397768,1.011848410703426e-08,1.2095017105774762e-05,1.000863813584015e-08
38,-0.03764725464619523,-0.04349588565268503,1693506164.852012,9,840.9569008764453,0.8487478212862705,0.034223781269589554,0.7142006810174291,0.7282221742187789,2.1652823893237806e-07,6.988792807772654e-05,4.346972235689605e-08
39,0.3994457887084919,0.3895470693242056,1693506165.4255183,4,0.9497248257205387,0.7660147585356001,0.527603609555572,0.7950256500533306,0.7564148954734901,4.4974014047479996e-08,1.1178711486580147e-05,4.840939801693341e-08
40,-0.25314049616147183,-0.2514288062949992,1693506165.9117916,8,12579.20843184836,0.7437334231702385,0.11967443775200208,0.7612193661485507,0.8006251117705863,1.5143942405505938e-07,0.003438038714630971,1.5522077922129152e-07
41,0.49341253128141904,0.46409519467846627,1693506166.611761,9,100.00610466760358,0.7980018759208021,0.5162095335740501,0.7614845631255743,0.7082381103089617,1.9992512595180147e-08,5.716257319672288e-08,1.764560808879671e-08
42,0.498368585652854,0.4731909492733929,1693506167.3552954,10,76.96631495945267,0.7912956742719494,0.4483055433913729,0.8480671207657413,0.6759039140706318,2.7397351291766573e-08,5.842824166629243e-08,2.764395012872756e-08
43,0.36269914777807943,0.3407961187798738,1693506168.0175462,10,624.916635690364,0.8388907808221577,0.2230780730031872,0.8492489717552075,0.6458490140657496,3.745514003342088e-08,2.826167600139768e-07,1.0447730427226713e-08
44,0.1336182876998563,0.12342162297372572,1693506168.5012183,1,70.16656155337587,0.8174667191097363,0.13869531634211507,0.817086878939962,0.737931729782474,2.407865427220763e-08,1.060234727483537e-06,3.1849818197682997e-08
45,0.41584345331338424,0.41172845881886444,1693506169.2276945,10,5.514685975451479,0.8659204294900172,0.5076085472797858,0.8523751952703157,0.6755285238459691,1.1821705365441493e-07,2.8017722806479237e-07,4.973835770089082e-07
46,0.2635280467514375,0.22443111848125497,1693506169.7658055,8,1917.308846828604,0.7696764525526697,0.9796412464338677,0.7915783469041336,0.7721170076300864,2.933229229757487e-08,2.7238062187649888e-08,1.0103375121314989e-08
47,0.43414516166290495,0.4127831776525065,1693506170.5312293,10,417.76436115306984,0.8059685961422399,0.26567178076216946,0.875790503859139,0.818914639150512,4.1211512634135763e-07,3.275628582538801e-07,1.4374347545515556e-07
48,0.36474549653518584,0.2951661798453675,1693506171.1790733,8,0.5975353477206806,0.8578461526221509,0.6258789664519814,0.6650899553324708,0.7562544551682594,2.4901992004114268e-08,7.7313616631799e-08,2.151106528445295e-08
49,0.23747424708274778,0.21814318365916785,1693506171.85599,9,7.355755497244262,0.8913503630941371,0.06734436415487136,0.8366131379020788,0.6049568508732714,1.0889615983129848e-07,2.9836193648711315e-08,2.982803191516018e-08
50,0.4586101489181418,0.44130723562253704,1693506172.4590294,5,50.40817748138719,0.8476810049610263,0.5709478040285145,0.8131608371095415,0.8438739805131491,3.361134355989728e-07,2.324046557018478e-06,1.3672245378718443e-07
51,0.48979185314884566,0.46084165054304826,1693506173.161904,9,137.76327529564995,0.7784681871680655,0.41793818750658085,0.7753308711844713,0.7161335431949074,1.0499607000691935e-08,3.557076291748714e-08,4.036694665864802e-08
