trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693507144.14060330,0,0,0,0,0,0,0,0,0
0,0.005843204648983247,0.0029613542260413794,1693507144.2633157,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2506035061879093,-0.2512629150631567,1693507144.3558798,10,0.00020688903261699735,0.9106145615289158,1.616155440846263e-05,0.553828339967984,0.7975260321031201,0.0019868890756545563,0.0001541964181575402,2.259844168955883e-05
2,-0.2316087700058862,-0.23224178767276804,1693507144.463663,7,0.004964077342930281,0.8679410531743451,0.003892082702672994,0.7894293001130785,0.8226775479477969,79.8440786425614,1.579726738965914,0.0001355218583033099
3,-0.10762586910063487,-0.10880683901076127,1693507144.5585778,10,511.53178360641203,0.5272372539111774,0.039190985355431786,0.9010852812122376,0.8682033219057195,0.12340066719269657,0.0025666611856050726,1.7710945384076957e-07
4,-0.10973099482654902,-0.11087605463852368,1693507144.652816,11,0.0017471568028661472,0.60847558016178,0.0385815109988853,0.9971037192109689,0.6278070278004175,0.05165285359469164,0.00977370285806616,0.14904638792452585
5,-0.24551511334989629,-0.24618100215900895,1693507144.7465034,11,0.0003745648251837736,0.626817048735698,0.001028874835319476,0.8732553585924925,0.8620352837058441,0.00011510069886759143,78.30662075108606,0.0003198842131774002
6,-0.24561333406418862,-0.24629155837930816,1693507144.8477533,5,16.794685678451557,0.5412292766558542,0.0009814418977192234,0.8854404831539399,0.8823754917502336,6.895945739139864e-06,7.859988374814067e-07,0.0005158336235965756
7,-0.24840039100482159,-0.24906091118418483,1693507144.9399743,4,35.608654863991426,0.5945535577674321,0.0004523976815718186,0.9221142104112845,0.807512017161188,7.1226367698469595,58.28143066398067,2.339300044439826
8,-0.2453007768024802,-0.2459797946936877,1693507145.0344436,2,1.0948045909466755,0.7380544366366721,0.0010490188045599355,0.8709418437745046,0.9129666445845919,0.06796703190789989,2.4701086408306116e-07,0.10672116905411437
9,-0.24528115984035725,-0.24594909040055546,1693507145.1234996,1,3.1963267673250307e-06,0.9623968824775981,0.0010605039411405292,0.5741457663004716,0.8411435653372918,4.31407317843011e-07,0.030356549852627167,3.2820215754536146e-06
10,-0.25068653442304445,-0.251345830389349,1693507145.2456596,7,26462.095444279297,0.9919453467991425,0.7808441752382776,0.6978497656767569,0.9983734480332638,1.8710973152174858e-08,0.2413640457687847,1.352929555643642e-08
11,-2.0489535039969198e-05,-2.66837968434519e-05,1693507145.3737156,9,5683.717221044248,0.7907031031620171,0.313760550642668,0.9826981701545914,0.9715083346653923,1.5292376442189013e-07,0.0001766019677231136,1.545509399591077e-08
12,-0.25068653442304445,-0.251345830389349,1693507145.4983363,8,68620.05202710112,0.830679013424729,0.4198650587362747,0.989389713092484,0.970008354636788,1.064347523930409e-08,7.976144458296267e-05,2.523944157474425e-08
13,0.003791731085144523,0.0014512233714353284,1693507145.6320388,8,0.1189261995345259,0.7746914013804919,0.21237394256364062,0.9972856191447068,0.9989106418845081,9.055207769006397e-07,2.6809091937076435e-05,8.21590544361186e-07
14,-0.0019169065576278843,-0.0037211303772299864,1693507145.759812,5,0.25212026614130445,0.7316956539227156,0.15888547321233004,0.7892021886376821,0.6764250998731292,4.571449617947301e-06,8.56095402344781e-06,9.618837480958392e-07
15,-0.04038681776654918,-0.042228577100316134,1693507145.8870397,3,0.07598676815807526,0.9170660226133852,0.08038329834803451,0.953640378870331,0.9245013677741789,1.3402268312669023e-08,7.471981020032313e-08,1.686409138693747e-06
16,0.004947215543135486,0.0030390454413582457,1693507146.009426,6,1.108216703781144e-08,0.7974568570788426,0.6850636924850848,0.9386872928568062,0.7376654625926238,8.791384038048203e-07,4.6239451835043615e-06,51.01565164421578
17,0.004292219253546836,0.0027989793444793687,1693507146.1344478,6,1.1962507837545807e-08,0.9775579867972236,0.8701632512552172,0.9384733826483874,0.7308700970734718,3.5850130859777296e-05,0.0009823974620709434,51.588235681072575
18,0.005076849902332148,0.003344325615757371,1693507146.2631164,5,1.3277632653000084e-08,0.862602541163788,0.9050608508493445,0.8222615989869713,0.5078019338196506,1.1604108613886284e-07,2.1295011239456092e-08,0.004014926177323017
19,-0.025515718548382305,-0.026743496056387928,1693507146.393458,4,7.605223313621776e-06,0.9227856448065292,0.0990124771672607,0.8135645528773198,0.5376665177709234,0.0005010153953757672,2.323351671021174e-08,0.005124657022074541
