trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693506775.27216960,0,0,0,0,0,0,0,0,0
0,0.517383354071554,0.5154975739638255,1693506775.3683014,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5170479674168678,0.5144456293140897,1693506775.4626312,7,16.06651537746812,0.6454523694564722,0.0035821026417581824,0.9464734771738273,0.948146544466719,1.8024079929419182e-07,1.1814865483077476e-06,3.27093589697536e-08
2,0.5191580407419158,0.5163478737669671,1693506775.5591166,5,2.445629933983007e-08,0.7284166121973555,0.01760841389861066,0.6392436413239877,0.8381274509900656,0.00810267042061917,1.7370760151751127e-08,0.0038774024457587535
3,0.5176958649313064,0.5152844572482722,1693506775.6506863,3,0.0024906663949926357,0.6417625408856593,0.029220631105386703,0.7202268588353697,0.5784338692374816,0.002795697514321583,0.6355469591289572,1.157804741454263e-05
4,0.5170959690849257,0.5144521304913039,1693506775.7485154,3,0.001105672093053424,0.9681918249302153,0.7585375984921967,0.8361918379564068,0.9514170542691991,2.867534904254722,6.024769184778858e-05,8.359303410192575e-08
5,0.5190307863198247,0.5161667347168362,1693506775.8458357,8,0.17861992844396354,0.680782381531289,0.0001334358493013162,0.7032599581881243,0.7344701243495846,4.9244278922048166e-06,8.278044224786383e-06,0.0003774539662270762
6,0.5163061916401596,0.5146630124271899,1693506775.9402757,10,0.41810730755049325,0.6417439312161048,0.0002454073315358718,0.7273110377609734,0.6027051723024938,1.032255273953381e-06,0.0013814990740746368,7.452357626486135e-08
7,0.5189667840957474,0.5161699311289665,1693506776.0372765,6,0.0005108468985527274,0.8538433109078356,0.054166542556439046,0.8455464609278822,0.8445902068774571,5.4450420937883246e-05,0.048011806526712865,2.5031486415074758e-05
8,0.5179787497615543,0.5154679936075008,1693506776.1298287,7,0.00017198598373394748,0.722572524631766,2.0306947879793023e-05,0.6213377110921691,0.9858013030867838,2.022283523874143e-06,0.08218169786077707,0.031971910026812836
9,0.5191130391781115,0.5162256380912208,1693506776.2210143,8,0.015002095931459052,0.7983318873009314,2.1619573375746267e-05,0.5362810689111167,0.5994880131485392,3.300729769169727e-07,1.0024055113887471e-07,1.9630829274126263e-07
10,0.5,0.5,1693506776.346257,2,3.305197061966305e-08,0.530932709997957,0.0038067634370041945,0.5004053525351955,0.7775735301940782,86.50080734855435,1.1970462587843305e-08,79.36486189883686
11,0.5,0.5,1693506776.4651814,10,1620.9589354036436,0.7920001228858884,0.000431999769570917,0.5617311478482702,0.5166036934852841,0.009445597627290702,1.291221683609997e-08,0.11462962737750192
12,0.5183247617854722,0.515344552505146,1693506776.588897,5,5.3615628970133446e-08,0.8148967764383687,1.0572710777422421e-05,0.6184475822617236,0.6829398044622307,0.02308398477576295,3.1150030436709243e-07,0.006052507933779172
13,0.5178669958781068,0.5153774918030314,1693506776.7172253,9,3.7601379209042353e-06,0.8697587826203431,0.018176877586010564,0.5031244135157495,0.8468375593961709,0.000280995407246937,1.5860086490489317e-07,0.6112797516989827
14,0.5183347621329842,0.5153507557117379,1693506776.8613834,5,1.5781214651944474e-06,0.7424001815559708,0.0009712620876375559,0.6259712549897625,0.6601715580946022,0.0758386244232266,1.9498547086961845e-05,0.00036044173864170073
15,0.5190767879183803,0.5161937416905136,1693506776.9896038,4,7.846780386558554e-06,0.9029838170624975,5.317483612461175e-05,0.5653375059912723,0.5001782165374653,0.0003576527346490923,1.0054907024127283e-08,0.0015259566086155954
