trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725437.76118330,0,0,0,0,0,0,0
0,0.019167073636792376,-0.005172458219080633,1694725778.069581,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.008503358703605413,-0.010436606904055123,1694725929.8510127,6,8,2.3896555794950336,0.3624669645960739,0.2,0.00028594420172544803,1.0923012830060756e-06,282
2,-0.005386115232532296,-0.0063556392886137125,1694726056.5640075,10,15,3.1898934106624557,0.05436803593448747,0.5,0.003727887014635882,3.1279503637247993e-06,347
3,-0.011010363975292092,-0.005559299468377743,1694726180.5549088,5,9,1.9491019348376213,0.07895615333746847,0.4,0.002849876719299812,1.081118932799183e-05,207
4,-0.027152732531423585,-0.006070000261030772,1694726359.36486,5,8,3.138177807066529,0.29977169812882776,0.0,0.00027503745770253506,1.603354082325706e-05,444
5,0.016511312992942062,0.003174775011469677,1694726583.0520227,9,13,2.6571514645164918,0.47455119887331876,0.5,0.00010331470713610107,5.2435333814151534e-06,421
6,-0.03531213979892711,-0.0460841407549657,1694726762.3109457,5,11,1.2100684078735073,0.159683853525455,0.0,7.42661655584571e-05,0.0002345866915453269,470
7,0.0003469711688326438,-0.008318329554894754,1694726944.2794337,9,13,2.848055155217954,0.1807417711016009,0.1,0.0002035742300959646,0.0001579341360590834,92
8,-0.018014068190651766,-0.029155503947267736,1694727075.7192614,5,14,1.899856028291663,0.35058213752175843,0.4,0.006290915931816627,1.5884929758604036e-05,224
9,-0.016791584464449283,-0.032495539971422405,1694727208.8302555,9,14,2.957844219746752,0.40548328697753366,0.30000000000000004,0.007453017800400486,1.0037446982295981e-05,395
10,0.012490513984855345,-0.0058947665548925166,1694727658.9123588,10,11,2.8348959902044433,0.18283508378857655,0.2,1.678827131899691e-05,1.1429575134408604e-06,405
11,-0.02416860801057008,-0.012331894745065908,1694728063.111194,7,13,3.219854553393684,0.2093317150909204,0.2,3.214300173793064e-05,0.00024077823129993223,438
12,-0.027620759495992964,-0.016667178045549624,1694728196.3662686,9,15,2.94416932592744,0.3480330873853286,0.1,0.0020086150148506386,1.005191211628364e-05,260
13,-0.010087782121406264,-0.014802448651811018,1694728501.9874115,6,13,2.9760770542992656,0.28777927052761726,0.1,4.508272157001442e-05,0.0003426222735466225,199
14,-0.034656707433954326,-0.01306763992273452,1694728641.0007036,7,8,1.9029375095228016,0.042847403006693374,0.2,0.0013424652518631212,0.0008354198061155371,344
15,-0.029016244230656962,-0.00979786376857672,1694728765.853627,6,13,2.880993457573932,0.4128261145361251,0.30000000000000004,0.005412089804905535,1.7640504757223524e-05,192
16,0.01663606849141719,0.003408135226244946,1694728897.7533333,8,16,3.171733787858842,0.24695650056675295,0.2,0.0008834187138131173,2.2045171466286607e-05,311
17,-0.0037564429921763676,-0.004883052373742647,1694729095.8651743,10,16,3.5220562911659345,0.06352413055569966,0.30000000000000004,0.00012568447434812053,0.0005437339527912917,204
