trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694807401.86652870,0,0,0,0,0,0,0
0,-0.01716653326144635,-0.009870239100168376,1694807522.1996408,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.00525188053976311,-0.0006582077931385211,1694807547.3729289,9,10,3.4728355979841057,0.4828745990214999,0.5,0.000229270269909846,6.71625826910958e-05,412
2,-0.0005788287115378044,-0.0015383620338318416,1694807566.7358773,8,14,1.105109572304312,0.1492247354445897,0.0,0.003725485074061499,1.3138993071574169e-05,369
3,-0.007241185379539994,-0.0038119076175497923,1694807610.8420744,6,11,1.0282383102429082,0.17916689135248487,0.5,4.505023153750722e-05,9.08184528490249e-06,476
4,0.004359603705475612,0.001107479554717572,1694807627.0746937,5,8,2.889486997323469,0.43690672163976935,0.0,0.0017367276194004016,0.00027448809492355803,97
5,-0.005728760303572278,-0.002063679574273225,1694807655.221288,8,12,2.4396501744891497,0.47778707246553315,0.0,5.507266629471411e-05,0.00013699289192285383,209
6,0.0037326370147299226,0.0007299422948792156,1694807681.744759,6,14,3.7556552444378464,0.12223785109899515,0.2,5.7408744406430225e-05,1.3740415777888483e-05,335
7,-0.011682202507665718,-0.005552668040134989,1694807866.156597,9,8,3.0582552375619403,0.27413004869791263,0.0,1.9781519915590326e-05,5.453525095547911e-06,132
8,0.0006701177043918483,0.0007862058355049273,1694807914.0429418,10,14,1.7129767656390498,0.2844426262782802,0.30000000000000004,1.6527669990066556e-05,0.0003304650469591468,245
9,-0.006288941140214055,-0.0028515036459015874,1694807930.536026,5,9,2.4719204111954824,0.35601218712487664,0.5,0.004210750464269409,3.141413109019485e-05,111
10,-0.020655326829237985,-0.01073872359113981,1694808042.0894172,10,11,1.679763630698285,0.43621593117271423,0.0,5.1184737511944077e-05,6.112202526471629e-05,317
11,0.009515126764269688,0.005929713259951508,1694808145.6424167,10,12,1.3868742237356213,0.380283838383695,0.1,3.366585043181566e-05,2.0481135837048982e-05,216
12,0.009863955114995937,0.0034027214976950493,1694808206.657031,10,9,3.533675598418354,0.33470306999033145,0.0,1.8397576611056747e-05,0.00079320624324157,151
13,-0.014056848844837821,-0.006456345996390889,1694808231.4932573,5,10,2.9503915540394,0.2733886226723303,0.4,0.007749866709489935,6.810274059852727e-06,168
14,0.02874773681466425,0.011247637218813944,1694808257.1537523,10,10,3.066718898676068,0.07674731848918637,0.1,1.595132195739089e-05,0.00017719729435236134,144
15,-0.014976147916543114,-0.007459133650072669,1694808273.6448734,5,10,1.8383786609458725,0.01691086552189458,0.1,0.0010152292440160449,0.00019043959177913048,165
16,-0.01072744093627609,-0.004526058554112922,1694808308.1619582,8,16,2.6248318848400407,0.186972544788098,0.0,0.0030757645247614686,0.0002816336755705657,99
17,-0.016515531498162428,-0.010005797766977409,1694808455.7124023,6,15,2.692480836585433,0.17489110680051573,0.0,1.974955105586829e-05,4.7923028436194726e-05,382
18,-0.003832778476443144,-0.0013549978856504108,1694808476.99771,10,14,2.116738037272354,0.37923865279910185,0.0,0.0007337297135116152,0.00014525867951931812,82
19,0.005496752589405185,0.0037317337923143956,1694808502.7764485,7,9,1.8282492549329756,0.1132516616565723,0.1,2.5627140113939433e-05,0.00012099019391768416,87
20,-0.022926996950416445,-0.012651930220813234,1694808525.1658509,8,9,2.5200740516773554,0.1407594184342134,0.2,0.0003262772091964935,2.3280571314778988e-06,122
21,0.0035443942174989695,0.0022993574088024937,1694808544.2536252,10,11,1.5086874359766491,0.4005895342102504,0.5,0.0030812889838279615,0.00013872437540019786,108
22,9.256591594486441e-05,0.001196140846527416,1694808569.9122133,10,13,3.700826355251675,0.281785085934529,0.0,0.009609882739108162,2.495706494364539e-06,374
23,0.01106097856597188,0.0059184637175419,1694808590.7167318,7,9,1.4217929955152635,0.33462370531972363,0.1,0.0006933676922995579,0.000640911635121769,155
24,-0.013797152935383306,-0.007245529061219669,1694808612.60717,5,11,3.0836176799270483,0.4724835165670097,0.0,0.0002377606159495553,6.8642114588459675e-06,155
25,-0.010401188099301129,-0.003939114732687932,1694808632.3254578,6,15,1.278538095719898,0.4345095890710334,0.5,0.001110147434488675,7.716898223666451e-06,138
26,-0.003818977451985228,-0.0007681505277226108,1694808654.8019016,10,8,2.4234042132685283,0.18011470988455353,0.0,0.008012116912739769,4.537894925087076e-06,383
27,-0.006941412363000499,-0.002552532842299282,1694808675.1579752,10,14,1.4305616451055903,0.39644399046508205,0.1,0.007376495674156537,1.772450153379356e-06,351
28,-0.01206677107740406,-0.00579455242958371,1694808692.518804,8,12,1.4955792899493208,0.12599257760478783,0.4,0.007517995201959148,0.0005989716648811311,395
29,0.009463759623708046,0.0023898837943130413,1694808710.37441,6,14,1.8919366586910469,0.14067897112472083,0.4,0.0011412027171725497,6.5960187324339305e-06,137
30,-0.005264878880469004,-0.004269915134523794,1694808739.0288472,5,12,3.499253995822347,0.16162833824235173,0.30000000000000004,3.5069061239897436e-05,9.230351411818256e-06,376
31,-0.009701024720058404,-0.003853017826524585,1694808763.7290366,8,15,3.4844817907499754,0.14887687014618273,0.0,0.0008502386963657528,0.000405104222153852,445
32,-0.0050552479243506365,-0.004130316464856731,1694808831.90601,5,9,1.5470558302006614,0.14096086111662143,0.1,1.7578176025015737e-05,1.2546009110653214e-05,469
33,-0.002398790766580783,-0.0013720264820826777,1694808848.2700481,5,15,1.1705585667959408,0.03162569037435464,0.2,0.00793740160757904,4.469436619903006e-06,489
34,-0.01678287852246041,-0.011141044195415173,1694808878.746319,5,15,2.6959635696672812,0.4111209049505685,0.2,5.678534137669452e-05,0.0003406532287932243,217
35,-0.0017015792481580583,0.00011325476355339426,1694808896.8058605,9,16,3.74481179453237,0.2548021080727703,0.1,0.002365567174569485,1.3696132125692922e-06,468
36,-0.009045330407249974,-0.005607706292614978,1694808914.887931,8,8,2.5597281912504424,0.24687710576829358,0.1,0.0007150744552030566,1.0109262548826198e-06,169
37,-0.0126411958069792,-0.006171461198338779,1694809014.3495772,8,9,1.7311075839789403,0.2182016188447346,0.0,4.213035723199199e-05,1.6631192199103842e-06,422
38,0.005540984985806019,0.002580329932530878,1694809044.8285203,8,10,3.3903362678299542,0.07753939448476699,0.5,0.0002415848427459096,4.844352351812459e-05,204
39,-0.011871900213928921,-0.006172725766039777,1694809105.4759405,6,10,2.0797703505256773,0.2849861690995659,0.0,0.00014363617903700857,1.0558967717041686e-05,346
40,-0.004819063214874575,-0.0017020345256311131,1694809134.7708094,10,14,3.9741129430693416,0.20796623027801414,0.1,0.005829881990682334,0.0002776276659354978,474
41,0.009126323907709732,0.003442520399051463,1694809151.4901774,6,12,1.9705506249454867,0.2256378283955091,0.4,0.001495021103447431,8.162239355142613e-05,216
42,0.0015957566287050362,-0.004140960502943658,1694809219.9274175,6,12,3.246165291822665,0.09171212104979115,0.0,2.0658009611445633e-05,2.437056301784214e-06,272
43,-0.0018800824738367528,-0.0036673369051634097,1694809284.348877,7,16,1.624414091087952,0.19037662396014232,0.0,1.511933295564765e-05,0.00032607910288371924,379
44,-0.008923358153944516,-0.0035429723141375824,1694809389.386778,5,15,2.1891536378349037,0.0726473881880953,0.5,2.2750737190480973e-05,2.6485780443318827e-06,447
45,-0.011568271890794568,-0.004694628462950989,1694809422.482008,9,8,2.8642900875102146,0.21649496266932206,0.5,0.0007145452506242853,9.60354209855275e-05,277
46,-0.00956326017141218,-0.004100922483966762,1694809453.502014,5,11,1.889036518903811,0.27477129935291783,0.2,0.0046581722141528,2.7709713000364473e-06,95
47,0.00018523785837543105,0.0007204241266466349,1694809471.8217065,7,9,3.1632531867429137,0.10778546341480666,0.1,0.0006867145104546876,0.0002324184543089256,370
48,-0.01773630948333138,-0.009038997754167166,1694809654.472523,8,11,3.9675408332594033,0.31141610051909796,0.5,2.806186448084421e-05,0.00024277737851255508,394
49,-0.010190811800831145,-0.004840759398846206,1694809683.8692827,5,16,3.9823951750681115,0.10838046143306945,0.1,1.3929665153154012e-05,2.9461670566348327e-05,423
50,-0.017450473428930247,-0.008946996482505076,1694809737.0732834,8,9,3.833631336926154,0.17025506084473951,0.2,0.00013637396596082616,3.456478296826798e-05,328
51,-0.029651267684225546,-0.015211933084281481,1694809756.0790567,8,15,3.8505180334099025,0.4027642864696654,0.5,0.00010823389084909285,9.052515725495001e-06,459
52,-0.017036667479021883,-0.008321848893311445,1694809812.8421798,10,11,1.7233246316817028,0.12745098777311958,0.4,0.0011121279034359227,0.00019880579747823894,273
53,-0.010584149643448448,-0.004811250693477875,1694809851.8348672,9,15,1.5716252654124423,0.011638044937942738,0.5,6.809864944307663e-05,0.0008380765534591148,404
54,-0.006032442163697693,-0.0021426463421243547,1694809870.6053777,7,8,3.340440909290608,0.1784745725615428,0.30000000000000004,0.009500410167126352,5.9397698957540874e-05,299
55,-0.012336446772418741,-0.005523206115153334,1694809908.445858,6,13,3.9823794446414325,0.28202977530112056,0.5,0.003992768748434586,0.0008998091590414472,194
56,-0.017301725900442877,-0.008639426075663481,1694809981.2334814,6,10,1.0738499646065627,0.10954347960529198,0.30000000000000004,0.0011533991722339366,8.75125934499109e-05,448
57,-0.008155613367736736,-0.003806796361597087,1694810006.1567512,9,15,1.0417968038027445,0.05768880137093474,0.1,0.0043760827005766036,7.593646881714916e-06,161
58,-0.016264323998220087,-0.0086490411537532,1694810060.6179893,5,12,1.3917973136070074,0.3231949328387005,0.1,0.0007772218637398494,0.0002745444865843402,324
59,-0.008982270397120962,-0.00362604394959809,1694810085.297694,5,9,1.9019467216242214,0.4159245599150021,0.1,0.009151327585551311,3.3872625997692895e-05,433
60,-0.009188942879649886,-0.004115506955071346,1694810113.8289242,7,16,2.7025166620960324,0.14714199764860897,0.5,0.001306330010386662,0.00013841217523969984,172
61,-0.024829189831387266,-0.014230831085011664,1694810163.9067736,6,11,2.724398799159485,0.06357701585778047,0.4,0.00019878371411026271,0.00017963301704011238,367
62,-0.003720419260407226,-0.0007502071141811673,1694810182.9759376,10,11,1.3011908489832018,0.43608713673814364,0.0,0.00021545214711890916,2.4697997748170922e-05,172
63,0.011732690800636547,0.005559288222375169,1694810242.9666526,10,16,2.9725137278419647,0.3298999453995515,0.30000000000000004,5.817446704475226e-05,4.53889320956412e-06,379
64,-0.011420730479514418,-0.004160905413289839,1694810268.6343856,5,12,3.671197232025862,0.39953963414037097,0.0,4.3367680139344354e-05,1.0610104309360374e-05,82
65,-0.02255160410013679,-0.01159256561351607,1694810337.7217178,8,8,1.0434689815507254,0.028333345969179746,0.30000000000000004,0.00024743642455504815,8.253324520498202e-06,357
66,-0.010914886577763072,-0.0036943230688453177,1694810396.6533325,5,9,3.794143796687462,0.1787299423036347,0.1,4.524415998972635e-05,0.0006344873052322882,271
67,-0.016290464284079764,-0.008570002952773548,1694810451.9551363,8,9,1.685307368794543,0.30271072788988074,0.4,0.0003894676234463971,1.0239979054007065e-06,281
68,-0.006539270174601208,-0.0031437275001025,1694810480.0349214,7,14,3.4448332892674687,0.23090284558112129,0.2,0.0008739455726745839,0.000635772895583901,211
69,-0.0032839508310382737,-0.0017413469961948813,1694810502.0566106,8,15,3.4379984760465243,0.13299025351902105,0.30000000000000004,0.00011798501125536737,0.00019872404655545207,368
70,-0.010012561965498268,-0.004169008235359151,1694810522.214199,10,15,1.6843396062636864,0.29274540263298393,0.0,0.0031294023365056297,8.868924472429216e-06,434
71,-0.01930635612466669,-0.011081513162276568,1694810540.3260956,9,11,2.9862665179377603,0.4984992083029681,0.30000000000000004,0.00024732413748809984,0.0001608726336495619,395
72,-0.011579774805262621,-0.005535222090564673,1694810585.5520365,10,11,2.990166154160037,0.45893894083940834,0.30000000000000004,5.3288925775481105e-05,1.0394707418850444e-06,381
73,-0.017202521207767774,-0.00846151899056502,1694810690.8431563,10,13,3.2651962342894554,0.44743277778811336,0.1,1.1247393202355996e-05,4.4646954867119165e-06,302
74,0.0051683993357993785,0.0023266363772289633,1694810756.07412,7,10,3.893438458612259,0.47471634530922713,0.0,3.752569312774155e-05,0.00015232489606782198,130
75,-0.012837775459208611,-0.006031656736782631,1694810774.0745792,10,16,2.099157347815235,0.10567637723090001,0.30000000000000004,0.006670103478191534,0.00013069936486968708,143
76,-0.011303572981688603,-0.005779137571595205,1694810946.2646146,10,9,1.407050575715458,0.29719855178575266,0.30000000000000004,1.6572892180119923e-05,2.1263816319916215e-06,158
77,-0.008879208066084221,-0.004215940186361733,1694810976.1176333,7,12,3.245238966576196,0.4440516756135007,0.1,0.000281469304740064,2.5277301430535262e-05,74
78,-0.014781123238653882,-0.007590400092969851,1694811016.4389498,6,8,2.599636639647368,0.18634426998870923,0.4,0.002125017983102242,4.405013740691291e-05,436
79,-0.002893207771204942,-0.0006457529314285448,1694811039.7941997,7,8,2.0450056514989834,0.3292623097932328,0.1,0.005326546979840546,1.5278408989877025e-05,411
80,-0.007871845746135309,-0.004818574742784909,1694811058.460759,6,10,1.4387849354679152,0.34289362017267894,0.4,0.0023355865195283493,0.0009939076985066358,285
