trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725391.46069620,0,0,0,0,0,0,0
0,0.7312910649818751,0.7286162418559706,1694725591.7347746,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.7405011256685898,0.7373387867803224,1694725830.535491,6,15,1.6201574660182794,0.4593054539689608,0.2,0.0006842764422737331,0.0001984831160477726,296
2,0.7307072567755624,0.7257275419420905,1694726236.1485498,6,9,1.2422238062946245,0.369220148099485,0.2,2.984898743241403e-05,0.000436326000905218,187
3,0.7303296439577581,0.7286990728713204,1694726463.8599267,7,10,2.88636372663845,0.2899189050947725,0.30000000000000004,6.272740951122691e-05,7.145911642048774e-06,177
4,0.7263877847939885,0.7247067757566499,1694726871.823788,6,9,1.496838583603803,0.4819652645339709,0.5,3.674886808676866e-05,1.18282279326507e-06,155
5,0.7370441800403853,0.7354791706209889,1694727018.1303113,9,15,1.0687992773172446,0.288831429064878,0.0,0.0003518988403952359,8.30587763012032e-05,506
6,0.7412905523778317,0.7365814344710068,1694727250.9130425,6,15,3.6114492610044495,0.46137480697283495,0.0,0.0002561327517056228,0.0008798450860128317,243
7,0.7264575055368654,0.72626648776667,1694727658.7801695,9,12,3.3125622614206733,0.242465537494229,0.0,1.8179296176244347e-05,2.159540917294387e-06,176
8,0.7350603529451905,0.7363535312634203,1694727737.8447294,10,13,3.4499806078460855,0.28304099804637817,0.30000000000000004,0.002727138368335589,0.0006026259730389194,473
9,0.7394057847778356,0.73440056240917,1694727848.3038344,9,8,2.083145255391427,0.017754515880165134,0.30000000000000004,0.0024458406716809855,1.4237325340063056e-06,148
10,0.7380042000566667,0.7353096627349992,1694728007.4661784,7,10,3.385262418763096,0.17604746788318426,0.30000000000000004,0.0003021656939744952,5.6298812072471986e-05,485
11,0.741109987191492,0.7361997696151273,1694728320.5561013,10,9,3.530664898330671,0.17301407587797618,0.0,0.0001413276697346565,3.396756319175919e-05,495
12,0.7391839310664586,0.7350603442813283,1694728390.5531726,7,8,3.5791206609645747,0.05555537477018263,0.2,0.003547644527047409,3.501175663142836e-05,264
13,0.7398927586190414,0.7379101502624642,1694728475.8917413,9,8,2.7178559464233976,0.20569180788968827,0.5,0.002536323182356849,1.4517315203390512e-06,149
14,0.7404306632156823,0.7342436805386605,1694728532.2078083,7,14,1.996144448607032,0.1799915975856538,0.5,0.007259246054113967,1.6713106708306895e-05,467
15,0.739602173111495,0.7349634541251778,1694728601.3762102,6,8,2.580152696375774,0.33042219547919266,0.5,0.007860906687638546,0.0002040788652006566,404
16,0.7292124638272138,0.7270863080132078,1694729019.7541876,9,14,3.30199414335335,0.48717473944282197,0.2,1.774856842108808e-05,5.23505584448471e-06,163
17,0.732482168878803,0.7297723023279814,1694729384.7525492,7,15,1.1802885095990494,0.22487177894827803,0.4,6.204619074247734e-05,1.5495405504397167e-06,172
18,0.7395724222980452,0.7359764832479714,1694729465.0397828,5,15,1.5107502269142463,0.09767231278121935,0.4,0.002696848733685888,5.863023497117064e-05,474
19,0.7354105224918622,0.7364500223213805,1694729577.8464978,5,16,2.712925650567417,0.15125905625019714,0.4,0.0009511561954237732,0.0009109705226284621,112
20,0.7349621175722479,0.7309597101487714,1694729724.9731462,8,12,2.956812357963102,0.12092952704871457,0.0,0.00042923690845744403,1.2420255685052657e-05,464
21,0.7389689175698084,0.7377864933163117,1694729816.5902686,7,11,2.8987166223729015,0.2635894164732811,0.5,0.0023282539244746676,3.090911193891674e-05,158
22,0.7302853885925986,0.7296427586835194,1694729930.1265504,8,14,3.2675914937818424,0.4967520039663336,0.1,0.00018919602192914,1.8687396847552513e-05,207
23,0.7270347207651282,0.7257611478238111,1694730043.1412811,7,12,2.626271227231025,0.13261512331339897,0.0,8.047450114295664e-05,2.567085191623447e-06,206
