trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725374.38990640,0,0,0,0,0,0,0
0,0.17124604785497066,0.1133294950613839,1694725652.6732075,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.20445781184636191,0.16499310544340384,1694725780.372071,8,14,1.8727142167388329,0.2554138025988315,0.5,0.004885165336171604,2.380981008777947e-06,157
2,0.16557658502764305,0.1380543566432303,1694726129.6307542,5,11,1.089628632635701,0.22841661219735554,0.30000000000000004,6.846393360094252e-05,0.00010684758386306284,329
3,0.16726210531908792,0.1367058334244008,1694726249.8806207,5,13,1.7777573407223963,0.20755059850503482,0.1,0.0012006426178129766,2.0958546137692438e-05,134
4,0.1872613108450556,0.15878709741861785,1694726377.3631983,8,15,1.9190905971285392,0.1109789419660907,0.2,0.006443932010830324,0.0008472006248632765,365
5,0.17662324959692877,0.08268328995908758,1694726518.4626994,10,15,2.1339821239866676,0.04610850443586212,0.30000000000000004,0.00047154406945875663,1.215330197968237e-05,165
6,0.16360905249762225,0.13626699374010387,1694726652.4498918,7,12,1.8077067347531837,0.1458963871127163,0.2,0.0038159417695365293,5.7379758149718936e-05,191
7,0.17098625342514018,0.14935718014485722,1694727299.3619847,6,12,1.6162310338149626,0.10068935552153657,0.30000000000000004,1.8267878159225086e-05,2.823297197583363e-05,226
8,0.18852470065140325,0.12148845814227505,1694727440.258673,9,14,3.073278765567293,0.34459020687745706,0.2,0.0010101931381810488,1.0460344598514096e-05,321
9,0.1747103543571058,0.17010750834642108,1694727979.2196195,6,12,1.1845867924898177,0.12133771109216906,0.5,4.917593352751772e-05,0.00011869502953305068,356
10,0.1228810590358258,0.038215679407134995,1694728250.7610667,9,12,2.7899913238055882,0.03348471196641317,0.0,3.953011510085378e-05,2.854848005699732e-06,108
11,0.1802229001657809,0.14625702625910597,1694728394.0174336,5,12,1.5634444747716347,0.4760506215156041,0.4,0.00041981603259058355,0.00013229450401542684,182
12,0.17905569523183384,0.17269693058330804,1694728527.409136,10,15,3.1789584952841117,0.24011997804270502,0.5,0.001714971749145451,9.571449652053148e-05,474
13,0.16871442530744096,0.16369512277671316,1694728647.1763144,8,11,2.6585337194513365,0.09819028835006843,0.1,0.0015031726726942977,0.000226365433728117,500
14,0.19002689169240938,0.1515891612964655,1694728779.8972654,10,12,1.2693726085691943,0.2444366223080564,0.5,0.0023059750206383873,2.852874572333906e-05,268
15,0.18523734848517737,0.1774197562181855,1694729487.758533,6,9,1.2208710076580727,0.44619659379354626,0.30000000000000004,2.6915159166155542e-05,1.7473534393341244e-05,86
16,0.16244929276615505,0.113086056227934,1694729632.5248358,6,14,2.953368311324798,0.23948914868848886,0.1,0.0009050433365501446,0.0007401990680373163,259
17,0.1807311153508574,0.12994134476830155,1694729750.764777,5,8,1.2486130563926723,0.47985359362661056,0.30000000000000004,0.0032537733519507014,3.236686472450496e-06,180
18,0.19512241789096785,0.14972116796899237,1694730078.260767,9,16,2.0220654533804785,0.03233659899514163,0.5,7.457913423805202e-05,0.00016720421421487076,134
19,0.19841113430391644,0.12882359146676126,1694730850.6584404,9,15,3.1814562362401277,0.1795537624317457,0.4,2.6206038368953362e-05,8.738911590189812e-06,252
20,0.18045991161133157,0.14704274852887034,1694731129.1898,10,9,3.6403743707479466,0.39948215961040195,0.5,0.00012679699170605103,4.119260967891291e-06,172
21,0.1833997225491879,0.14110848305549883,1694731255.7792573,9,16,3.0964299951412704,0.24124852088691495,0.1,0.0031700320495519027,0.00041355999861361766,105
22,0.14773826766458686,0.1437267862681899,1694731412.9151435,6,15,3.544911691238488,0.15732649938199866,0.1,0.00019608531313154804,4.1527855125952765e-05,106
23,0.20779462135190352,0.16953207911735169,1694731546.2426138,10,12,3.3249034451227706,0.11541813278816343,0.5,0.0017909436519458247,1.0697482708907862e-05,489
24,0.18343354076264284,0.1534487421824755,1694731843.3491817,9,15,1.1364919175676067,0.027820770525844085,0.4,8.204635632995882e-05,3.551019829883781e-05,134
25,0.16239418353705948,0.14011192431452524,1694732600.7032347,10,12,3.4870032354241762,0.0370188981399982,0.2,1.5375825488177987e-05,0.0004494944080657061,264
26,0.16516500797030398,0.13214198452832526,1694732756.8412323,5,8,2.61637797400951,0.03778320225261539,0.1,0.00020373763123160044,3.114214289026227e-05,325
27,0.1631311916624777,0.15652619881054253,1694732889.4570332,8,11,2.8562097489417395,0.07862232919256812,0.1,0.002489744672721097,2.879173936063787e-06,164
28,0.15664986206409637,0.0802527161488884,1694733352.7723815,6,12,1.0022365661256938,0.015155680261233262,0.2,3.072996422053306e-05,0.00010927112423128635,421
29,0.1715117163713198,0.11890929073332135,1694733541.8549073,8,14,2.172874047201636,0.02314810149647417,0.2,0.00013059932630084037,6.1803024159046e-05,124
30,0.1760120155216508,0.15447435920685548,1694733980.954445,6,15,1.7929765799206394,0.20516010245358163,0.5,6.708993777325458e-05,2.7281602481700836e-06,379
31,0.14992405401901432,0.14111260238261913,1694734302.525157,8,13,1.1260925529807209,0.2086334473786134,0.0,5.4904306028493746e-05,0.00013127092658504698,91
32,0.18396165732776248,0.17561716521463466,1694734440.5413983,6,16,3.9136666906809268,0.2409231943398525,0.4,0.0007906191375302389,2.4950497768776423e-05,448
33,0.18918830996750047,0.12438246826869193,1694734641.1812909,6,15,1.126208570374954,0.43347684590639923,0.4,0.0002176418103557107,0.00010344529510907331,270
34,0.1907067235255978,0.15975177250797123,1694735259.8581483,9,9,2.5244722865458162,0.43574476997193645,0.5,4.5815137535978945e-05,5.698898311110619e-06,469
35,0.18486312540647032,0.12206479116773838,1694735460.3969083,7,8,3.1446600163360987,0.20720942957667893,0.4,0.00026994475918930944,3.174655930547344e-05,251
36,0.184458268824093,0.16258539444925446,1694735849.0194294,6,16,3.0063627339553216,0.3944161716714836,0.5,5.6307575414583374e-05,0.0005747273198016907,451
37,0.1835351986100091,0.10748043749818403,1694736000.328597,8,13,1.3447967141103356,0.3810579202788843,0.1,0.0003994920333132419,2.3950352828995323e-06,96
38,0.18026454344153497,0.13566135334407203,1694736864.5199735,8,12,3.024429804217818,0.39542709152714217,0.5,1.787483506781119e-05,7.827739013293682e-05,323
39,0.18461471730185486,0.1664534767958068,1694737028.5258882,8,12,2.6721021625906047,0.4342773168202443,0.2,0.0004026491029623885,0.00011827449742130177,104
40,0.12201704492414811,0.09784442004667904,1694737466.7153394,7,8,1.4134296787330998,0.0010627792329545027,0.1,4.465928722378063e-05,3.537801353107229e-05,320
41,0.17446705646622396,0.161796605808057,1694737599.807908,9,12,3.674363796765375,0.1975303948875829,0.4,0.0004552728868330392,7.438326839657043e-05,185
42,0.19196227375019714,0.10808735747854337,1694738867.442535,10,14,1.4367850872097199,0.26871718497228675,0.5,1.4033596893086091e-05,8.099524319415838e-06,396
43,0.17029384476417442,0.14379340770250992,1694738986.4572256,5,14,2.720263839951283,0.3658528377810333,0.30000000000000004,0.006579765789092699,1.0944731422658882e-05,321
44,0.18421966365681874,0.15686954819199406,1694739854.2767546,5,12,2.2581788309438116,0.49158089389510073,0.5,2.5991912994209e-05,1.3330514898218793e-06,118
45,0.1741023184989341,0.13031621185456188,1694740907.0316875,6,14,2.631933860616171,0.26746266726764073,0.2,1.0473278570492938e-05,1.5045815800487294e-05,512
46,0.19405793367865354,0.08434468261509398,1694741051.9436665,9,13,1.589388882085837,0.46023471225467694,0.2,0.0007210772922722526,4.06745699839152e-06,211
47,0.18218612590884753,0.15036221829832952,1694741202.594906,7,11,1.0666956596715647,0.3301735260975992,0.1,0.0006455067526150265,7.223389600828476e-05,377
48,0.1741448767574928,0.1258703090929828,1694741333.9514434,6,10,3.2665884307085085,0.19411209763421716,0.0,0.0051975024633948005,1.0945823221156845e-06,462
49,0.16917280062248885,0.07772461872925607,1694741546.9164186,6,11,3.9352154571881672,0.2183378707200811,0.4,0.00017264273234682726,0.0005503100403074244,387
50,0.1763850333964766,0.14160554982448703,1694741684.2004354,7,8,2.09090160348613,0.24530335117363,0.1,0.0004017182186851469,4.2555255715517165e-06,285
51,0.19321886233132468,0.1779879322823652,1694741873.42326,8,14,3.2360975352459844,0.3649868710127862,0.2,0.0002332689815923943,0.0004173700721419523,226
52,0.18505819896377906,0.09146963095335581,1694741999.8522048,9,16,3.7744251506108863,0.274618433896214,0.1,0.0007361018471756209,0.00011295488160416345,300
53,0.16664759242965832,0.04717921105562406,1694742125.0655608,7,12,1.2453722290455413,0.14564110249946355,0.0,0.0009987164251716635,0.000754575021237565,134
54,0.15449481056788783,0.09855661122606063,1694742461.7826726,5,14,2.0624934693030994,0.2529831383171606,0.0,3.41424624320649e-05,0.00012204468641023362,335
55,0.18465376804123568,0.16670037044474528,1694742594.328302,10,16,2.0788452973157185,0.3101242533304147,0.2,0.00032869332760543255,1.494532197694863e-05,502
