trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725364.45522640,0,0,0,0,0,0,0
0,0.6864374996642438,0.6709414496262125,1694725635.5522268,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.6827976511842792,0.6692468065237425,1694725781.0133805,8,14,2.8082901282149315,0.27244159149844843,0.2,0.0008663279761354553,2.054762512591135e-05,464
2,0.6740397038362155,0.6652310982765018,1694725927.091866,10,11,3.3751751142479938,0.26444745987645224,0.30000000000000004,0.0059812219011525555,1.6334587611069488e-06,103
3,0.6818950547148221,0.6720851904036192,1694726056.879645,5,15,3.3344702528495516,0.4350060741234096,0.5,0.0024973286104060573,2.423472448467594e-05,414
4,0.6795979790165837,0.6734636968147623,1694726250.6997929,5,13,1.4300598622271392,0.47233445852479194,0.30000000000000004,0.00017538232373118029,6.218230782016855e-06,411
5,0.688906734328246,0.6707295051327027,1694726395.123522,7,13,1.0563694013090654,0.30881774853793853,0.30000000000000004,0.0007092543214735829,0.0006780227021579834,370
6,0.6821527475597242,0.6766050541522836,1694726539.9755263,7,11,3.0928935877817945,0.030112735814634917,0.4,0.0010278118224157004,4.27708304996207e-06,121
7,0.678259067430579,0.6741417402762545,1694727405.650606,6,11,2.7105903112536387,0.21930075673116017,0.5,2.0236454843648904e-05,4.232824558620124e-06,136
8,0.6607773359226847,0.6325085134263614,1694728157.7382698,8,10,2.398932318568919,0.12221279600080137,0.0,2.143509553579855e-05,9.310837957239839e-05,126
9,0.6780927002583981,0.6701627101655857,1694728842.654965,6,11,3.4629796895438054,0.048550637896530635,0.5,1.9422056969726908e-05,0.0008499206771743684,274
10,0.6710298178321434,0.6545178509240965,1694729328.0654407,10,13,3.217790738194905,0.019593896127160337,0.1,2.293980298131184e-05,7.734292502064649e-06,117
11,0.6785980972027483,0.6720458011155886,1694729651.2476685,6,11,1.192442489046353,0.3462360596850099,0.30000000000000004,6.254152586876394e-05,3.7131642495346186e-05,106
12,0.6822517116848512,0.6735413069484438,1694729787.9633193,8,16,1.955706857353971,0.33370518998184084,0.0,0.0014092291316435573,7.382751981499337e-06,146
13,0.6725177212095816,0.6685334998363723,1694730079.9089868,8,8,3.4868200876520894,0.002347738096273533,0.4,6.456897906217097e-05,0.00016053955926854287,496
14,0.6796399485352974,0.6709728150013395,1694730206.264309,6,13,2.776125793815517,0.2861259528954367,0.1,0.007215177748314317,2.1947049130435382e-05,444
15,0.6853530073006818,0.6717176970183267,1694730352.8049438,9,10,3.4413934591074318,0.19825287042349232,0.5,0.0005543941231681782,0.000441780035302378,374
16,0.6824984924548878,0.6722033673961672,1694730486.4529784,9,12,3.8682509041696718,0.3219950996148187,0.2,0.0006594466135702367,1.1417725427734158e-06,199
17,0.6717073737422574,0.6527120779971802,1694730661.0528505,8,10,2.8540462869965246,0.21438435047288307,0.0,7.849590083353895e-05,5.127370874628441e-05,329
18,0.6770106421269211,0.6672046157125376,1694730868.5142646,8,13,2.9563098100050667,0.21570921771698698,0.5,0.00012667345328336828,2.0304615777978837e-05,464
19,0.6858596633305936,0.6662932945556518,1694730985.2853353,9,14,1.3006806619369033,0.4597413068723368,0.4,0.009920670368929657,2.8076625808718815e-06,453
20,0.6866468436235877,0.6759671576406775,1694731126.2367651,5,13,1.3714599485483245,0.4240041146611172,0.4,0.0005096854263999023,1.6655201514737625e-05,95
21,0.6812116230720882,0.6760928199672198,1694731249.5531068,9,12,3.1661667984110435,0.4331911629643146,0.5,0.003693261231099637,1.0842820109306236e-06,225
22,0.6630275736380387,0.6501727605957414,1694731950.5152059,9,9,2.563109818612388,0.027168994169626814,0.1,1.1364893841747691e-05,0.0002404878335900934,164
23,0.6744900367720135,0.6577737521286419,1694732079.183223,7,16,3.1132432057705985,0.015919464765653923,0.0,0.0007318721218160563,5.391204002783813e-05,170
24,0.6819921721811256,0.671075610545375,1694732334.0171664,10,13,2.606898409074875,0.2949549881772855,0.4,8.626507146510394e-05,1.5655364608361652e-05,158
25,0.676278861598629,0.6607090071845514,1694732571.5538342,6,16,3.2186523851478626,0.24522940430878354,0.1,5.795213566496777e-05,1.4930951369986466e-06,259
26,0.6703003875968991,0.6520727118041436,1694733211.3945756,6,14,2.133255517877443,0.0898018387798174,0.0,1.5912883907384314e-05,0.00010918885718097317,267
27,0.678954082660478,0.668082727546166,1694733444.2033522,8,16,3.971016842190113,0.10844849219923697,0.30000000000000004,6.16548336335617e-05,1.1533284318779028e-06,404
