trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725364.34488060,0,0,0,0,0,0,0
0,-0.004087636215640789,-0.008423606442002463,1694725630.2664728,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.015851399075868633,-0.051575445235120254,1694725798.176791,6,15,1.6201574660182794,0.4593054539689608,0.2,0.0006842764422737331,0.0001984831160477726,296
2,-0.021306009227137324,-0.06715081759159691,1694726438.865883,6,9,1.2422238062946245,0.369220148099485,0.2,2.984898743241403e-05,0.000436326000905218,187
3,0.002505706198696389,-0.016770131923482978,1694726811.195616,7,10,2.88636372663845,0.2899189050947725,0.30000000000000004,6.272740951122691e-05,7.145911642048774e-06,177
4,-0.022143281147367633,-0.02280532976953986,1694727963.0762424,6,9,1.496838583603803,0.4819652645339709,0.5,3.674886808676866e-05,1.18282279326507e-06,155
5,-0.015658059071732344,-0.01028259164042633,1694728117.3081112,9,15,1.0687992773172446,0.288831429064878,0.0,0.0003518988403952359,8.30587763012032e-05,506
6,-0.005972574404889519,-0.024999228083046,1694728300.1522484,6,15,3.6114492610044495,0.46137480697283495,0.0,0.0002561327517056228,0.0008798450860128317,243
7,-0.019369633720928592,-0.021339251065525033,1694729147.8011456,9,12,3.3125622614206733,0.242465537494229,0.0,1.8179296176244347e-05,2.159540917294387e-06,176
8,-0.015104419408895842,-0.038058984191917666,1694729324.969689,10,13,3.4499806078460855,0.28304099804637817,0.30000000000000004,0.002727138368335589,0.0006026259730389194,473
9,0.009351387640513131,-0.0062399768120386945,1694729456.2611613,9,8,2.083145255391427,0.017754515880165134,0.30000000000000004,0.0024458406716809855,1.4237325340063056e-06,148
10,-0.03510450789818664,-0.05055059479815038,1694729682.2470646,7,10,3.385262418763096,0.17604746788318426,0.30000000000000004,0.0003021656939744952,5.6298812072471986e-05,485
11,-0.04138144914677344,-0.08499218533692754,1694729900.9533863,10,9,3.530664898330671,0.17301407587797618,0.0,0.0001413276697346565,3.396756319175919e-05,495
12,0.0024553416366985825,0.0014447350899317035,1694730037.7015066,7,8,3.5791206609645747,0.05555537477018263,0.2,0.003547644527047409,3.501175663142836e-05,264
13,0.02144824508990073,0.027107946852063747,1694730167.2489738,9,8,2.7178559464233976,0.20569180788968827,0.5,0.002536323182356849,1.4517315203390512e-06,149
14,0.0036720899703536203,-0.0005293757088018491,1694730294.3314135,7,14,1.996144448607032,0.1799915975856538,0.5,0.007259246054113967,1.6713106708306895e-05,467
15,-0.0024097289947060396,-8.929574396132622e-05,1694730423.842737,6,8,2.580152696375774,0.33042219547919266,0.5,0.007860906687638546,0.0002040788652006566,404
16,-0.017703559137469238,-0.04325141839468438,1694731100.631813,9,14,3.30199414335335,0.48717473944282197,0.2,1.774856842108808e-05,5.23505584448471e-06,163
17,-0.007194104253727129,-0.014303461938786288,1694731623.1651564,7,15,1.1802885095990494,0.22487177894827803,0.4,6.204619074247734e-05,1.5495405504397167e-06,172
18,-0.012562646705845504,-0.005090425797112497,1694731746.7714949,5,15,1.5107502269142463,0.09767231278121935,0.4,0.002696848733685888,5.863023497117064e-05,474
19,-0.016094662587550435,-0.03445269228731407,1694731895.8400922,5,16,2.712925650567417,0.15125905625019714,0.4,0.0009511561954237732,0.0009109705226284621,112
