trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694806405.46659370,0,0,0,0,0,0,0
0,0.5834787096774194,0.5679516807311503,1694806421.6628644,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.5860564741185299,0.5714148704687486,1694806495.8582478,6,8,2.3896555794950336,0.3624669645960739,0.2,0.00028594420172544803,1.0923012830060756e-06,282
2,0.5888306076519129,0.5693465510517531,1694806513.3565853,10,15,3.1898934106624557,0.05436803593448747,0.5,0.003727887014635882,3.1279503637247993e-06,347
3,0.5837191297824457,0.5693187487387611,1694806530.3487234,5,9,1.9491019348376213,0.07895615333746847,0.4,0.002849876719299812,1.081118932799183e-05,207
4,0.5876533533383346,0.5698396479701658,1694806557.7686465,5,8,3.138177807066529,0.29977169812882776,0.0,0.00027503745770253506,1.603354082325706e-05,444
5,0.5797300525131283,0.56707998687911,1694806590.4308286,9,13,2.6571514645164918,0.47455119887331876,0.5,0.00010331470713610107,5.2435333814151534e-06,421
6,0.5845796249062266,0.5662373215446855,1694806622.3376887,5,11,1.2100684078735073,0.159683853525455,0.0,7.42661655584571e-05,0.0002345866915453269,470
7,0.5878582445611403,0.5732851953759374,1694806700.0430775,9,13,2.848055155217954,0.1807417711016009,0.1,0.0002035742300959646,0.0001579341360590834,92
8,0.5857359939984997,0.5721368672583947,1694806728.967118,5,14,1.899856028291663,0.35058213752175843,0.4,0.006290915931816627,1.5884929758604036e-05,224
9,0.5873415153788448,0.5717642011512111,1694806760.7553446,9,14,2.957844219746752,0.40548328697753366,0.30000000000000004,0.007453017800400486,1.0037446982295981e-05,395
10,0.5711003750937734,0.5638323088602243,1694806849.5545988,10,11,2.8348959902044433,0.18283508378857655,0.2,1.678827131899691e-05,1.1429575134408604e-06,405
11,0.5733328132033008,0.5607753431971569,1694806865.65543,7,13,3.219854553393684,0.2093317150909204,0.2,3.214300173793064e-05,0.00024077823129993223,438
12,0.5889095873968493,0.572042086645921,1694806889.928229,9,15,2.94416932592744,0.3480330873853286,0.1,0.0020086150148506386,1.005191211628364e-05,260
13,0.5853667816954238,0.5716871504566086,1694806924.7398515,6,13,2.9760770542992656,0.28777927052761726,0.1,4.508272157001442e-05,0.0003426222735466225,199
14,0.5856456114028507,0.5710579823618723,1694806941.9229732,7,8,1.9029375095228016,0.042847403006693374,0.2,0.0013424652518631212,0.0008354198061155371,344
15,0.5853605401350338,0.5719574785269048,1694806967.1195142,6,13,2.880993457573932,0.4128261145361251,0.30000000000000004,0.005412089804905535,1.7640504757223524e-05,192
16,0.5834952738184547,0.5703522640642167,1694806988.7164414,8,16,3.171733787858842,0.24695650056675295,0.2,0.0008834187138131173,2.2045171466286607e-05,311
17,0.5864991447861965,0.5709552814685146,1694807041.2549894,10,16,3.5220562911659345,0.06352413055569966,0.30000000000000004,0.00012568447434812053,0.0005437339527912917,204
18,0.5827723330832708,0.5722974750394788,1694807074.0900745,10,10,2.261172324536955,0.4799813236702409,0.30000000000000004,0.0062581485097137285,4.1357175959101474e-05,166
19,0.5843904576144037,0.5715026441976598,1694807095.216313,9,12,2.516419505858713,0.06824225662777189,0.0,0.00614915362276888,0.0007382012770119224,497
20,0.5554350187546887,0.544861897327935,1694807133.1403632,7,8,2.6617818184647577,0.36815473589103564,0.30000000000000004,1.4414465643080551e-05,4.996299889983138e-06,380
21,0.5865837659414853,0.5722331368336254,1694807158.7926245,5,15,3.9672434847380678,0.1238998212416011,0.0,0.008691203622787223,0.00020028519787478201,267
22,0.5887170592648162,0.5714695366728273,1694807193.6420393,7,16,2.067490239587806,0.026589914389497815,0.30000000000000004,8.662321089404485e-05,0.00011083505190407683,489
23,0.5833412753188297,0.5704178785238617,1694807210.2301161,7,10,1.158855604325342,0.4158299697652392,0.0,0.0071866491108050325,0.00013135387327125578,473
24,0.5777789647411854,0.5684375580570352,1694807227.4811277,9,9,1.5277104451778725,0.48069388587853706,0.1,0.002354184944210269,3.2536470787849615e-06,198
25,0.5867290022505627,0.5712432393583455,1694807264.320549,9,10,3.255601507488563,0.4396280315261994,0.1,7.872698671712239e-05,1.2111501359862881e-06,253
26,0.5862436009002251,0.5737706723084759,1694807328.0684805,5,13,3.0638087406143124,0.2841529154639537,0.30000000000000004,0.0006294341657112455,0.0005104371640032628,302
27,0.58559951987997,0.5702730487430852,1694807396.5557127,10,11,1.4218776557604418,0.1109385455177812,0.4,4.887099390439124e-05,0.00020778454529947788,469
28,0.5806910127531882,0.5644046336120604,1694807416.3274477,8,9,2.870489810371855,0.18974859419326767,0.5,4.6872211143647774e-05,5.045050709257538e-06,280
29,0.5648516129032257,0.5434173782323755,1694807456.7658365,7,9,2.123006705109567,0.33408551113385615,0.2,1.5106337495756723e-05,1.7616618392265467e-05,250
30,0.5823817554388597,0.5728512690867509,1694807488.667475,7,8,1.8219771754232474,0.47520563279124745,0.5,0.006639371610548615,0.0001890907615188002,258
31,0.5691013953488372,0.5610578832645191,1694807509.3558335,10,10,2.7796475787673685,0.2937171118986061,0.2,5.6377347995321794e-05,9.804971295721193e-06,352
32,0.5835393248312077,0.5716963094544081,1694807551.086968,6,11,2.0623078971433912,0.16240293519560084,0.4,0.00043386638693263864,1.1352975046518823e-06,396
33,0.5744409302325582,0.5640954048257008,1694807617.882618,8,15,2.4836909064611783,0.15541887649306274,0.5,3.31157860442957e-05,6.8364353206880445e-06,281
34,0.5759954388597148,0.5644016306619624,1694807641.3038332,10,9,2.0160654111280594,0.2661200895533734,0.4,2.0681508256871083e-05,0.00018443820978593397,314
35,0.5567409452363092,0.5495226885892701,1694807662.024154,8,11,1.9439413603910651,0.4452523103944422,0.5,3.3546297510368894e-05,4.310260657998212e-06,363
36,0.5828777194298576,0.569701399655021,1694807704.2697766,9,15,1.9073366146723751,0.10455015281892555,0.0,0.0001345850439870037,4.869161813090417e-05,455
37,0.5806824906226556,0.5648736693928115,1694807797.0668,5,8,2.959435374592345,0.3356605294135568,0.0,1.9457951241159274e-05,1.2131903271740562e-06,355
38,0.5546653863465868,0.5472706261631426,1694807849.943189,6,10,2.993646978338158,0.0605002333829438,0.30000000000000004,1.8740213097193344e-05,1.57488275078218e-06,364
39,0.5846317179294823,0.5705829406809249,1694807909.2382128,9,12,2.206438174717771,0.3507743992643668,0.0,6.836733096681463e-05,0.0005197592489632499,490
40,0.585739474868717,0.5693269067531943,1694807932.7195253,5,8,3.3036523668264404,0.2259391380988856,0.4,0.0008490811095905436,2.2074921642867922e-05,382
41,0.5879711927981995,0.5708698850750977,1694807976.4807746,8,8,2.3983615512899332,0.44100232473394574,0.4,0.0009221134608895209,7.323794844445027e-05,430
42,0.5667714928732183,0.5516641673780323,1694808015.4300125,6,11,2.8919687972714936,0.410477891059579,0.1,3.202095944430042e-05,6.557961126065573e-06,261
43,0.5800141635408853,0.571204601400416,1694808053.5883217,5,13,3.689440082282928,0.17109890609792683,0.5,0.000181503214671837,4.047914973472587e-05,502
44,0.584988927231808,0.5683747963999832,1694808092.904646,9,12,3.263674049870391,0.23665366378407449,0.4,4.6456579804611465e-05,1.7009308117243334e-06,333
45,0.5861248912228056,0.571546462244509,1694808114.3982828,8,12,1.352432287167628,0.46727198152890115,0.0,0.007987205640152935,9.00237960719213e-06,190
46,0.58447855963991,0.5721328633249305,1694808174.950757,10,16,3.10198421132351,0.47761752046718636,0.1,0.003714710573006743,7.154779273808672e-05,196
47,0.5889233908477118,0.5705474933574743,1694808272.344426,8,8,3.3759694024228333,0.320938662128459,0.0,4.560120850926883e-05,7.50281153351035e-06,276
48,0.5856127231807954,0.5675587071739276,1694808314.1749449,6,10,2.654448420191456,0.07349281442297378,0.4,0.00022475278298081088,1.664580210163944e-05,321
49,0.5817524381095274,0.5652692455067859,1694808338.7561452,5,16,1.3454780386157328,0.2735592984794667,0.5,2.615614508039108e-05,0.0001248621858971177,501
50,0.5858227756939235,0.56973129152079,1694808360.000368,10,11,2.877290016495386,0.4711879811512971,0.30000000000000004,0.004153930605100235,0.00012380169127986898,80
51,0.5693931882970743,0.5595084360876125,1694808378.5385156,7,16,2.406401681924832,0.21698496425856711,0.1,3.014459555918951e-05,0.00010153594392554472,241
52,0.5881819654913728,0.5706997304151598,1694808476.6821787,10,8,3.6230479912741664,0.04618466173802921,0.4,0.00023663293792446094,0.00016615936323293145,266
53,0.5889967291822955,0.5710941929351396,1694808522.4993634,5,16,2.9274340304190587,0.10740848190882468,0.30000000000000004,4.2548920711084806e-05,1.6062413175717252e-05,331
