trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725491.14367180,0,0,0,0,0,0,0
0,0.5889595761991923,0.5717487028671858,1694725526.000951,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.5901797904143364,0.5753078660541001,1694725563.7923536,8,14,3.611283057174438,0.004023474264908955,0.1,0.00746124357802247,3.46218393455652e-05,206
2,0.49693221207606453,0.49108212959938013,1694725603.161158,8,9,3.41944407377281,0.17112731280734217,0.30000000000000004,1.0414090720927975e-05,0.00010458211838885727,158
3,0.5147193680369856,0.5109828460351472,1694725647.67766,10,11,3.2572567662578393,0.381569500922761,0.5,2.1396046583465234e-05,7.948330938209046e-06,277
4,0.5896026196801808,0.5714966378158037,1694725698.225062,9,10,3.1034539591734625,0.3285000296871312,0.1,9.251006337777405e-05,0.00045984595517283266,101
5,0.591567985542176,0.5749846331215901,1694725733.4229238,9,8,3.1944433797181855,0.3712556774967719,0.2,0.009422127931542557,2.2720186724406908e-05,149
6,0.5898963969878956,0.5740935254801641,1694725756.8692777,7,14,2.0723060897552967,0.02580927699753799,0.1,0.009917765483278666,7.306587168601358e-06,271
7,0.5913833471532698,0.5686555861682455,1694725784.11555,9,16,1.5262079279966312,0.10621068795153338,0.0,4.2271102660605097e-05,0.0009706526255807923,174
8,0.5900963948678531,0.573214758887717,1694725806.2458386,5,12,2.368365445670088,0.3672451144729409,0.30000000000000004,0.0007298114623433989,2.8217458993588554e-06,305
9,0.5884897055715363,0.5727655167365018,1694725895.8528259,5,9,2.3505356704420763,0.21453617360335442,0.4,1.662320076983349e-05,6.860527180471776e-06,138
10,0.5923349866058748,0.5741245587317512,1694725966.7845154,8,13,2.9158237846824875,0.10701285216976092,0.2,0.00025144473235736277,1.7750379672537975e-06,320
11,0.5907475507560871,0.5734141967651721,1694726015.0800529,6,8,3.8935878346600212,0.037329973278890705,0.4,0.00032202513489873333,1.8959745540519902e-06,299
12,0.592935737403757,0.5736161517970932,1694726108.6627493,7,12,3.80502090490252,0.49752515147846743,0.30000000000000004,0.00011544917033015613,2.077165219658188e-05,412
13,0.5794443714928712,0.5680458637663329,1694726128.8483846,8,8,2.9547581802183465,0.4843080041756764,0.1,0.00015072012341348228,1.7700912041677964e-06,433
14,0.5890624415230643,0.5721460869750051,1694726149.169296,6,9,1.4894051509034276,0.13898184638557703,0.0,0.0017630587846519511,0.00036428784618093584,479
15,0.5828185920798243,0.568075195607957,1694726174.583571,6,12,3.220946403608982,0.32531861139114526,0.1,0.0001471681540024772,0.000519664006099212,392
16,0.5802682675727181,0.569344330905499,1694726202.204719,5,9,3.6649551567448553,0.20635254747260184,0.1,0.00010984849271139009,1.7242362258198863e-05,403
17,0.5916984330506827,0.571976330543961,1694726241.4232297,5,15,2.1394245284712112,0.23843900200418694,0.0,6.555293322859314e-05,0.0006878819523603184,276
18,0.5915996780131482,0.5716135456565556,1694726270.8213365,5,12,2.8620076155975758,0.4245132950440264,0.2,0.00748619015992044,3.8643032488442415e-06,295
19,0.5895994828827125,0.5729717486003165,1694726315.00065,7,10,2.8122684865137213,0.03983620846966435,0.2,0.0002643723043690541,0.00016121903280518312,195
20,0.5905745942336144,0.5750582831967052,1694726348.0551429,6,9,3.9461510726743247,0.22646185026432702,0.5,0.004878874863328833,2.1024278958353874e-05,248
21,0.586546189126389,0.5710944990828818,1694726367.5211868,8,16,3.413610925325811,0.2372376512518239,0.2,5.836937421942e-05,6.644808581458761e-05,92
22,0.5876451498945712,0.572279239784857,1694726397.0123167,8,8,2.561602448074141,0.2988262032430138,0.4,0.00037612836354723197,8.27609396013536e-05,306
23,0.5911710184142992,0.5724957034154361,1694726447.6903405,6,10,2.3292133838754876,0.18842342284093877,0.30000000000000004,0.00017323095950661085,0.0007247792913878763,331
24,0.59077783707647,0.5750131725256971,1694726475.8976738,7,16,1.676181330326331,0.2271609237901207,0.2,0.001912814431526258,5.183326233762108e-05,372
25,0.4294372001248662,0.43643464787607755,1694726507.2266655,7,9,1.4406002382704062,0.12735243741897612,0.2,1.6044714887369456e-05,0.0002512470186525629,94
26,0.5891093853196581,0.5728167804517598,1694726554.4644053,5,9,1.6668407057751005,0.1323279757680365,0.0,0.00014312995933946145,0.00011172385418688595,108
27,0.5845506451094408,0.5733658580766315,1694726576.1517265,9,8,3.639545074341363,0.22401796517828765,0.30000000000000004,0.0001841424538663245,0.0002565647788728511,215
28,0.589731985534388,0.5721130260156537,1694726602.3552434,6,9,3.453269869544666,0.05022465050323294,0.0,0.0012332027456394832,0.0006538163667566348,108
29,0.5591378263378063,0.5497138356630491,1694726625.7916758,6,9,2.1930225599736124,0.28402945444506017,0.4,0.00019288646542964886,0.00021374839516551187,242
30,0.5791411837927517,0.5696719805118172,1694726742.8556006,7,12,1.7028183150678828,0.1594253384403609,0.5,1.817733307556702e-05,7.875164465289482e-05,128
31,0.5925154065430134,0.5754143789791872,1694726777.7853677,8,9,1.0754708930367176,0.2561307022098161,0.2,0.001036183166781909,5.490460999339769e-06,497
32,0.5835544414997005,0.5713076414679849,1694726851.841873,7,13,3.071219949513636,0.47452359173009967,0.4,3.538365014962994e-05,8.927245195017109e-05,428
33,0.5828577479654623,0.5700447524426362,1694726876.3930428,10,12,3.00809336848309,0.4605547458979831,0.2,0.00024048323977506408,0.0007543610491076697,507
34,0.5877496376998923,0.5734235894804479,1694726925.2939408,10,16,1.7664487001158151,0.30740043385806115,0.2,0.00027495587095752513,1.0114847012329658e-05,270
35,0.587490689660618,0.5702636050392593,1694726943.3597856,8,8,2.0423182879696915,0.14298889747562954,0.2,0.003129800303843619,3.9024690351755793e-05,157
36,0.5835973831753865,0.5693226087947373,1694726962.8244214,6,16,1.4292120491503748,0.18893459208002655,0.2,0.0004778996993045841,0.0008377585706478559,253
37,0.5895595698390649,0.5720816664662653,1694726981.077318,6,15,3.887666660524532,0.03062854724422226,0.5,0.0015777368719916678,3.568050627614047e-06,114
38,0.5867616546628277,0.5713885050552037,1694727010.3910766,5,13,1.9516778897613607,0.2636408178480133,0.1,0.007973222782567943,5.290128833838732e-05,439
39,0.589950804199155,0.5735829859563059,1694727062.5439956,7,16,2.3488188522890088,0.20029007814271865,0.4,0.00016381254153017714,0.0004479097125296651,248
40,0.5870770650565305,0.5688071981108476,1694727079.1926084,5,12,3.3121035743524416,0.07182868083653488,0.1,0.0011711883262235266,0.0008962333475523097,136
41,0.5903784903091345,0.5742434127058172,1694727110.141925,10,12,3.3240099781823895,0.3239494697705216,0.5,0.0035368424406041635,1.2676268818195895e-05,197
42,0.5890041403563273,0.5713681230961252,1694727149.3078773,8,11,1.7480752354664977,0.2514051794146311,0.2,0.0009954888776561783,0.000959768150464443,301
43,0.588529726780614,0.5719450875295016,1694727195.8215716,10,15,2.059162906592567,0.2742962709945771,0.5,0.00012063029779450199,4.574468492729514e-06,497
44,0.5914848063265528,0.5738414604287818,1694727212.5551639,6,16,1.237719257782874,0.08831099371584744,0.4,0.007579421581773803,7.328402166813093e-06,249
45,0.5907278646478382,0.5747273123449109,1694727240.3879292,7,12,2.924821619273101,0.49670459581568926,0.30000000000000004,0.007235052518517522,4.953149705194159e-05,90
46,0.5903737310302173,0.5738594650753092,1694727262.9578598,8,14,2.638908006737185,0.24663788160551275,0.0,0.000951611757684538,1.5264626180095638e-05,397
47,0.5897715740817457,0.572594676530618,1694727297.9264624,10,13,2.2627414715380842,0.3623264535453162,0.1,0.0008854162993126722,0.0009002243553366412,322
48,0.5858589059845553,0.5727750259867065,1694727356.1008372,8,12,2.4055443084670785,0.4994792051102572,0.1,2.4569831501148857e-05,0.00013687456879926874,458
49,0.588942269730402,0.5712675068384444,1694727375.610431,7,15,3.167971256392497,0.3937972828743898,0.5,0.0013182717140904198,2.109350101478568e-05,502
50,0.5846805517907977,0.5712345973745007,1694727496.7557712,6,12,2.373176829071831,0.062640164451575,0.5,1.560537830321075e-05,0.00027174789242388774,429
51,0.5810422993893629,0.5677895218830571,1694727589.2799299,5,11,1.6703936699426887,0.45410494328493656,0.30000000000000004,4.454366013394176e-05,2.3992781124116463e-05,462
52,0.5908557161860264,0.5748783998803326,1694727619.1460102,10,11,2.4375394220714526,0.11481783529322881,0.1,0.000325211052919979,2.7362656261838017e-05,502
53,0.5751702145288238,0.5683529099972077,1694727635.5255978,5,9,1.8430376241645183,0.4040132730412819,0.4,1.0682266728697421e-05,1.4704059658687077e-05,70
54,0.584014685404092,0.5678206949765591,1694727662.26947,5,15,1.8252622707783326,0.35618955060211327,0.4,0.0003195199592787152,2.7532338252564227e-06,262
55,0.5908056355919645,0.5736264767918009,1694727699.3432407,8,14,1.1270869665749537,0.45980655536934095,0.5,2.1574080997405337e-05,3.08968007350066e-05,188
56,0.588918905997535,0.5707186040159661,1694727727.2017524,7,10,3.2237611372378123,0.40166556346856486,0.2,8.781904035638614e-05,5.361161244435402e-06,90
57,0.5821747914408263,0.5677904192020103,1694727773.267677,8,15,1.7837896190629337,0.006436878872664642,0.30000000000000004,1.1641958114291062e-05,1.3772961297769423e-05,254
58,0.5890229611411365,0.571257974281254,1694727794.0095701,8,10,2.960566638689531,0.0922385384081908,0.30000000000000004,0.005719760290342633,7.2224278397056856e-06,157
59,0.5849346323857249,0.5721949850312049,1694727823.7406137,8,8,2.651281634674672,0.4290403412965823,0.30000000000000004,0.0011884637047554865,6.156842584922633e-06,247
60,0.5869944266680569,0.5700164461083871,1694727840.825851,6,11,3.749593644363859,0.4428489665358785,0.2,0.0069655091346799555,4.9432350981872855e-05,368
61,0.5867213089574604,0.572369542701323,1694727884.2691956,6,14,3.2719302157608334,0.08547150548480387,0.0,0.0004950298935656715,0.00010671418097765677,96
62,0.5885226960276678,0.5731148534931031,1694727907.2893698,10,8,3.7764500495223374,0.025224780503345534,0.4,0.004091133398871079,3.7990093841433062e-06,122
63,0.576506057588573,0.5671705349542907,1694727974.6257498,8,16,1.3624588042030177,0.44934579465762314,0.2,6.787905737365134e-05,0.00015703134822154683,328
