trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725454.00616120,0,0,0,0,0,0,0
0,-0.00776549248403291,-0.01339896989974143,1694725732.570764,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.015345278916898186,-0.019507323423711975,1694726046.116897,10,12,3.918053079894653,0.35740799683718233,0.4,4.449062295352051e-05,0.0008488351677146049,66
2,-0.023304547075023718,-0.01628611346479758,1694726175.942011,6,11,3.3381487653812574,0.09884253730012654,0.5,0.008916656398688452,3.101178212970888e-06,332
3,-0.007986907282846456,-0.02190998859734572,1694726304.9329674,5,11,1.1324801737944987,0.47832648385711796,0.2,0.007029621154678124,0.0002285167073663151,452
4,-0.018646894304481965,-0.014973806857040417,1694726470.1191418,6,8,2.8022281641333078,0.08398609185920192,0.4,0.0001680086261350344,3.834656529668796e-05,484
5,-0.0010853476286620811,-0.04122509195487245,1694726607.3936465,8,8,1.4746702215543983,0.2726013258516064,0.30000000000000004,0.0008181458511011513,1.6013502457514096e-05,355
6,-0.017448095140149222,-0.0230475772463985,1694726744.6649184,7,13,3.3022149012703714,0.08948695502056542,0.2,0.0003218097351972291,0.00011481568990526385,177
7,-0.015821035292091112,-0.030257343553059313,1694727085.8663538,8,13,3.686503498168438,0.18142679421656321,0.30000000000000004,3.7526598987597545e-05,3.11445703386225e-05,145
8,-0.0022819662925188666,-0.011006354596344803,1694727261.3769305,10,11,3.4905643062950387,0.2083881523391813,0.5,0.0001638610192492188,9.851979721981257e-06,320
9,-0.03167524722052417,-0.03144459851734438,1694727502.581756,10,15,2.7870643512050033,0.04233080551020513,0.30000000000000004,5.449556074899306e-05,0.00015768135589624648,465
10,-0.017707592909027126,-0.01734712948497341,1694727632.8585594,8,13,1.1952034371484221,0.27003736482140317,0.0,0.0006977318355156063,1.2329658307469299e-05,408
11,-0.012187173836009757,-0.026266627238614282,1694727761.6770952,5,8,3.052069645370883,0.25732684854182825,0.30000000000000004,0.0033971989561808755,2.9054467312470838e-05,427
12,-0.00037830347281819776,-0.0012343719224106042,1694727892.1058056,8,16,3.000783314618878,0.07436341971702848,0.2,0.003956623697822891,1.1242311968217274e-05,148
13,-0.043776329400868175,-0.02433532667983762,1694728036.7536192,7,11,2.856789779932281,0.2183831459697566,0.1,0.00017274943474446006,1.8075990468578393e-05,469
14,-0.014102137071440701,-0.03986361496723401,1694728167.9232497,10,13,1.2495523677125835,0.3664993587979975,0.4,0.0030065511793871246,1.1024375826514967e-05,90
15,-0.024110594312430234,-0.03902938401946243,1694728305.5077083,8,9,3.278588587489994,0.3972116587883211,0.2,0.006782542404422541,3.3215391925038975e-06,487
16,-0.021859904981330835,-0.01468620183914826,1694729257.9960463,7,14,3.2584605864412386,0.4906049595656304,0.5,1.3190867985233182e-05,1.1166416754012388e-06,307
17,-0.01499106374740844,-0.02928808678778605,1694729494.7762065,5,13,2.6047078049933576,0.33327919805013007,0.2,6.567716171462559e-05,0.0007063286458453467,390
18,-0.005570192783087569,-0.01781698695900147,1694729623.4777224,5,8,2.8950767353749387,0.14401841349885408,0.2,0.0022110235670194907,1.1546134560728502e-05,479
19,-0.011836834104246519,-0.017002356454298706,1694729761.2664342,9,12,1.5428945080753071,0.2047956948338247,0.4,0.009384053077655415,1.6632484307268035e-06,124
20,0.005730768696038724,-0.004970478888234986,1694729892.0162334,9,15,1.266318572170608,0.41470897486050284,0.4,0.0011605499029943666,1.0465964310687613e-05,263
21,-0.024799118751985816,-0.02133970273697905,1694730022.0241017,7,15,1.9849664106427245,0.16128748812662785,0.5,0.005753896466559641,0.0008054199377387592,426
22,0.0050633834772317865,-0.010909786526657639,1694730172.5417182,5,8,2.671246225795612,0.4280918854639088,0.5,0.0008138530935014645,0.0007369088664303212,132
23,-0.010135927420881208,-0.03196511783545808,1694730359.324704,6,10,1.7704147626446716,0.15610251614002596,0.0,0.00013366583939300306,1.2283496041087623e-06,305
24,-0.014806829149450085,-0.018416284449708886,1694730497.9813209,10,12,2.872459732990973,0.30590617430086453,0.5,0.0015979278241268612,0.0002981692031065823,214
25,-0.0035589789879262312,-0.007793049801656515,1694730629.2388446,10,9,2.2239468066818526,0.36872598670733814,0.2,0.00455410137723805,0.00038191576547231274,138
26,-0.028568065834469136,-0.021521093150711268,1694730866.529044,6,8,3.576162545467855,0.16961245411205944,0.2,6.472863470482327e-05,2.34252193470576e-06,269
27,-0.004961451375181891,-0.03094395508918968,1694731046.6457644,6,13,1.6082951432183763,0.25569364106787434,0.5,0.00013046713305083193,0.0007288820716531925,89
28,-0.0050763862033313956,-0.0066464403118249304,1694731177.4538147,8,13,3.885259953237579,0.46259256561421136,0.30000000000000004,0.0018987090503368171,0.0008466732617738975,394
29,-0.01686044513554985,-0.02683485613977421,1694731315.8958826,10,16,2.445301484199793,0.3299471154401091,0.1,0.0002046776477642779,0.00039661813361326347,323
30,-0.020670254105992436,-0.04116851282606726,1694731510.2697396,6,9,1.695565605455064,0.06249628239336197,0.1,0.00014149465354880965,1.3449173389986114e-06,440
31,-0.015335254719258895,-0.0299545545452089,1694731792.4997385,7,13,2.90840204429243,0.06642100323304478,0.0,2.9484694901710973e-05,0.0009092308650157958,110
32,-0.020942710028423184,-0.028789176464580235,1694731973.5382323,7,15,2.752826958126363,0.00876683568589448,0.5,0.00014205057291421199,3.185595456474709e-06,215
33,-0.018358864596270896,-0.03402834937230348,1694732117.3455858,8,8,2.929925563943508,0.30505320015926096,0.1,0.00018969386296088618,3.806667027822461e-06,73
34,-0.024895681585911378,-0.026135416925213928,1694732247.3978229,8,12,3.52616994412606,0.09952782698187695,0.2,0.0010054572212417753,1.6032597513020866e-06,223
35,-0.022695636135664277,-0.0332007429162946,1694732377.7771564,9,10,2.0919319673981307,0.28868184939548963,0.2,0.004269180411029675,0.000379877730011595,438
36,-0.02875960880533368,-0.04072746771410296,1694732528.4800751,7,9,2.916589309430786,0.21407749072110016,0.30000000000000004,0.0008977484730113977,0.0006604266708420986,426
37,-0.00026681116971016827,-0.016071556849146962,1694732686.0601916,5,16,3.031201998126491,0.15971259758473627,0.4,0.0002660061989906854,4.8205622053901455e-05,320
38,-0.030076482868291787,-0.019617280761252465,1694732879.9307585,5,11,2.307204223731999,0.02886254958449125,0.4,9.55904064289166e-05,2.6949989324780304e-05,489
39,-0.023327055694595478,-0.030150180509656677,1694733010.6185105,10,10,2.200815108364676,0.2856171019425834,0.0,0.0024465445909146906,9.359569645055359e-06,115
40,0.002279758916348018,-0.02764100800888869,1694733852.4676597,9,12,1.08130120288132,0.2813918065680425,0.4,1.2391617633903937e-05,9.392103333575578e-05,176
41,-0.021068630836214908,-0.026784106230593352,1694734858.5402696,7,8,2.5966855687450603,0.46941445432781215,0.1,1.5510012117888208e-05,0.0003504927040463736,489
42,-0.015409384379601265,-0.03145719329884544,1694735623.1619918,7,16,3.725921237706456,0.3672595899980381,0.4,3.062052987549914e-05,0.0003440466244854202,250
43,-0.01719537872801369,-0.03240707011706401,1694735882.1318748,6,13,3.5724797044706884,0.21658432690441703,0.0,7.275030873879474e-05,7.176832259408753e-06,376
44,-0.039700627443662206,-0.05859972997846885,1694736919.367316,10,12,1.7608375773008365,0.3515649400258526,0.0,1.5306901297643658e-05,8.851628984127697e-05,232
45,-0.010544420370688368,-0.017166765949010898,1694738356.5257766,7,8,2.439063458700711,0.3030721065190939,0.5,1.1598709404294666e-05,3.550097589486113e-05,282
46,-0.021508269332098262,-0.027260720394001625,1694738486.9858766,8,15,2.4940987273380264,0.2862905837122036,0.30000000000000004,0.0024509028783374844,0.0005257815497183268,208
47,-0.017402547835463356,-0.027605614054172944,1694738690.220255,9,13,2.1198634964512464,0.40174799967969793,0.4,0.0002989646285972168,5.197177275815101e-05,490
48,0.005934808137609382,-0.005320849432540076,1694738993.536525,8,13,2.1419196749059743,0.39095224431059095,0.5,8.481505215776257e-05,9.533125566530865e-06,366
49,0.006668486006538021,-0.00880172120592948,1694739129.931363,6,8,1.8642972148645982,0.3485392787189003,0.30000000000000004,0.0005497819576985984,7.563322222876112e-05,304
50,-0.012906543630284206,-0.016644997589933208,1694739261.625961,10,15,3.890146505405281,0.3466722453586569,0.4,0.0017953550892931406,0.0006657214367810113,216
51,-0.007340881670050647,-0.02392934179601558,1694739734.2160196,6,8,1.203424478750189,0.480837293043962,0.2,2.31692996840492e-05,2.1069424686096837e-06,296
52,-1.5127353915289632e-05,-0.008202897881844029,1694739951.2865822,8,15,2.7143359686865307,0.1669512765939261,0.4,3.656605897171386e-05,9.962648544361133e-06,118
53,-0.003365898828228131,-0.0286240849883439,1694740190.2318816,9,12,2.3184225556043865,0.11513309109113345,0.5,0.00015466576011946995,0.0005456311668494473,186
54,-0.01633525331637875,-0.04037500238139935,1694740660.2014754,8,14,1.507820693928795,0.09103750385837006,0.4,1.8545859604044107e-05,2.7230247190074675e-05,101
55,0.00014025726501998292,-0.01577388793544987,1694741117.8299205,10,15,1.697122906759956,0.4217093042857384,0.4,2.115144033892449e-05,6.319851744460727e-06,352
56,-0.001138358602563283,-0.028675194451437624,1694741277.2826433,9,11,1.3869513445702522,0.24743485908479906,0.4,0.00036589881184883547,3.82998184070856e-06,200
57,-0.027723569985127483,-0.02958384461014618,1694741406.8210187,9,12,3.2957301895918434,0.08800674223989968,0.4,0.0025046360859085864,0.0004596074103452714,197
58,0.005915232609436272,-0.0012789197862828061,1694741535.9877663,10,13,1.8825011719911524,0.01547845367974826,0.30000000000000004,0.007050249601746831,5.29054041994542e-05,198
59,-0.02376501674075615,-0.020049049331057,1694741670.17221,6,12,3.9518971472886144,0.2152732558797616,0.2,0.0003045136396709524,4.6253769431254885e-06,194
60,-0.0036781389001643294,-0.022240575009150998,1694741804.9010115,9,16,2.110672386948732,0.24104892352408303,0.5,0.0013811864178100053,2.361987575981922e-05,494
61,0.005704525065434618,0.0005577940299742457,1694741940.2007332,10,12,1.5802569230226309,0.4180284491704008,0.5,0.0010372160390624383,0.0002607147220279209,72
62,-0.009942967465474295,-0.02358746242158194,1694742067.2929971,8,15,1.8575703267704968,0.07768582154665549,0.5,0.002223409934336963,1.1875561121541686e-05,323
63,-0.031092341700248882,-0.031124054742838636,1694742207.1597517,6,10,3.059797853205851,0.3805927775117562,0.5,0.0009477574232665092,0.0002501951750564634,149
64,-0.014532444208202433,-0.00772094391744349,1694742347.8441334,9,16,3.726334778531503,0.392143742961786,0.5,0.00023187222031625685,8.978155075804783e-06,350
65,-0.0023569381905093056,-0.04247134330374536,1694743326.0664048,8,8,1.809717335881404,0.2922253422282226,0.0,1.5426075019638062e-05,1.3462535579940277e-05,118
66,-0.029899420207109895,-0.04093680112241116,1694743537.7110693,7,14,2.416702424924317,0.009285447286542292,0.5,5.6598975339845695e-05,1.0523671674759034e-06,262
67,-0.008139085816180502,-0.008181090418238002,1694743663.5231411,10,16,1.3995643070548778,0.034548650410331005,0.5,0.003409700064908789,0.0005554525549327457,418
68,-0.019722493832194488,-0.054644814295308874,1694744225.2581778,10,15,1.1194284103745233,0.08804759015849234,0.0,1.006282709910802e-05,0.0008507285731833146,512
69,-0.0505515459171304,-0.041264961467499806,1694744343.6875224,8,9,1.408522753856711,0.4557530598947532,0.5,0.0005679197883295185,0.0001468667271103628,333
70,-0.03600920762701065,-0.029724489795513565,1694744468.937594,9,16,2.3044232558277264,0.038603736105979725,0.0,0.0009170871465157372,1.5019501666396063e-06,112
71,-0.00805926463960227,-0.019143621827014456,1694744594.4112105,10,16,1.3406115777173286,0.11046442850956562,0.5,0.005740512185119942,7.666202383377719e-05,276
72,0.00699343614629877,-0.01204421111721099,1694745004.8349755,9,12,3.9270093971748925,0.38413109653818256,0.30000000000000004,2.1688845796890133e-05,0.00014493868829479028,116
73,-0.02286222718505826,-0.036297861544058785,1694745122.4293635,5,15,2.7201181141479105,0.2814893190855397,0.4,0.003435295705194035,0.0006923227317729136,93
74,-0.006555723095197807,-0.012559719242769551,1694745252.7813466,5,8,3.9339885278982076,0.2670450536616662,0.2,0.000672652319365383,2.310902419969043e-06,238
75,-0.0004110793866400897,-0.041847724521153706,1694745913.6143954,6,14,1.4697180097343612,0.48652325884622594,0.0,2.0359276393527202e-05,3.1317215880799315e-06,508
76,-0.022367654854649865,-0.02463680896679099,1694746031.7086482,6,14,3.0342475497136325,0.18925499624682846,0.1,0.0017215646658423462,1.7621247303265218e-06,73
77,-0.003130897818331313,-0.028888079283890145,1694746149.9134738,7,10,1.2122139518579407,0.04315170291308118,0.30000000000000004,0.007333378323040715,0.0001255749888115249,144
78,-0.010825218670088788,-0.06329391543481533,1694746287.6600971,7,14,1.2322934375392123,0.0983340580772119,0.0,0.0002587272128747407,4.324843232955746e-05,451
79,-0.04236347893311421,-0.04473910188687191,1694746404.8521574,5,9,1.8318924860164596,0.20704316591219518,0.1,0.009366526775234208,1.153785690685564e-05,471
80,-0.03139315811622034,-0.013137548058681281,1694746695.820492,10,10,1.4637202075528415,0.42644721145535536,0.0,2.379358084992244e-05,3.873805252411732e-06,74
81,-0.002809859158579009,-0.0065636782290006135,1694747279.252596,8,8,1.8202941521786196,0.2784438157436311,0.4,2.3213507881704164e-05,4.1405995878178934e-05,382
82,-0.011494170779254631,-0.09292861076379477,1694747787.892546,5,12,2.1102503195476383,0.03609382581055831,0.30000000000000004,1.705166176894233e-05,0.00011323292290669335,289
83,-0.0246897434313591,-0.03547540564376517,1694747927.1106465,10,12,3.557724783200676,0.17883256798546393,0.2,0.0006400980960248206,0.00011846415078551139,201
84,-0.01747575985671057,-0.0358556093918323,1694748044.7853339,5,14,3.2773601853561374,0.43940093417234677,0.30000000000000004,0.002475122030487191,3.5191156902356398e-06,218
85,-0.0031514147873448195,-0.01565879549901661,1694748169.7174537,7,11,1.9813046827897831,0.3214915609776067,0.5,0.00037805235047635175,0.00015431720592098172,329
86,-0.015558537303519637,-0.013781759828763285,1694748328.1754007,9,13,1.4138449941852573,0.43038843009419925,0.1,6.697947037262552e-05,4.01363448815902e-05,368
87,-0.0039455610322685075,-0.02295380607062092,1694748447.3940792,10,9,1.14611396476265,0.30654621391678766,0.30000000000000004,0.0015419184615394783,3.5322560087084703e-06,415
88,-0.0014291721869337248,-0.03660651000009185,1694748564.6440256,5,9,1.533596158426593,0.04395435538748821,0.0,0.000878086600829451,0.0008540309862866189,252
89,-0.013134751980105275,-0.030050150682924714,1694748688.8056514,5,10,1.7331955341745797,0.3577769047151508,0.30000000000000004,0.0006823515994713163,0.0008994068593625845,187
90,-0.004939028943068857,-0.01105118249759851,1694748926.5003881,8,11,3.2117505324638396,0.180701123743092,0.4,6.760380696460527e-05,0.0001193544209919698,158
91,-0.012469250833048395,-0.020241033909534467,1694749045.2548947,9,12,1.7105622486477114,0.3712463975953063,0.0,0.0013775129742184672,0.00019758731374453403,305
92,-0.021727309465342737,-0.045188320340874055,1694749170.4742298,8,14,2.6985795331830014,0.03731488243955278,0.0,0.007379930389644531,3.018732809896278e-05,362
93,-0.00835112208549682,-0.009949743265111666,1694749315.196315,7,11,3.054970512115606,0.15539109705978565,0.0,9.814434385903866e-05,2.2668307060352042e-06,502
94,0.007689148366383458,-0.01550623178360433,1694749447.5076487,10,13,1.217109708078171,0.21910328090829945,0.5,0.0007043154487347576,1.5071168783574541e-05,231
95,-0.004206136895858359,-0.029653839160074247,1694749584.7394202,6,8,2.6158162574405055,0.33348547719449606,0.1,0.000573126915602168,1.6757322678851906e-05,115
96,-0.009196265359442402,-0.03865051557585808,1694749749.8802574,8,15,2.808530256070829,0.19811832686819109,0.0,5.857954071869626e-05,6.513760008832076e-05,372
97,-0.013515660942599261,-0.022957320344271892,1694749880.7077284,6,9,3.309655515525345,0.04545798999371753,0.2,0.0007036121309612159,3.3210246692754036e-05,88
98,-0.027461384705264713,-0.024037521990168287,1694750286.1989489,6,9,2.534835097596288,0.10283856984656703,0.4,1.802863900144561e-05,1.5295266388865734e-05,460
99,-0.019649565091464982,-0.01661227189777459,1694750768.8267086,10,10,1.616001145671922,0.01028615171907421,0.4,1.6507454461595495e-05,0.0009812851219721144,198
100,-0.026200804525136068,-0.03788166013077321,1694750888.185473,10,14,2.2373064210175824,0.160770986103984,0.4,0.006189909168794526,6.326760419003467e-06,353
101,-0.02655799673253867,-0.0618998944365432,1694751038.21842,7,8,1.1533476741008832,0.02275622324980947,0.0,8.337334188802608e-05,0.00024694270850522833,487
102,-0.012520342981687582,-0.018304094512708646,1694751156.521041,7,14,3.6620103833081843,0.12825243589690344,0.30000000000000004,0.007267148053486572,5.337446181756869e-05,388
103,-0.03298797361813666,-0.01880726231914398,1694751273.5298214,5,11,2.070965740289,0.39032353213832643,0.0,0.001996038550416117,4.416748096622231e-05,351
104,-0.006107918869771467,-0.016650311383687333,1694751432.5752711,10,14,2.609959138844065,0.13667776373121193,0.2,4.974910315503277e-05,5.993985193446308e-06,355
105,-0.013039878296156493,-0.026736643609399202,1694751556.9649982,7,16,1.6756094539391468,0.3543581056781135,0.1,0.004280648008559333,3.4266679189357296e-05,462
106,-0.00758154426900659,-0.022924084208461926,1694751676.0478394,10,16,3.2926951433712848,0.31409210146948224,0.2,0.0042313267896265955,2.9125736744061696e-05,488
107,-0.015262094414079108,-0.024009652574603857,1694751794.8709059,9,13,1.7970776580798176,0.1645975843274473,0.0,0.002013853064042059,0.00010070860509192166,397
108,-0.03213368642289227,-0.06249641286243102,1694752103.0096896,7,16,1.4818942878005545,0.15842211700029568,0.2,1.3336116401409801e-05,0.00014510144389356336,190
109,-0.05406262261299588,-0.04869659258445824,1694752234.1088233,6,13,3.5610848726901168,0.0153477903124839,0.30000000000000004,0.00021322269372149783,0.0008942266007822653,225
110,-0.009316762777639376,-0.023248955329121745,1694752423.3610566,5,16,2.3815070359922643,0.2415907265997887,0.30000000000000004,5.76782243680511e-05,8.843471363557723e-05,386
111,-0.014172284413895397,-0.01524805614092628,1694752581.471997,8,13,2.2638689306176794,0.32583745374850553,0.0,0.0001244611855536149,1.1559039150191943e-06,321
112,-0.02098494260994843,-0.012604254567342599,1694752906.3893757,10,16,3.1403433441132025,0.26540090109503744,0.4,5.016111544936919e-05,7.3951007295004204e-06,217
113,-0.04569216329393355,-0.06979984895155966,1694753196.4080355,7,15,3.3927367052106456,0.257320893923928,0.30000000000000004,3.402902937726221e-05,1.2859348640602246e-05,371
114,-0.014372764340182753,-0.03288932679712531,1694753315.8319378,10,13,3.1360221440539915,0.39586055397166797,0.30000000000000004,0.0031596408904995548,0.00011149601488008615,454
115,-0.024599465090853423,-0.015996892427946108,1694753898.5056171,10,16,3.252718383473444,0.005277315584288345,0.30000000000000004,1.922223717917368e-05,0.00038088893046298657,273
116,-0.014386854226530854,-0.009411633821533316,1694754035.8411784,5,11,3.4362818640667263,0.4033469676538952,0.5,0.0007532141252822396,0.00014276451628872136,108
117,-0.014781397172562327,-0.010872867541314335,1694754159.8803904,6,8,2.7928747932782594,0.22593474523928725,0.1,0.001278064936422035,0.00031159096126998103,138
