trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694806929.39371820,0,0,0,0,0,0,0
0,0.6128071621216662,0.6013981765918373,1694806987.4506254,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.6082589151932873,0.5993727310022146,1694807055.5086434,7,14,1.0003431244520347,0.15116628631591988,0.0,1.8924123965722247e-05,3.6206007257447394e-06,219
2,0.6129971198348484,0.6003434323481068,1694807073.7677505,7,12,2.2575835432098845,0.34260975019837975,0.1,0.00430876004783913,1.208266625330546e-06,365
3,0.6145264375853228,0.6023607873285476,1694807101.8541083,7,13,1.4211608157857012,0.0990507445424394,0.4,0.008031279258119075,8.715103205978139e-06,374
4,0.6132343588719076,0.6021681133127873,1694807141.43712,10,16,1.2551326341093336,0.01952739161644118,0.1,0.004309506204261083,1.972606689184096e-06,253
5,0.6129210368594545,0.6017541272366986,1694807176.8676972,10,12,3.07563134185142,0.15775781550303147,0.4,0.003190634197513422,1.1346576147006603e-06,400
6,0.6132281989811208,0.601507395295901,1694807230.9460287,10,14,1.8413319761932154,0.39463966422574426,0.0,0.00022063813533788863,0.000531846749477338,195
7,0.611493939999334,0.5965998035220419,1694807298.3848612,6,9,1.0581008736108912,0.3394177664699455,0.1,6.260946289186234e-05,2.9834549048893877e-05,87
8,0.6110407718176672,0.6023104899548172,1694807360.6691554,8,9,2.767916610709853,0.3498791800104656,0.0,0.00017464974804939153,0.0001211157082591752,249
9,0.6120646455565546,0.601692566288621,1694807389.3808146,5,12,2.9913839356593663,0.2574445560291543,0.5,0.0005749963945531065,0.0005131044082788641,125
10,0.612294892285153,0.6013437932344753,1694807444.7136948,5,15,2.193030510956601,0.08267709855846639,0.5,0.00011048353954862783,0.00017882832527607158,389
11,0.6150090733526454,0.6015100891523661,1694807469.7825174,10,13,3.2528273020820118,0.17444917098892126,0.1,0.004871454545414108,1.924303499305707e-05,497
12,0.610377917623947,0.6022436497712509,1694807516.8762226,8,13,1.3442379188601254,0.4747446293535356,0.2,0.0005434615751061225,1.6765264451568485e-05,170
13,0.6119707488429397,0.6014934740242359,1694807590.060474,10,13,1.008610981093477,0.30857245681036194,0.1,0.0003812187972121696,0.00045480611778795765,224
14,0.6178745047114841,0.6022498962639268,1694807618.3565943,10,13,1.0474637285396688,0.46471861687188065,0.4,0.009816768541009779,3.288679302279304e-06,125
15,0.6167018779342724,0.6022504296113476,1694807668.2446597,10,14,1.1980005181661875,0.3777315263012332,0.4,0.0058758893192464206,0.00013632461375504072,119
16,0.611461808677122,0.6016665859413706,1694807712.5696993,5,8,1.0849194640623838,0.12310553380152295,0.5,0.000413516832983145,4.5547645941084986e-05,442
17,0.40331243964971863,0.41259532296979634,1694807729.2892358,5,10,2.7572778143748637,0.48479787415983727,0.30000000000000004,1.1374750205031965e-05,0.0002522888272902663,168
18,0.6111021210002332,0.6006971140064825,1694807756.79092,9,11,3.590625563678286,0.3735608213685923,0.30000000000000004,2.5666442474722136e-05,1.5127009113209096e-06,118
19,0.506180368261579,0.4904202757789452,1694807795.8102949,5,8,1.677128015823564,0.35649449019133833,0.30000000000000004,1.0906061452397865e-05,1.6440795942829676e-06,498
20,0.6118390603669297,0.5936977698068554,1694807816.2685862,8,9,1.7569772337109701,0.37191292703754647,0.1,0.000554723777607564,0.0008129427593316354,444
21,0.6100939799553824,0.5970266441749539,1694807914.4623053,6,12,2.8598671551441393,0.41449044977508936,0.0,1.1369165971575194e-05,1.62205819390916e-06,282
22,0.609481154063863,0.6004211745145486,1694807964.9007401,8,13,1.9520872279664823,0.49430807720622444,0.30000000000000004,0.00013817310525009955,4.496190020585654e-05,398
23,0.6113023174508042,0.5991615163837366,1694808034.8017557,9,10,1.1990045032853247,0.18504209895705315,0.30000000000000004,4.270925833168976e-05,0.0001812452615321984,93
24,0.6123376785535911,0.6014493237055265,1694808060.4578786,6,15,1.5803028478699832,0.31973044043997007,0.30000000000000004,0.00594872525402241,6.164392898567231e-06,93
25,0.6121727766123931,0.601195685367617,1694808093.8946095,9,14,3.723447557510572,0.46598603459841864,0.0,5.047615419441571e-05,7.084921962013147e-05,490
26,0.613437635267872,0.6018137627101888,1694808123.1332853,10,13,3.7468190492988236,0.32078310447316877,0.2,0.00028705955104584257,6.500270786794111e-05,310
27,0.6126804681516999,0.5984778011492425,1694808191.985537,10,16,2.1846268387706647,0.4816312642203559,0.1,2.3932527042689768e-05,2.5423625005819615e-06,291
28,0.612497003296374,0.6013780540264304,1694808230.7210004,5,16,3.481346413512197,0.007509490371061189,0.1,9.912671704119339e-05,2.4716702736980975e-06,427
29,0.6123075450337961,0.6018626950761132,1694808263.2899635,7,16,2.7460425398412402,0.43941599220592203,0.5,0.005202079154728394,2.3968496779361037e-05,309
30,0.6150047447807412,0.6003178316719019,1694808289.0639322,9,10,2.470760567859783,0.2995551538229392,0.0,0.0006031762384586438,1.9999956311000528e-05,426
31,0.611333116904738,0.6005585611942672,1694808306.9273908,6,16,2.7335716458536066,0.09200510081373253,0.4,0.0006856358714236165,1.4512018261546824e-06,252
32,0.6129416808177671,0.6021581333881652,1694808326.3796117,9,16,1.0012060746740723,0.4883795745155298,0.2,0.008343545047409792,6.518509501856641e-05,436
33,0.6145216928045817,0.6014367855212411,1694808368.682899,8,13,1.8567288450870818,0.2934166703280415,0.4,0.0037578678997407873,0.00018418173740756327,377
34,0.609458678786668,0.6000100269315135,1694808405.8632941,10,10,3.0123663723627616,0.22543696820667458,0.2,0.00017077883624164538,1.6011748148991577e-05,206
35,0.608921186694636,0.5990300417245823,1694808425.8136134,8,11,3.921406233781757,0.33890044571715555,0.1,0.00019059128056295475,1.0716148403033203e-05,422
36,0.612896730263377,0.6016626265147542,1694808470.7579715,10,16,2.9881594371257867,0.1351041310148789,0.1,0.003670234625477635,3.8295164457230317e-05,424
37,0.6167449971697799,0.5992295317395865,1694808498.5082023,8,14,2.5570348823921676,0.385441955250944,0.30000000000000004,0.00024953394681421115,1.0667600028367189e-05,94
38,0.6168251589917757,0.6004024531160951,1694808528.936182,7,8,3.948451341191335,0.09080642566538188,0.4,0.0042158479089575256,0.00011620899816435576,319
39,0.6114368361469052,0.6003080506225893,1694808599.3842876,5,12,2.035516153465645,0.1125199789070423,0.30000000000000004,8.645886164114417e-05,0.0005609403232139285,472
40,0.5441719941397796,0.5298849114007784,1694808616.9126494,6,8,1.5788881960573384,0.24979208533944303,0.4,4.212920998464334e-05,5.547542973433766e-06,446
41,0.6103024173409249,0.6014885473404323,1694808649.5320957,7,13,1.7009984177177502,0.050983629712898715,0.30000000000000004,0.00027003680515736615,2.8708792893229623e-06,343
42,0.6122872340425533,0.6013006915310342,1694808671.0283499,8,13,1.4336366203739794,0.37576390856762193,0.1,0.0003614560290222605,0.00022692799953691778,74
