trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725450.26765230,0,0,0,0,0,0,0
0,-0.019662050492104566,-0.0038183370334046174,1694725567.6146114,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.00024746789698171234,0.0030759432894189587,1694725617.6335025,8,14,1.8727142167388329,0.2554138025988315,0.5,0.004885165336171604,2.380981008777947e-06,157
2,-0.014813869629528797,-0.016993053530088176,1694725777.2866912,5,11,1.089628632635701,0.22841661219735554,0.30000000000000004,6.846393360094252e-05,0.00010684758386306284,329
3,-0.0005185997562269229,-0.00036543977379643877,1694725879.5515397,5,13,1.7777573407223963,0.20755059850503482,0.1,0.0012006426178129766,2.0958546137692438e-05,134
4,0.00827053796872268,0.008848200623701619,1694725951.5261815,8,15,1.9190905971285392,0.1109789419660907,0.2,0.006443932010830324,0.0008472006248632765,365
5,-0.005670547647183444,8.983306987020434e-05,1694725998.0238054,10,15,2.1339821239866676,0.04610850443586212,0.30000000000000004,0.00047154406945875663,1.215330197968237e-05,165
6,0.0068398604209148894,0.00562728229020204,1694726047.6322696,7,12,1.8077067347531837,0.1458963871127163,0.2,0.0038159417695365293,5.7379758149718936e-05,191
7,0.001622759186592715,-0.0003052849680276193,1694726314.6022425,6,12,1.6162310338149626,0.10068935552153657,0.30000000000000004,1.8267878159225086e-05,2.823297197583363e-05,226
8,-0.0006120626469781065,0.0012731197010985573,1694726428.7357836,9,14,3.073278765567293,0.34459020687745706,0.2,0.0010101931381810488,1.0460344598514096e-05,321
9,-0.01721054224588614,-0.011947892427291773,1694726602.1155329,6,12,1.1845867924898177,0.12133771109216906,0.5,4.917593352751772e-05,0.00011869502953305068,356
10,-0.012669865693321514,-0.008514031855016535,1694726801.8606906,9,12,2.7899913238055882,0.03348471196641317,0.0,3.953011510085378e-05,2.854848005699732e-06,108
11,0.009927133489427198,0.007412531865683913,1694726860.0247042,5,12,1.5634444747716347,0.4760506215156041,0.4,0.00041981603259058355,0.00013229450401542684,182
12,-0.0038053961420212445,-0.0022644751106162264,1694726929.1596909,10,15,3.1789584952841117,0.24011997804270502,0.5,0.001714971749145451,9.571449652053148e-05,474
13,-0.005895629724647078,-0.0035860943208072538,1694727006.0225465,8,11,2.6585337194513365,0.09819028835006843,0.1,0.0015031726726942977,0.000226365433728117,500
14,-0.002049926624514864,0.0020475517745660587,1694727090.786725,10,12,1.2693726085691943,0.2444366223080564,0.5,0.0023059750206383873,2.852874572333906e-05,268
15,-0.016037398964780847,-0.01558544162079989,1694727374.1395938,6,9,1.2208710076580727,0.44619659379354626,0.30000000000000004,2.6915159166155542e-05,1.7473534393341244e-05,86
16,-0.0004423908144128852,-0.002630719235048984,1694727480.1940494,6,14,2.953368311324798,0.23948914868848886,0.1,0.0009050433365501446,0.0007401990680373163,259
17,0.038175844459719666,0.03786428436282874,1694727524.1268823,5,8,1.2486130563926723,0.47985359362661056,0.30000000000000004,0.0032537733519507014,3.236686472450496e-06,180
18,-0.004813354059331365,-0.002334640966213053,1694727928.9140043,9,16,2.0220654533804785,0.03233659899514163,0.5,7.457913423805202e-05,0.00016720421421487076,134
19,0.010704848544115686,0.015047776388345424,1694728057.9890854,9,15,3.1814562362401277,0.1795537624317457,0.4,2.6206038368953362e-05,8.738911590189812e-06,252
20,0.013207652959594363,0.01464405668106794,1694728128.7574859,10,9,3.6403743707479466,0.39948215961040195,0.5,0.00012679699170605103,4.119260967891291e-06,172
21,0.007373610595213909,0.008914197368231291,1694728244.2476232,9,16,3.0964299951412704,0.24124852088691495,0.1,0.0031700320495519027,0.00041355999861361766,105
22,0.013790115856089802,0.010928540786414476,1694728298.732544,6,15,3.544911691238488,0.15732649938199866,0.1,0.00019608531313154804,4.1527855125952765e-05,106
23,-0.005924315415150705,-0.002291387020418645,1694728428.2140226,10,12,3.3249034451227706,0.11541813278816343,0.5,0.0017909436519458247,1.0697482708907862e-05,489
24,-0.019511613879911183,-0.013559581414021027,1694728516.0631933,9,15,1.1364919175676067,0.027820770525844085,0.4,8.204635632995882e-05,3.551019829883781e-05,134
25,0.030210666741925962,0.024102855404550594,1694728628.9446423,10,12,3.4870032354241762,0.0370188981399982,0.2,1.5375825488177987e-05,0.0004494944080657061,264
26,-0.008036830248567384,-0.004268795843765716,1694728915.3531191,5,8,2.61637797400951,0.03778320225261539,0.1,0.00020373763123160044,3.114214289026227e-05,325
27,0.0012067991679928225,0.0018189773776883245,1694729047.1332333,8,11,2.8562097489417395,0.07862232919256812,0.1,0.002489744672721097,2.879173936063787e-06,164
28,-0.012787149736669612,-0.008976328795818889,1694729152.1685054,6,12,1.0022365661256938,0.015155680261233262,0.2,3.072996422053306e-05,0.00010927112423128635,421
29,-0.006527198314330462,-0.012762020415030495,1694729219.309958,8,14,2.172874047201636,0.02314810149647417,0.2,0.00013059932630084037,6.1803024159046e-05,124
30,0.03760368153214566,0.029340550316707126,1694729329.9103456,6,15,1.7929765799206394,0.20516010245358163,0.5,6.708993777325458e-05,2.7281602481700836e-06,379
31,0.01136994373637179,0.005805366925345612,1694729432.0340686,8,13,1.1260925529807209,0.2086334473786134,0.0,5.4904306028493746e-05,0.00013127092658504698,91
32,0.02372044177874366,0.021096927444073987,1694729476.7838614,6,16,3.9136666906809268,0.2409231943398525,0.4,0.0007906191375302389,2.4950497768776423e-05,448
33,0.007148724097324255,0.012407824832915804,1694729532.834357,6,15,1.126208570374954,0.43347684590639923,0.4,0.0002176418103557107,0.00010344529510907331,270
34,-0.02260741796107979,-0.02195156518000929,1694729730.5335221,9,9,2.5244722865458162,0.43574476997193645,0.5,4.5815137535978945e-05,5.698898311110619e-06,469
35,0.00335984589517746,0.0017822062017717188,1694729779.9450471,7,8,3.1446600163360987,0.20720942957667893,0.4,0.00026994475918930944,3.174655930547344e-05,251
36,0.02478005962082619,0.022400903551037854,1694729904.6894972,6,16,3.0063627339553216,0.3944161716714836,0.5,5.6307575414583374e-05,0.0005747273198016907,451
37,0.013614854513329777,0.0193533339223384,1694729949.9079251,8,13,1.3447967141103356,0.3810579202788843,0.1,0.0003994920333132419,2.3950352828995323e-06,96
38,0.014019959510604862,0.006626635277378723,1694730040.9227104,8,12,3.024429804217818,0.39542709152714217,0.5,1.787483506781119e-05,7.827739013293682e-05,323
39,0.04049752347231661,0.03840241775832598,1694730105.5012982,8,12,2.6721021625906047,0.4342773168202443,0.2,0.0004026491029623885,0.00011827449742130177,104
40,-0.0006558270532279753,-0.0014413362589449363,1694730227.3759127,7,8,1.4134296787330998,0.0010627792329545027,0.1,4.465928722378063e-05,3.537801353107229e-05,320
41,-0.00933372759299389,-0.007483441367210686,1694730270.9232018,9,12,3.674363796765375,0.1975303948875829,0.4,0.0004552728868330392,7.438326839657043e-05,185
42,0.01985719135795394,0.01364810020215379,1694730535.73466,10,14,1.4367850872097199,0.26871718497228675,0.5,1.4033596893086091e-05,8.099524319415838e-06,396
43,0.0017701693756907444,0.007145838320254616,1694730638.7220137,5,14,2.720263839951283,0.3658528377810333,0.30000000000000004,0.006579765789092699,1.0944731422658882e-05,321
44,0.008573594581293142,0.005920858442481469,1694730905.9252853,5,12,2.2581788309438116,0.49158089389510073,0.5,2.5991912994209e-05,1.3330514898218793e-06,118
45,-0.017952624203920742,-0.015713876476153965,1694731110.4501076,6,14,2.631933860616171,0.26746266726764073,0.2,1.0473278570492938e-05,1.5045815800487294e-05,512
46,-0.015060247439636631,-0.01090222626356474,1694731165.72276,9,13,1.589388882085837,0.46023471225467694,0.2,0.0007210772922722526,4.06745699839152e-06,211
47,-0.008435711806208612,-0.0042129903949394976,1694731432.92684,7,11,1.0666956596715647,0.3301735260975992,0.1,0.0006455067526150265,7.223389600828476e-05,377
