trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725538.65215330,0,0,0,0,0,0,0
0,0.1610624768232607,0.14596488667371144,1694725900.2854311,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.1498422430892684,0.13657702212644618,1694726023.970791,8,14,2.8082901282149315,0.27244159149844843,0.2,0.0008663279761354553,2.054762512591135e-05,464
2,0.1235590815659594,0.08331933909151723,1694726154.8520088,10,11,3.3751751142479938,0.26444745987645224,0.30000000000000004,0.0059812219011525555,1.6334587611069488e-06,103
3,0.14602806115318157,0.08205571822365254,1694726271.9339318,5,15,3.3344702528495516,0.4350060741234096,0.5,0.0024973286104060573,2.423472448467594e-05,414
4,0.1479346772282265,0.10031419016806697,1694726437.3117962,5,13,1.4300598622271392,0.47233445852479194,0.30000000000000004,0.00017538232373118029,6.218230782016855e-06,411
5,0.13854079621554716,0.12356004208703897,1694726585.19864,7,13,1.0563694013090654,0.30881774853793853,0.30000000000000004,0.0007092543214735829,0.0006780227021579834,370
6,0.14675419736513085,0.12327201873058324,1694726708.4078186,7,11,3.0928935877817945,0.030112735814634917,0.4,0.0010278118224157004,4.27708304996207e-06,121
7,0.14628552677795403,0.10747565168428441,1694727494.7618995,6,11,2.7105903112536387,0.21930075673116017,0.5,2.0236454843648904e-05,4.232824558620124e-06,136
8,0.1102637374227673,0.06430284030155897,1694727989.2155952,8,10,2.398932318568919,0.12221279600080137,0.0,2.143509553579855e-05,9.310837957239839e-05,126
9,0.147884743715057,0.08407428393731953,1694728597.9897594,6,11,3.4629796895438054,0.048550637896530635,0.5,1.9422056969726908e-05,0.0008499206771743684,274
10,0.13404273086129948,0.1255896783882957,1694728990.176853,10,13,3.217790738194905,0.019593896127160337,0.1,2.293980298131184e-05,7.734292502064649e-06,117
11,0.15217375884155715,0.09866432368103684,1694729351.7619696,6,11,1.192442489046353,0.3462360596850099,0.30000000000000004,6.254152586876394e-05,3.7131642495346186e-05,106
12,0.14238141885461664,0.07349902439550271,1694729487.2830324,8,16,1.955706857353971,0.33370518998184084,0.0,0.0014092291316435573,7.382751981499337e-06,146
13,0.12406975847244828,0.05001379814915552,1694729846.4600136,8,8,3.4868200876520894,0.002347738096273533,0.4,6.456897906217097e-05,0.00016053955926854287,496
14,0.12389834182586246,0.05269293225663174,1694729969.7384686,6,13,2.776125793815517,0.2861259528954367,0.1,0.007215177748314317,2.1947049130435382e-05,444
