trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694725362.32658340,0,0,0,0,0,0,0
0,-0.00790670870945287,-0.03443994966057562,1694725546.1758523,5,8,3,0.4,0.4,0.0001,0.0001,64
1,-0.028105385108553094,-0.030945435937786536,1694725661.9597573,8,14,3.611283057174438,0.004023474264908955,0.1,0.00746124357802247,3.46218393455652e-05,206
2,-0.021387538007348494,-0.06726380559234624,1694726290.826875,8,9,3.41944407377281,0.17112731280734217,0.30000000000000004,1.0414090720927975e-05,0.00010458211838885727,158
3,-0.030231719266981205,-0.027420697498457658,1694726760.0331972,10,11,3.2572567662578393,0.381569500922761,0.5,2.1396046583465234e-05,7.948330938209046e-06,277
4,-0.03157930218649163,-0.04821343203306716,1694727004.8275363,9,10,3.1034539591734625,0.3285000296871312,0.1,9.251006337777405e-05,0.00045984595517283266,101
5,-0.036518207798556857,-0.033403783989391256,1694727133.3379197,9,8,3.1944433797181855,0.3712556774967719,0.2,0.009422127931542557,2.2720186724406908e-05,149
6,-0.03561431309522178,-0.06627853212130774,1694727255.0910077,7,14,2.0723060897552967,0.02580927699753799,0.1,0.009917765483278666,7.306587168601358e-06,271
7,-0.07821719243609304,-0.13827412919485527,1694727512.6213448,9,16,1.5262079279966312,0.10621068795153338,0.0,4.2271102660605097e-05,0.0009706526255807923,174
8,-0.010364882282648091,-0.02319956638090037,1694727633.4928627,5,12,2.368365445670088,0.3672451144729409,0.30000000000000004,0.0007298114623433989,2.8217458993588554e-06,305
9,-0.01945590441379541,-0.03197506171806386,1694728278.6254184,5,9,2.3505356704420763,0.21453617360335442,0.4,1.662320076983349e-05,6.860527180471776e-06,138
10,-0.008840489524202466,-0.012421926249116977,1694728402.9730885,8,13,2.9158237846824875,0.10701285216976092,0.2,0.00025144473235736277,1.7750379672537975e-06,320
11,-0.03205579312995743,-0.020833737691017706,1694728542.8429875,6,8,3.8935878346600212,0.037329973278890705,0.4,0.00032202513489873333,1.8959745540519902e-06,299
12,-0.02106492670623128,-0.017497482629573957,1694728811.3986888,7,12,3.80502090490252,0.49752515147846743,0.30000000000000004,0.00011544917033015613,2.077165219658188e-05,412
13,-0.02161631504353334,-0.02789785289500446,1694729043.5107143,8,8,2.9547581802183465,0.4843080041756764,0.1,0.00015072012341348228,1.7700912041677964e-06,433
14,-0.016292873150930864,-0.026959461291114817,1694729164.2557845,6,9,1.4894051509034276,0.13898184638557703,0.0,0.0017630587846519511,0.00036428784618093584,479
15,-0.016431200312604588,-0.05503205027681535,1694729285.004098,6,12,3.220946403608982,0.32531861139114526,0.1,0.0001471681540024772,0.000519664006099212,392
16,-0.02276978315125544,-0.02394285459367973,1694729462.8973982,5,9,3.6649551567448553,0.20635254747260184,0.1,0.00010984849271139009,1.7242362258198863e-05,403
17,-0.03943977763450324,-0.11989978514992217,1694729666.6502788,5,15,2.1394245284712112,0.23843900200418694,0.0,6.555293322859314e-05,0.0006878819523603184,276
18,-0.02034388589303493,-0.025582855814686667,1694729780.9679406,5,12,2.8620076155975758,0.4245132950440264,0.2,0.00748619015992044,3.8643032488442415e-06,295
19,-0.024098451687568412,-0.02616115261772256,1694729928.152749,7,10,2.8122684865137213,0.03983620846966435,0.2,0.0002643723043690541,0.00016121903280518312,195
20,-0.019903063806085974,-0.028744903782009112,1694730042.2150023,6,9,3.9461510726743247,0.22646185026432702,0.5,0.004878874863328833,2.1024278958353874e-05,248
21,-0.028737431318338835,-0.03144509921379601,1694730296.4541085,8,16,3.413610925325811,0.2372376512518239,0.2,5.836937421942e-05,6.644808581458761e-05,92
22,-0.00796613071024943,-0.0009396217689809916,1694730441.850315,8,8,2.561602448074141,0.2988262032430138,0.4,0.00037612836354723197,8.27609396013536e-05,306
23,-0.01310318999836868,-0.019380042760838156,1694730574.6826694,6,10,2.3292133838754876,0.18842342284093877,0.30000000000000004,0.00017323095950661085,0.0007247792913878763,331
24,-0.018320105002994413,-0.03680053041304676,1694730688.4532852,7,16,1.676181330326331,0.2271609237901207,0.2,0.001912814431526258,5.183326233762108e-05,372
25,-0.026440053049812784,-0.03751358800055793,1694731282.9951012,7,9,1.4406002382704062,0.12735243741897612,0.2,1.6044714887369456e-05,0.0002512470186525629,94
26,-0.014420765511827138,-0.021274263876240207,1694731415.0790296,5,9,1.6668407057751005,0.1323279757680365,0.0,0.00014312995933946145,0.00011172385418688595,108
27,-0.021648083575796173,-0.028555032277161718,1694731606.4357028,9,8,3.639545074341363,0.22401796517828765,0.30000000000000004,0.0001841424538663245,0.0002565647788728511,215
28,-0.021268365184943017,-0.06133493432428572,1694731720.7452414,6,9,3.453269869544666,0.05022465050323294,0.0,0.0012332027456394832,0.0006538163667566348,108
29,-0.04224929958261536,-0.07231101054596789,1694731897.493382,6,9,2.1930225599736124,0.28402945444506017,0.4,0.00019288646542964886,0.00021374839516551187,242
30,-0.00901789621933391,-0.026648923870168595,1694732297.7683742,7,12,1.7028183150678828,0.1594253384403609,0.5,1.817733307556702e-05,7.875164465289482e-05,128
31,-0.009073579897095119,-0.021494057783068454,1694732411.9017754,8,9,1.0754708930367176,0.2561307022098161,0.2,0.001036183166781909,5.490460999339769e-06,497
32,-0.009621370352900227,-0.03083239743619348,1694732969.6705296,7,13,3.071219949513636,0.47452359173009967,0.4,3.538365014962994e-05,8.927245195017109e-05,428
33,-0.006400379131612954,-0.020620604063672276,1694733116.597003,10,12,3.00809336848309,0.4605547458979831,0.2,0.00024048323977506408,0.0007543610491076697,507
34,-0.03247597335392527,-0.0711989338931791,1694733301.314774,10,16,1.7664487001158151,0.30740043385806115,0.2,0.00027495587095752513,1.0114847012329658e-05,270
35,-0.015441768039689219,-0.017831366115763192,1694733414.9495,8,8,2.0423182879696915,0.14298889747562954,0.2,0.003129800303843619,3.9024690351755793e-05,157
36,-0.0330993578936456,-0.05152318301618508,1694733540.665095,6,16,1.4292120491503748,0.18893459208002655,0.2,0.0004778996993045841,0.0008377585706478559,253
37,-0.030271050597955762,-0.020686651136708534,1694733654.7123296,6,15,3.887666660524532,0.03062854724422226,0.5,0.0015777368719916678,3.568050627614047e-06,114
38,-0.014724465101616069,-0.02947217939557034,1694733767.7157474,5,13,1.9516778897613607,0.2636408178480133,0.1,0.007973222782567943,5.290128833838732e-05,439
39,-0.029544174802222267,-0.06025822386604762,1694733938.184114,7,16,2.3488188522890088,0.20029007814271865,0.4,0.00016381254153017714,0.0004479097125296651,248
40,-0.020929173241093002,-0.04267508848172774,1694734051.257086,5,12,3.3121035743524416,0.07182868083653488,0.1,0.0011711883262235266,0.0008962333475523097,136
41,-0.015121134349739718,-0.015956296577467333,1694734172.8314793,10,12,3.3240099781823895,0.3239494697705216,0.5,0.0035368424406041635,1.2676268818195895e-05,197
42,-0.01423094022529603,-0.011442446956980934,1694734287.165836,8,11,1.7480752354664977,0.2514051794146311,0.2,0.0009954888776561783,0.000959768150464443,301
