trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596018.97909450,0,0,0,0,0,0,0,0,0
0,0.032882193972484486,0.00940735050501984,1693596019.5302353,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.06789524386881318,-0.03666072768539208,1693596020.0023966,9,1.861124137551614e-08,0.8168241174631377,0.05546505049361988,0.7492535061512953,0.6123983227654238,9.563759526973396e-07,0.40300192627116094,4.910303832962881e-07
2,-0.3286778161433799,-0.19443621697380276,1693596020.3424594,1,8.122274050843789,0.9766966730974682,1.046505057794038e-05,0.7560961316928883,0.9063104808260567,0.01334322066549959,0.16502630445045147,8.293936036104634e-06
3,-0.32834181755232095,-0.19423143555192657,1693596020.9336894,11,19.475346092319793,0.7712721840056307,5.138664194679253e-05,0.6866703800257346,0.8370668075331726,0.00026201837219340553,0.00021884666527130592,0.01505461954644427
4,0.016491087185257713,0.011909840601573074,1693596021.4109328,6,2.8520909141542377,0.8005194767022722,0.10619791350957802,0.7608235761968171,0.9543244404043341,1.5572591447800067e-05,8.027743594569378e-08,1.0162500181582044e-05
5,-0.23849440137454092,-0.13979697482621956,1693596021.8010457,2,592.730454677773,0.5234481596946249,0.013534298216580247,0.7737930779596218,0.9096434978350343,9.760574862421093e-07,3.7025678398776036,3.284932079269039e-05
6,-0.3254134356029581,-0.19244827431470135,1693596022.2728434,9,7.038857764707208e-05,0.9419682397805931,0.0004241878151176135,0.5825079488595742,0.6962646219732936,8.602085315767334e-08,1.6257605403637159,3.247283429798376e-07
7,-0.32875421936611415,-0.19448263143277877,1693596022.623941,5,18853.381651817843,0.9938127374509361,0.001912153423910879,0.91306142192137,0.6256870671035297,0.009412749094198732,10.673764174960096,0.002216049658169263
8,-0.32856090585244013,-0.1943650516141462,1693596023.0701938,7,3.240880173227432e-08,0.6785908793172681,2.500722207115075e-05,0.6527299591714091,0.665359655991066,0.547397692188383,2.5095282382096167e-08,0.00019720675381842506
9,-0.3286274200339525,-0.19440593723110733,1693596023.5043397,4,1.8809829540407301,0.6731735750400165,1.6424296669437108e-05,0.9399575872589581,0.8816202935718405,6.0390194346543735,0.00014965507137173735,0.011370397405663523
10,0.05924568971372535,0.02783566147986971,1693596023.9495203,3,0.005043454829139216,0.8684910699487518,0.3547210790559674,0.9675382261541894,0.985829543078306,1.6609213594994993e-08,0.01254056858452132,2.0543098912248825e-08
11,0.012493399543286432,-0.032635647719649,1693596024.411388,3,0.011167944382570868,0.8731850624657926,0.921904799931383,0.9948248874862167,0.9996988575259426,1.2311514604717201e-08,0.01335637745664228,1.171979934978232e-08
12,0.06755661711217686,0.03477653418466853,1693596024.945408,7,0.009709038727525996,0.895469740093371,0.6839140504909557,0.9954491999234354,0.7889262194298576,2.3792532031639218e-08,92.2573593552366,4.374230601469717
13,0.0735238406926646,0.03566450068031657,1693596025.5007663,8,0.007357149782900526,0.8946812768079998,0.8297726685470518,0.8805293923792525,0.778853503707264,3.6606715384105675e-08,99.12706726220318,64.3561803730762
14,0.06277727660875809,0.03254982904308168,1693596026.0553882,8,0.001703579060272811,0.9075884402293019,0.9931388053841327,0.881565529765427,0.7739372559687232,2.416173223792682e-07,49.49943639726331,48.79780763238932
15,-0.12824857732787276,-0.07360253170015696,1693596026.5629015,10,5.700580803384316e-05,0.910146908597908,0.03978649457608598,0.8602439553332019,0.5113011930665371,1.332024207754277e-08,70.66005562173815,94.5727645113902
16,-0.23631416300300567,-0.13855827905145235,1693596027.103002,8,0.05298680728078918,0.8556172966773739,0.014169391610359376,0.8468533656799275,0.7933021837205304,6.570576721709566e-06,97.16233965908312,4.336259206662196
17,0.0550196431414961,0.03133860861797866,1693596027.6289074,7,0.00014885652774228967,0.9340571850867032,0.14745279836843941,0.9286066394143873,0.7516847913250847,3.2155658908936595e-05,9.188297866888917,4.573628482249693
18,0.02316655630005604,-0.0015712064751884913,1693596028.2857683,11,3.2370862218437534e-06,0.8288788979868906,0.27507229959089385,0.8435827415132648,0.8099081470272776,3.54782608076919e-07,0.0893441949300432,2.385132396430244
19,-0.13858641820031536,-0.08022996650381709,1693596028.7622714,5,0.08576628688571387,0.7417831210446713,0.03304688589604544,0.9529869333672301,0.7249876616324709,3.2496285075894896e-06,9.449370784727568,0.5551047347520275
20,0.06405002413254257,0.03193645677817081,1693596029.3226275,8,0.10786720629641472,0.9416770714114725,0.9536242959117409,0.9047267561126591,0.8494052813059744,7.768097335383146e-08,77.01074904993983,61.14466225855289
21,0.06271068224559129,0.03404905699187366,1693596029.874095,8,0.13428045952567225,0.9460304955443869,0.8818548281408878,0.8903024633431547,0.8366293045122198,5.660833716759448e-08,86.46310208042317,35.52983854289002
22,0.07350276689902291,0.03703019698313237,1693596030.3967235,7,0.0007536699611514524,0.8999739668826181,0.3535427159365897,0.9252979562121696,0.8479309640965581,9.348663233712607e-08,8.272724450899968,83.21607637785011
23,0.051678317235134275,0.0303173137093119,1693596030.921452,7,0.0010309287522704176,0.8849920652867355,0.1515717680392565,0.963000410530889,0.7796947249997875,1.0308740539174258e-08,5.97920212132689,11.428659158959597
24,0.021451887034419914,0.009489027560203867,1693596031.4870908,9,0.0008545199463785137,0.8505438566488752,0.35968971516983805,0.8297964599089714,0.7494486837262928,6.65752500706642e-07,0.9105405995056746,0.4263046979601636
25,0.00042616392271910275,0.0008851801624452094,1693596031.9547362,5,0.011175980384147853,0.8910766192120934,0.09014256963143723,0.9257141104519228,0.8074608875342346,1.0340135917162846e-07,10.870284734200053,16.49351004675387
26,0.06764451194483079,0.03730806547657928,1693596032.5467281,7,3.6753592672043015e-06,0.9097141543997357,0.27958709770921536,0.9892949699232969,0.8573659057405719,2.260990928935859e-06,12.84899192926919,82.94324159005889
27,0.06462481785135332,0.03543867789380328,1693596033.0523725,6,3.6501726717291474e-06,0.9719672528203448,0.21708193443681795,0.8868576378311233,0.8790474916812235,3.769090365055717e-07,2.0681404927552003,58.78657166159507
28,-0.046984669812579094,-0.03597441810955515,1693596033.7402203,10,6.111980039452772e-06,0.9180825248688262,0.0726982990602118,0.9553531053486782,0.942369384241659,1.6743125137918538e-06,0.2237306320376431,0.8229790609531924
29,0.06846922628900975,0.03890051366435843,1693596034.4005833,10,4.3171062034788206e-07,0.9999197535253701,0.3655289142677295,0.992524819824395,0.8537000726953521,4.947376812122994e-06,1.3699687096077966,17.594693382305703
30,0.06095844537378037,0.038209801238179186,1693596035.0073965,10,2.8920686572212485e-07,0.9837678027470267,0.4508453624557992,0.8199620660224952,0.8230880230061538,1.7460596645218836e-07,1.3006754941975658,15.59510604303745
31,0.07101941340653883,0.03698627847449176,1693596035.6013997,9,2.639068000236185e-07,0.9994488670468535,0.25125189629211025,0.999787525667372,0.865316082346777,3.6761711733711093e-06,18.8439512804506,73.94662247371141
32,0.059069395010906134,0.033304268648039814,1693596036.200611,9,7.874739841787652e-08,0.9896955601592818,0.16765136656380622,0.9992674467975399,0.8658667270875188,1.451781057678201e-05,20.420091677179965,13.47703574600927
33,0.07179238463000259,0.03696039064454748,1693596036.820054,10,3.6153040927092654e-07,0.9588314371021357,0.4148239431633447,0.9170403715732109,0.907361205524129,1.360384246257429e-06,0.8583886389972744,19.146036216898732
34,0.06926177678250611,0.03703964080120459,1693596037.39299,9,3.1317369078946326e-08,0.9554922951142226,0.49303929498236215,0.9163894759523362,0.9095597287399573,5.144966701898948e-07,0.5357551073002862,93.62382903199025
35,-0.011134098213428256,-0.004305312485745283,1693596038.0546107,11,1.5552916513409867e-08,0.9668416908815474,0.0766620481357484,0.9389193601124173,0.8933558887877437,6.897212402053741e-05,23.331992664516292,0.20261522792649073
36,0.06534523516292134,0.03352727660532273,1693596038.610757,8,3.605966305082108e-07,0.9595156036327457,0.17865489434096934,0.8049154982683843,0.9287378791070328,5.008283756228954e-08,5.0605020048200124,2.0548997647705662
37,0.05667302959182163,0.02867784372496729,1693596039.1844015,9,1.7048160437570473e-05,0.9311912872926875,0.5057592491602827,0.8699503037790606,0.8353446023295822,1.5313280526993963e-06,3.952898437817101,6.7388557873360035
38,-0.09446492053947364,-0.05387728128481051,1693596039.774028,10,0.0003311710573110936,0.9986847217911716,0.045802318936885425,0.9032192826420108,0.9213444036416654,1.697919362334671e-07,2.419031865895527,20.615754663856297
39,0.011264518048081595,0.004815536547753352,1693596040.271414,6,4.224084874268046e-05,0.9554228172082999,0.10049256654275553,0.8656973410110386,0.880578885370148,3.918050334170426e-08,0.29248414406702333,1.5456416256448777
40,0.07232949027441282,0.040260231006076896,1693596040.9201968,11,0.5319080859363914,0.9714895768786672,0.20978413109310712,0.7907729573964967,0.9516090549888507,8.864933255019826e-07,25.480690418691854,0.19238582399471338
