trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596027.70381160,0,0,0,0,0,0,0,0,0
0,0.6625773460151333,0.6546318373205742,1693596027.8998356,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.6628046991019022,0.6547701244019141,1693596028.0770273,5,2.172906373407696e-08,0.7748312389393546,0.0015017995265951538,0.7101839010437445,0.6651674105019371,1.112977386395679e-06,0.01558510252222362,9.920800965244338e-06
2,0.6552802135633973,0.6479276172248803,1693596028.2350786,3,1.187790441340144,0.7645710471385195,4.708685960549632e-05,0.7567890606328732,0.5922199328234576,0.7134301815779208,3.4653964518555913,0.0008757262618707403
3,0.6590094406336187,0.6527845550239234,1693596028.4560533,10,1.0849037269315996e-07,0.752623045060852,2.1204719013178307e-05,0.7140611637986947,0.5482654578303063,1.8689587538335184e-07,0.009277972689158196,1.8202037553340975e-06
4,0.6494555724489075,0.6387706889952153,1693596028.6102083,2,7.311065788565077e-06,0.6749131425016497,0.002182415426974914,0.6008716131324827,0.8202033626074574,0.0006771710069246091,0.0011281509155511395,7.394801338955241e-05
5,0.6620432607312071,0.6555654545454546,1693596028.8486416,9,0.34678022609057996,0.5811492992511569,0.03189787362045474,0.9822755400446276,0.7500041805851083,7.8559848898666775,2.6069729606071557e-05,0.004692899743405533
6,0.6597397638073687,0.6530013205741627,1693596029.0292199,5,0.004761178012767861,0.8882795924985502,0.004764538794676591,0.9768711134724333,0.7721040800740511,6.621390825772811e-08,4.607061574576499e-05,3.224816743524893
7,0.6582938794993282,0.6543857129186603,1693596029.2270293,5,2.257515582082828e-08,0.6235886194986766,2.166316231158394e-05,0.9969260057106364,0.9852901566885868,1.0059664836452487,0.010427284283418707,0.44627093679379526
8,0.6483839544586663,0.6410093014354066,1693596029.3798463,2,6.446173844347787e-05,0.762033437650182,0.000606905964470846,0.5228394826227001,0.9915767226786063,0.00025914879486117515,0.0010964892893556906,1.719543533748475e-05
9,0.6585336963439643,0.6489704019138756,1693596029.5354896,3,0.0010704552319721462,0.9160084498172505,0.04827644495354312,0.6896052834708187,0.5065086683472753,0.9419967194117421,4.941831985203758e-06,0.006711952668910744
10,0.5,0.5,1693596029.7115715,8,4183.036811441992,0.5055588790073944,0.00046921851634550225,0.8107850475599938,0.6337795728822144,2.385382473939503e-05,4.70110672861146e-08,40.38188953711194
11,0.6587434587370058,0.6530437990430622,1693596029.932517,6,8.097246158327016,0.9995272794346621,0.5596811698008408,0.8797014553411313,0.8868653457937297,1.2296523042065702e-08,2.0531489012321833,1.051391801544948e-08
12,0.6621857541899441,0.6560095789473683,1693596030.1673331,8,1.2575512454985645e-06,0.8370116123308663,0.44402622311283485,0.8749725597868941,0.6619856985466275,1.2167438748560507e-06,82.23859771253477,1.4516926672504533e-08
13,0.6618880383282654,0.6567536459330144,1693596030.387669,7,1.4282352658992291e-08,0.9917617060897356,0.061036314803679714,0.6486009460481066,0.6856211015926618,5.0293047857652944e-06,0.15124720145585255,4.863799138062183e-07
14,0.6596550809702285,0.6549343923444977,1693596030.6029482,5,0.00034632910003679356,0.8341500611978899,0.006625695465657775,0.7775244142145705,0.8622025063179597,1.0893399339253833e-08,0.19187613738569975,3.197635213471777e-07
