trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596027.86517760,0,0,0,0,0,0,0,0,0
0,0.026879007210036665,0.011179828829246063,1693596027.9815423,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.3690390896968505,-0.24308846654082528,1693596028.0807438,10,0.00020688903261699735,0.9106145615289158,1.616155440846263e-05,0.553828339967984,0.7975260321031201,0.0019868890756545563,0.0001541964181575402,2.259844168955883e-05
2,-0.3412056144184037,-0.22406089993881473,1693596028.181637,7,0.004964077342930281,0.8679410531743451,0.003892082702672994,0.7894293001130785,0.8226775479477969,79.8440786425614,1.579726738965914,0.0001355218583033099
3,-0.15649748975515299,-0.10005626000585655,1693596028.284271,10,511.53178360641203,0.5272372539111774,0.039190985355431786,0.9010852812122376,0.8682033219057195,0.12340066719269657,0.0025666611856050726,1.7710945384076957e-07
4,-0.15933269852114118,-0.10140440664189776,1693596028.387489,11,0.0017471568028661472,0.60847558016178,0.0385815109988853,0.9971037192109689,0.6278070278004175,0.05165285359469164,0.00977370285806616,0.14904638792452585
5,-0.36146467121039993,-0.23794297302450662,1693596028.4871712,11,0.0003745648251837736,0.626817048735698,0.001028874835319476,0.8732553585924925,0.8620352837058441,0.00011510069886759143,78.30662075108606,0.0003198842131774002
6,-0.36162580024874624,-0.2380440351086046,1693596028.600734,5,16.794685678451557,0.5412292766558542,0.0009814418977192234,0.8854404831539399,0.8823754917502336,6.895945739139864e-06,7.859988374814067e-07,0.0005158336235965756
7,-0.3657562277173494,-0.24085798293461247,1693596028.7005272,4,35.608654863991426,0.5945535577674321,0.0004523976815718186,0.9221142104112845,0.807512017161188,7.1226367698469595,58.28143066398067,2.339300044439826
8,-0.36113715334720675,-0.23771228683560186,1693596028.8008125,2,1.0948045909466755,0.7380544366366721,0.0010490188045599355,0.8709418437745046,0.9129666445845919,0.06796703190789989,2.4701086408306116e-07,0.10672116905411437
9,-0.3611869157980112,-0.23772811478525724,1693596028.8978207,1,3.1963267673250307e-06,0.9623968824775981,0.0010605039411405292,0.5741457663004716,0.8411435653372918,4.31407317843011e-07,0.030356549852627167,3.2820215754536146e-06
10,-0.3691612957184769,-0.2431719468639253,1693596029.0226293,7,26462.095444279297,0.9919453467991425,0.7808441752382776,0.6978497656767569,0.9983734480332638,1.8710973152174858e-08,0.2413640457687847,1.352929555643642e-08
11,-8.992497598914184e-05,-0.00012187685401188197,1693596029.1488097,9,5683.717221044248,0.7907031031620171,0.313760550642668,0.9826981701545914,0.9715083346653923,1.5292376442189013e-07,0.0001766019677231136,1.545509399591077e-08
12,-0.3691612957184769,-0.2431719468639253,1693596029.2770634,8,68620.05202710112,0.830679013424729,0.4198650587362747,0.989389713092484,0.970008354636788,1.064347523930409e-08,7.976144458296267e-05,2.523944157474425e-08
13,0.021395390582904295,0.010557294912590165,1693596029.419764,8,0.1189261995345259,0.7746914013804919,0.21237394256364062,0.9972856191447068,0.9989106418845081,9.055207769006397e-07,2.6809091937076435e-05,8.21590544361186e-07
14,0.008033455385626609,0.004844857514919587,1693596029.5575724,5,0.25212026614130445,0.7316956539227156,0.15888547321233004,0.7892021886376821,0.6764250998731292,4.571449617947301e-06,8.56095402344781e-06,9.618837480958392e-07
15,-0.05225883045833246,-0.03205175172846886,1693596029.6931465,3,0.07598676815807526,0.9170660226133852,0.08038329834803451,0.953640378870331,0.9245013677741789,1.3402268312669023e-08,7.471981020032313e-08,1.686409138693747e-06
16,0.025615563166516364,0.011109639557421391,1693596029.822677,6,1.108216703781144e-08,0.7974568570788426,0.6850636924850848,0.9386872928568062,0.7376654625926238,8.791384038048203e-07,4.6239451835043615e-06,51.01565164421578
17,0.02669735429865716,0.01152354573022285,1693596029.953407,6,1.1962507837545807e-08,0.9775579867972236,0.8701632512552172,0.9384733826483874,0.7308700970734718,3.5850130859777296e-05,0.0009823974620709434,51.588235681072575
18,0.02818153617068464,0.011582170385328161,1693596030.0866048,5,1.3276610481753567e-08,0.9942791880680205,0.9109815115680009,0.8222615989869713,0.5078019338196506,5.8246883812685964e-05,0.0027335028584120928,0.004014926177323017
19,-0.03124695226741836,-0.018151385041098145,1693596030.2156847,4,7.605279559987044e-06,0.9930556115708946,0.0990124771672607,0.8135645528773198,0.5376665177709234,0.0005010153953757672,0.1917269905552472,0.005124657022074541
20,-0.28222507663440544,-0.18406922870495945,1693596030.348498,3,4.07107754926714,0.9233409239730154,0.012845964184846069,0.7187572551588439,0.5531441260146227,9.189194928845563e-08,4.238924397522139,0.003309264818731067
21,0.027886975025970706,0.01123996264422722,1693596030.4856358,6,1.03294211754337e-08,0.9990512073622316,0.926978422860597,0.9371260977587516,0.7419276657672986,2.1473041464649164e-05,0.0011422757627247307,3.319314888395504e-05
22,0.027894332412173428,0.011279904184637535,1693596030.631798,5,2.041725654038869e-07,0.9998571697934525,0.8743453383809282,0.8548636657182678,0.6123291562875711,9.298024826173672e-06,0.00118868391564415,2.3405690285488655e-05
23,0.027893578009547504,0.011542315296537153,1693596030.7637067,5,1.4742363123122726e-07,0.9460972974106807,0.8634374183600196,0.8405337613567151,0.5189371583484482,4.215891241408208e-05,0.0007976881737136769,4.992490461518962e-05
24,0.022884729939289583,0.01078164118708913,1693596030.8954878,4,2.445016604175968e-07,0.8947823979917101,0.29420164275862054,0.8305349874267611,0.5029716455511581,0.00013757046643857543,0.008073230322663286,0.002019304621030531
25,0.027718889716408346,0.011463632324737794,1693596031.0269914,5,4.873168547857474e-07,0.9537145701889161,0.976381111963534,0.8553972845039313,0.5877035392471527,0.0009985874922925234,1.1374770429823227e-08,4.219152134520627e-05
26,-0.025747708362632515,-0.014770120985150959,1693596031.1572862,3,1.6871068761994086e-05,0.9449383890544194,0.10424136763840032,0.7544282115468636,0.5151724111589,1.105886232151212e-05,0.0006062448669738274,0.0005904981383631461
27,0.025115110707735644,0.011032780132132047,1693596031.290944,7,1.819755292813326e-07,0.9490695690249507,0.3903998146601491,0.8403469445570372,0.5832649592795636,0.0001017396554948549,0.01989811448299142,0.013510319264942335
28,0.010294736513202563,0.005991877308241134,1693596031.4236374,5,3.834575985534445e-05,0.884495023905251,0.16984840640176949,0.9025044110924472,0.5030596466126366,3.729572450425762e-06,0.003319450477013565,0.00010120732194008297
29,0.02409184379860496,0.010913414129680277,1693596031.558209,2,8.786551433358132e-07,0.862298016003814,0.3316580739537301,0.8169173644142337,0.5604428779478515,3.756195540717612e-05,0.00016909793531775207,1.2487553201931925e-05
30,0.027239315091557748,0.011467442608855016,1693596031.6935275,4,6.341027360754576e-08,0.9425123091079064,0.4798261509563673,0.8729115742337259,0.6181592921886749,4.1049434623079504e-06,0.05126019148888366,0.0001358422567224342
31,0.027942915551864123,0.011258641269272007,1693596031.8346527,6,4.096049713568713e-08,0.9980419988505115,0.8954535106175376,0.909278007744713,0.6706075098909052,2.299507629475976e-05,0.0009268832343632326,2.3518370226742805e-05
32,0.026324318166246474,0.011206852226799069,1693596031.965566,5,1.5969205878056439e-06,0.998248359844828,0.4731278688956656,0.8472422555265071,0.5400844531641663,0.00030163338166796496,0.0004195884172060738,2.3434944931409614e-05
33,0.02838683002162956,0.01136306015336419,1693596032.1033535,7,1.2252165628397511e-07,0.9622314549383322,0.9521678008245462,0.8951500766318593,0.6563312492481266,2.8875878427188977e-05,0.002167887811944569,9.229658394430237e-06
34,0.018072974353911753,0.009527811823109023,1693596032.24137,8,5.1128870420186634e-08,0.9685935772402723,0.20336675402575488,0.9087641638157429,0.6720873823601814,1.4761539654688954e-05,0.005730534260238945,5.308646983809962e-06
35,-0.1185855967201832,-0.0744813315277939,1693596032.3792233,7,1.91227732451038e-06,0.9186450618468316,0.05124040208954286,0.8891685152266164,0.6471583261715639,0.004119555317928966,0.0030635908981922325,9.332200287698871e-06
36,-0.21507903417925633,-0.1387564092826341,1693596032.5148036,6,9.678726332010199e-05,0.968946051286026,0.025277139396819037,0.9122978342835646,0.7014497285208844,0.00021920375446347703,5.754347133530654e-05,0.00011179632936372909
37,0.00625523593224786,0.003809100103414953,1693596032.6586518,7,7.955586061353023e-06,0.9211281306075458,0.15280836814778698,0.9672130326178139,0.608684028566408,5.604728945615459e-05,0.0026985611807704033,0.0005062332843656129
38,0.027152549932010883,0.011412471188511408,1693596032.7945216,9,4.118705200216427e-08,0.9790391503411107,0.48669436392652227,0.8814451387507134,0.6448355729593489,0.002412478882096062,0.0002713243620141714,1.0262675810166708e-05
39,-0.08185315550646854,-0.05045045277159366,1693596032.9343147,6,9.277832622092335e-07,0.8942504059328034,0.06606660461621938,0.9229013408781517,0.7839702622561739,1.8819826749186047e-06,0.0012372982406680796,0.000340960997997774
40,0.02110561160953217,0.010434154604434864,1693596033.0681465,9,3.112467527696601e-07,0.9707147558067271,0.25225123718110837,0.8609445087412029,0.5777092749679928,1.3121776177587372e-05,0.013501295324082058,3.0560331573129392e-06
41,0.028455298600548407,0.011502422940697699,1693596033.2067401,5,1.0092424624099943e-07,0.9408842627390229,0.8956026859679924,0.8052784972834468,0.6017938449425894,6.570013424093338e-05,0.0003674313706389399,3.7495757487311184e-05
42,0.027927037368344232,0.011548706871518433,1693596033.3447003,6,7.63335591676192e-08,0.9300987126805953,0.5888464874304044,0.7920978255839716,0.6049971599996881,8.209717242873805e-05,0.00024076605475083205,1.8773374281218826e-05
43,0.026627359119055227,0.011345205150350202,1693596033.4793003,6,3.6099007105666675e-08,0.9324212558788375,0.5277842510612687,0.7730243236382676,0.5969677362831697,9.41941831475937e-05,5.2259323289361545e-05,0.00015244562852232394
44,0.02760560861517969,0.011410155789333687,1693596033.6167572,7,0.00047123326005102774,0.9625822255721529,0.5312043448615645,0.8045201221072833,0.6216913035793102,0.0004033623788275337,0.00025728428542971137,6.873103877699332e-06
45,0.022164162919314223,0.01067693264118974,1693596033.7478037,8,3.458002428512267e-06,0.9018613346940503,0.27508697384151254,0.7983816641904832,0.5688029013008151,2.6353839130379677e-05,0.008519988025762336,8.987555517132165e-05
