trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693595453.16397830,0,0,0,0,0,0,0,0,0
0,0.7415895439323917,0.7409438860869273,1693595453.3478966,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.7276380606689137,0.7251051664548757,1693595453.5233784,5,23.132278628720066,0.5000571874086724,0.00032483503450866756,0.5733779454085566,0.5461692973843989,7.287895114844963e-07,2.855007611568483e-05,9.282709131819133e-05
2,0.7357221231169424,0.7359256345103398,1693595453.7028723,6,0.0028153259748355144,0.8426097501983798,0.00010525948689799706,0.9390587181954727,0.5136937965989631,0.0506611567427365,0.00014895257782642692,0.0038627649714580445
3,0.7377463322026925,0.7357526617264236,1693595453.9406254,2,3.7611387766590733e-06,0.9003722843377684,0.6939175614145937,0.6567120890796214,0.846161307834657,5.806193736857094,8.832154042762644,7.086668432729122e-08
4,0.6690220355457115,0.659266718028185,1693595454.1554892,1,1.613598399141702e-06,0.9390712517147066,3.1026598745141294e-05,0.7105538125025261,0.978944765075251,0.002146114306792388,0.08294135756246057,1.4294083346067351e-05
5,0.5,0.5,1693595454.4307826,8,708.1638195550685,0.5091441386720958,0.05632764247197713,0.9944305444532473,0.8740828271899197,6.3744089274568356e-06,0.7812558539177495,1.0771100194259757e-07
6,0.5,0.5,1693595454.5721378,5,6482.485293956237,0.6468070741868397,0.00027471140679557234,0.5650142860591388,0.5096834789351485,0.06142643761017295,1.3070167701871164e-06,4.523416665126919e-06
7,0.7395341830253561,0.737519569190193,1693595454.7641592,6,4.9398423208816553e-08,0.7870588027460066,5.415553798809469e-05,0.7946527684516421,0.8498791800104656,1.0552230962330523e-07,0.00013821649582619356,0.08790257092843247
8,0.7372104879116923,0.7315678088052635,1693595455.2806911,5,4.460617319357048e-08,0.7679482029577558,0.020843623798933626,0.7574445560291543,0.9722973779954067,0.007337538703063878,10.814816448124349,2.3699928809284863e-07
9,0.7052222649483827,0.6989212865713853,1693595455.7368188,2,313.39116815865873,0.6988384184927667,6.710748849223313e-05,0.963754290198017,0.6738829298727533,0.3221966579962527,0.18196164464280448,6.808648468304278
10,0.719998941827023,0.7149899774652835,1693595455.9187155,7,57.84311094682187,0.6744491709889213,0.00022368633756061877,0.9479431090980335,0.7140455949356475,44.50414598003911,0.043093818499302425,0.016479999800026
11,0.5,0.5,1693595456.0593777,2,22047.551371277223,0.7249560667399703,0.0077973687275726105,0.7040684013806406,0.6185134901215139,10.809241143276957,0.005455001404256588,1.0683247019133887e-08
12,0.7404148400683627,0.7380905517149712,1693595456.2843356,7,0.00017635335370240726,0.7635290511288046,0.2689741207695378,0.6786348800012498,0.9542675754598996,0.017123839868052285,1.439502516595258e-08,19.695741580831736
13,0.5,0.5,1693595456.717668,8,92299.01277661779,0.5861702541726643,4.8492966026987945e-05,0.9662977315185818,0.84840908074495,4.570900074913418e-08,0.3586167133587674,0.34574975784551876
14,0.7299507949565697,0.7287367513686664,1693595457.128373,11,17.77550149389059,0.5621354809860823,1.2571892801400742e-05,0.5131054934388597,0.5141532440103973,2.898082043664907e-06,3.983634517752542,0.002445178922000773
15,0.5,0.5,1693595457.63679,7,883.8968795033851,0.5620866575599556,0.0002488389700132209,0.7928796357291439,0.9847978741598373,0.004076638414537485,1.5362889036437813e-08,1.014674454770543
16,0.7218482721700011,0.720036728280836,1693595457.968384,3,310.7188086311614,0.6939303220320858,0.207830495385382,0.8735608213685924,0.7781201169952094,2.3150067230986641e-07,3.97353364923667e-08,1.634686806293052e-07
17,0.6974610936003447,0.6904480147486374,1693595458.1100795,1,2.497029530049153e-07,0.6128546693039274,0.03672357070707738,0.7798584910270712,0.506277990079558,5.244967444762106e-08,47.07207033855423,0.004797385511566274
18,0.7233851777656429,0.719060116867923,1693595458.2663765,3,1.906490648723617e-05,0.8719129270375465,9.487404242649025e-05,0.7906794636366289,0.9850099945441562,2.9395984851208805,2.503096491445698e-06,0.0008663575065447271
19,0.6606381574208666,0.6563303712326106,1693595458.409155,7,598.0695538069949,0.5783956973230422,1.2384572243648861e-05,0.5350110718596112,0.7431725554685159,0.011568967912771122,0.004881062524841378,1.4915028694459386e-05
20,0.7377419643547345,0.735137143471754,1693595458.6756637,11,0.34410251766349115,0.6900705863117752,0.0056851391055327645,0.8726672154532511,0.8346164467265923,4.458569867867265e-06,4.606258899541853e-08,5.021598421678579e-05
21,0.7398256750673844,0.7387673315418782,1693595458.8622825,7,5.398363554355309e-06,0.876377776869407,2.1512080122857886e-05,0.6301575492892705,0.9023772818716727,8.596918829558392e-07,0.02480897427646407,0.001764830867965918
22,0.7305913027741107,0.7275986412448134,1693595459.1438575,11,2.6476344073674725e-05,0.5329805453420119,0.04735107208994671,0.8860890147716234,0.953907926251762,20.879528727593428,1.3788458926239587e-08,2.2060779875425918e-06
23,0.5,0.5,1693595459.2807329,7,21737.628831779766,0.9750880596235398,0.006071079794060205,0.9578031748831373,0.8207831044731688,7.944693395434549e-05,0.00072428029693692,0.011043451525259693
24,0.5,0.5,1693595459.4188483,7,10973.838063120233,0.959366717816803,0.0009427098928543664,0.981631264220356,0.5869778333402322,1.8335602885701868e-07,2.24280533487503e-07,0.0011392568715836767
25,0.5,0.5,1693595459.5567787,1,21067.487544484015,0.9135577355853662,1.1887619719216097e-05,0.5880981277875277,0.6660317871834185,2.041589615930928e-07,1.2442479138575002,2.8013445428221537e-05
26,0.7410119166430006,0.7384140026575222,1693595459.8836749,11,0.3682852617110437,0.939415992205922,0.16736792311520474,0.9526961593543246,0.7299401329084034,0.00290715481694735,0.9683579258203209,7.197613422063726e-06
27,0.7390410282672286,0.7341265724309972,1693595460.1359537,6,0.6143756567098005,0.5077666377754179,0.009276988985927524,0.7168381744947292,0.9036802644424207,1.4205222185242807e-05,8.489597203641178,0.006005817801149212
28,0.7108650300367838,0.7062037945203783,1693595460.2919805,3,175.01692121012573,0.8060155885224669,1.860143120473331e-05,0.710096840000566,0.8395344182827148,15.346798104536337,1.009299943434635e-08,58.55870855772332
29,0.5,0.5,1693595460.512463,5,45623.22682394873,0.8023580504870265,0.13938917251439822,0.7873557523540511,0.8140380991536752,7.1740238633000505e-06,0.0073847093447656775,0.31638627624664645
30,0.7349982141270708,0.7341869451027195,1693595460.7210534,10,65.47393608028378,0.8490286242236516,0.21008601838997476,0.6613404984183733,0.8353943953937937,0.0003226557166598656,6.622584682789941e-05,0.00012826657527981853
31,0.7369849256501625,0.7337861870265914,1693595460.9179206,5,0.00013365687336534988,0.8109596839601507,0.001416564500656479,0.9869010389636261,0.8389004457171556,9.676067387340755e-07,0.0001849311598509503,2.7130787371300124e-05
32,0.5,0.5,1693595461.086341,9,2754.0876092802782,0.951920977913186,0.020587284296496335,0.6351041310148788,0.6261833507522949,3.5398057222197696,0.001892981907273358,1.0510196604443758
33,0.7380109578591677,0.7365614614206564,1693595461.310615,7,33.9510201793652,0.7595058137320279,0.0715186902590569,0.7844289953523578,0.7328549392959904,2.6723237998052115e-05,4.8094286278423064e-08,6.015085339140471e-05
34,0.5,0.5,1693595461.4778166,1,59789.163661518716,0.5908064256653819,0.11462873206502193,0.9374808224779491,0.8442066261929717,0.004953864545975394,4.071124352953954e-07,0.00046644476968817506
35,0.727900461195297,0.7237040869051548,1693595461.6498282,4,8.424021208791131e-06,0.7962559343828983,0.0003642077546730458,0.9581527767341753,0.9548177624757785,3.7254860181865468e-06,1.2850292328206137e-07,8.504079669862884e-07
36,0.7359998523172917,0.7329046516871449,1693595461.8591578,6,29.62195266879895,0.6040972192043957,0.0001738472366672715,0.9258359374681835,0.7079243591337636,0.014684212867150001,2.171007842997934e-06,1.046339436704734e-07
37,0.7369047385546313,0.7358252159633688,1693595462.5580952,6,0.0159526498067102,0.5763358220465816,0.012853788768665853,0.7720050594069691,0.8270686734853722,2.789044227918721e-07,0.3275504280791621,1.661465769056172e-06
38,0.7039651488587307,0.6991585957976884,1693595462.7613945,6,161.75151865904044,0.5111652139959031,0.0004186126023286148,0.9364611882000555,0.9223548038010347,0.0024232929896843562,4.6353522392742645,31.48182594871577
39,0.5,0.5,1693595462.932275,10,1269.1143942057172,0.5493717009101742,0.018051847737459086,0.8517584940763265,0.8051204063233148,0.991180198751495,2.2167269369475982e-08,0.5039498793331335
40,0.7091550587673341,0.7027492096540618,1693595463.1331458,9,2.3772733011181527e-05,0.6285346494110733,0.014504961725199512,0.6726487307955408,0.8982943390036437,0.0002893758739825889,0.6721932511843562,80.30042359403338
41,0.7198534842487985,0.7134508280824862,1693595464.35639,4,7.228959095878668e-07,0.9506542181746369,0.0051026630902214175,0.9873701854275412,0.8183022000009486,86.92210719811717,0.0028887372485415005,0.0018376353601748897
42,0.7187168548330073,0.7135626662799526,1693595464.5350747,2,0.00042088865813709616,0.5131092836481866,6.338345338389686e-05,0.872818596353748,0.5151998449643944,4.628400932765915e-05,4.202062700469487,0.08448452663465127
43,0.7377698196869951,0.7369680517726136,1693595464.7676022,8,2.8332076933433953e-06,0.7209521403742116,0.008088854745849453,0.9948758538318526,0.6019531126165609,3.0014355186388632e-06,4.185340902507859e-06,0.3174856737866906
44,0.7368187001910811,0.7337100136946916,1693595465.04884,6,5.496455286462428e-08,0.7542581203051197,0.00011476271743035008,0.8993021223801051,0.6486656907536361,1.888252722524492e-08,0.00859655596093678,2.744127520513594
45,0.7320928535249607,0.7300255210594229,1693595465.6546233,5,55.996133393793784,0.7555707391485641,0.00506709474460906,0.9797171605308762,0.9019804457493235,2.1048961135273596e-08,0.1241287872501064,0.00044669883069128137
46,0.737233975395995,0.7359114302429244,1693595465.9103894,11,7.561806260619631e-06,0.633536009842183,2.5548759866615268e-05,0.7143094143318933,0.5545093820095341,0.021770460026799953,1.0706126578434778,0.09289769989710013
47,0.7360897640554462,0.7376563963766309,1693595466.1545298,9,0.0002830763309739141,0.9229257415138388,0.001392656065478806,0.9120049352061594,0.8132480793121468,2.7178813071937166e-07,6.079515898921663e-08,1.525198709476149e-08
48,0.6976777553415071,0.6901795395818238,1693595466.3073752,1,0.009153550422696662,0.5566709613837952,1.3769454783726313e-05,0.8774307406952337,0.6974252402303197,0.29470327088725795,0.0003342321845083178,0.00031686003803789263
49,0.7360230101526917,0.7364916555189773,1693595466.494981,6,0.014522823032512356,0.9015816710570848,0.0010279277709015439,0.9523430801718116,0.5185305239770179,0.5479531491359928,1.8047365396439758e-07,0.015315658323427432
50,0.7249979026088579,0.7238625833092529,1693595466.6576455,1,0.10049736467863757,0.5015089783097981,0.5701234800896247,0.952701016851389,0.8979834709711347,14.214880044459553,2.854843539372822e-07,3.778337065280259e-07
51,0.73604658004922,0.7340017181902733,1693595466.817052,3,1.2372194246040382,0.9529047480041509,0.8907911461494281,0.855561229382908,0.8659002045711477,12.386027657666999,0.00010203221709833616,3.1514237398125734e-06
52,0.7129959629547157,0.7065593365856087,1693595466.986251,2,3.57224843252669e-07,0.9063052940164144,5.419533024935576e-05,0.6321487413634503,0.9095445893167654,1.2760641801376545e-05,66.70747358789875,4.638601045243254e-06
53,0.7302370126161579,0.7290708963286395,1693595467.1674438,6,0.00012248168303331797,0.9553864155869187,0.0006804296333044583,0.7167961636365823,0.7561463461391806,24.483007955613935,2.039341995968047e-08,0.14749817143732946
54,0.7379731306476068,0.7360404115217544,1693595467.4665692,10,2.263257174363019e-08,0.7610256236262554,0.0004265294855230123,0.9297446604327929,0.7792582754612589,0.07985069153392044,0.0003377030628199322,0.019190680506953432
55,0.7305586675327642,0.7272069626525184,1693595467.6997085,4,1.3229136986698573e-08,0.7883779674935454,0.0003607622365384842,0.758633799250565,0.9582029265269489,0.0001839703713595022,2.978244620627745e-06,5.163421904289642e-05
56,0.5,0.5,1693595467.8892434,11,15110.85217481213,0.9221649742828566,0.39905482983952895,0.6139501449756585,0.5437411047767955,1.8754149031575674e-06,1.3924068820430622e-05,5.593179581737557e-07
57,0.7395305568874286,0.7373857261697698,1693595468.0788052,7,0.0023802545007021274,0.908175755913607,8.426592478291747e-05,0.8509382648781552,0.6201778124245694,0.005523201509704655,3.089413017905845e-05,3.712307945004232e-08
58,0.7016726879785781,0.6962372061138432,1693595468.3095477,3,4.29866122146771,0.7486250466802656,0.0039362250456209625,0.5873600750544612,0.7853579257731282,92.79706747421098,1.4735032155188328,0.008784685911647848
59,0.5,0.5,1693595468.461671,11,5251.86556530415,0.7978039668013228,1.452551792286351e-05,0.5467885479087404,0.5326858575211132,0.00032910273152328493,5.6799999472609747e-05,56.68920188589299
60,0.5,0.5,1693595468.6912403,2,44283.16928009377,0.8837374344315065,0.1321871375127938,0.8163079083889986,0.834366385103366,0.0005872504188585798,1.3532049234224653e-08,3.388916399284078e-05
61,0.7198429354839188,0.7143886362667891,1693595468.8515308,6,30.98744323259095,0.7343141713730545,0.0019365315657646415,0.5688313704728016,0.5054443669017394,0.3826331603005736,1.5831730223429655e-05,69.7966376988062
62,0.7274131577051888,0.7244391532086977,1693595469.0921533,3,0.0002530488286145587,0.7619480678330659,0.05949182411586507,0.7319288919501479,0.5624112715558381,1.3335637600754395e-05,0.0011096645116266597,0.05476335921801116
63,0.7355359538992603,0.7359303239140778,1693595469.3097847,9,4.947264754597058e-07,0.5114575656611908,0.003939232470227542,0.9049943553312081,0.5063018835149382,0.053051595123257515,0.07380440214512696,0.0003107903573819246
64,0.7411380073482037,0.7372204178851935,1693595469.583825,11,2.3806420578746867,0.502619918825733,0.0026432742643528856,0.9296589030488001,0.9151997850186697,0.031012870889046175,0.054573805531110506,0.006095309995657008
65,0.7315365710020056,0.7294360711729219,1693595469.7461004,4,0.19359310122269388,0.8358648924087102,0.0005782932872241672,0.9279141836269639,0.5975187430043536,0.29730903228092775,7.870955587630127e-06,0.547006985446021
66,0.7007557695562975,0.6949862056245669,1693595469.9469569,5,316.28552634010083,0.6767674313339952,0.00011707554499967423,0.8836422542108833,0.6543209738153255,0.2150060483543328,0.2784399395339506,1.636692186372028e-06
67,0.7187344910492905,0.7161648681155539,1693595470.0983665,3,3.8576516208808785e-06,0.5712591688829223,0.0007680915653871199,0.5133139423458107,0.5554601845171203,0.0556724376595951,0.9948677869505903,6.386975809521894e-08
68,0.7215200242753452,0.7176641621017847,1693595470.2495081,3,5.0018838592040734e-06,0.9586667815408153,0.03602239554367441,0.7769423055257072,0.6522589939603101,2.2312101469488046,0.0002254548468747482,17.161772919318352
69,0.7196971482567919,0.7117904344835059,1693595470.4354575,8,0.016383511999041655,0.5631050518746794,0.7589580161019278,0.5799168251720467,0.6013010626098313,0.00020503006605037145,0.00011015876484540322,2.934369552097612e-07
70,0.7386750355732371,0.7395346340947153,1693595470.6550956,9,2.8424044172796923e-06,0.8219478221558314,0.05909214473545322,0.6053661960416603,0.80047712405382,0.3085203053044821,0.024109439069999083,0.009359939238701487
71,0.7291432375576906,0.7274000536133997,1693595470.952946,4,32.42530920263951,0.9726542199999748,0.0013421682199259814,0.8910909084157026,0.5280705198309577,2.252765699156461,8.365659197947583e-07,8.932410818804557e-05
72,0.7331350385301879,0.7313700012294038,1693595471.1122565,4,1.0998852284587981e-07,0.9523155014681215,0.0007092035286458155,0.7653487192380697,0.7470581329481625,2.097062718422734e-07,1.1602206445867633e-06,5.779471019092075e-08
73,0.7162478669655703,0.7128743942392426,1693595471.2884374,6,2.5127204471782186e-05,0.678530804441396,3.4699773780334356e-05,0.8937759198262536,0.5532919383944006,71.95951658241228,5.910328832810535e-07,0.005297257985667652
74,0.6985451440161883,0.6916835864646865,1693595471.4307601,1,170.8093993619805,0.5948029739091483,0.004360335352377183,0.8700387715795358,0.574965742458628,0.003242438458104756,1.466128659438941e-06,0.39080534345956275
75,0.7411725380707398,0.7400206449865767,1693595471.6386838,8,1.9730470676349733e-06,0.9309832788335367,1.2556699398828359e-05,0.9301184987115576,0.7794519055804692,0.00010769727656627576,0.38678472120696117,0.14766923224586803
76,0.7243057223258511,0.7242506609474204,1693595471.937605,11,4.121977643650506e-05,0.5018968362046713,0.46721098099623937,0.9289485522689469,0.864425438759628,0.0014685469282781772,0.11737144530379898,0.6386980184481971
77,0.7219113175226027,0.7186653996871324,1693595472.4190974,5,103.32200596794786,0.8753121595875877,0.011642763017881181,0.7009329619839186,0.8486540096321704,1.0743074272616908e-08,0.5610046580575404,9.208015137256417
78,0.7232468900510477,0.7195739829993966,1693595472.6154194,3,3.715124703160199e-07,0.6101419938968637,0.00032395423102588445,0.941514254281917,0.7715832151190473,7.364046057222114e-06,2.4185044896001703e-07,7.969748764076384e-06
79,0.7376691119472838,0.7369137018554021,1693595472.8271887,7,0.0001636066260867392,0.7286800908454992,0.0016618259451608136,0.914067680365756,0.7131740771181153,2.8641002273269557e-05,0.056197377342485304,1.6399120510489106e-06
80,0.7396230234045776,0.7389250025383552,1693595473.0257146,6,0.00012358163458086013,0.8134278010814173,0.2436701740305221,0.7238445000728142,0.8922287093959616,0.00037124191616420864,0.03650003804814693,2.081659775399238e-07
81,0.5,0.5,1693595473.1637099,5,6623.0167364204335,0.8027395005154674,0.06821390879323305,0.7523503040479471,0.7490278124140037,2.6853345644265074,4.765070641862549e-08,0.005404091770984133
82,0.7412027009453177,0.73669570353927,1693595473.3992336,11,0.05397350555834525,0.5972329047639422,0.17365886659317753,0.6258195711779264,0.8503630182412689,0.0025270242175502375,30.78668178562666,0.017513261162000388
