trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596017.86535840,0,0,0,0,0,0,0,0,0
0,0.7415895439323917,0.7409438860869273,1693596018.0593638,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.7231269802627665,0.7168225637926259,1693596018.2371948,7,19.83635001370407,0.801381688035822,0.005301709347576827,0.7118273996694524,0.8229470565333281,0.00023761404778025518,8.274276086161453,43.31393146405955
2,0.7204888825083512,0.7170185754266283,1693596018.4041142,5,196.0764769717997,0.7644474598764522,0.006921859910208607,0.9627983191463305,0.5355180290989434,7.435205853060173e-08,1.5928833561691773e-08,2.1193293640885202
3,0.5,0.5,1693596018.5478768,9,2042.4805389740943,0.989309171116382,0.09903593841281125,0.7307396811264659,0.8902645881432277,1.5231555549417795e-07,0.02507322588626923,2.7135190452611025e-07
4,0.7345313488689168,0.7327687043308087,1693596018.8044868,11,0.060817446637463725,0.7073309699952618,0.00021027036109989294,0.8871168447171083,0.7280751661082743,0.0048343655749956815,1.541338421512532e-08,0.0150091110454641
5,0.7414860341770093,0.7402462352387412,1693596018.988382,7,1.0474708826063404,0.9718740392573121,0.025650834317709894,0.679753950286893,0.7185159768996707,0.09469170997780146,4.001793885336983e-08,0.04652294026285371
6,0.728238351320351,0.7231411044850129,1693596019.1924129,8,5.43216926465056e-06,0.5644631488274267,0.0003776954513878896,0.6818553854713113,0.7850983852089398,0.00024322887698390846,76.51355496738442,1.0482095387452709e-07
7,0.7258867184622012,0.7224881072820926,1693596019.346891,3,1.2503273538796585e-06,0.8265541627326992,0.00018469622232007515,0.7331553864281531,0.6222127960008014,3.8877276777818895e-07,1.2698470419737896e-07,0.03658439644870376
8,0.7225882515438694,0.7199760109334038,1693596019.4991314,2,3.593939002435353e-06,0.684362585330482,0.12734038226347197,0.5485506378965306,0.918972453749402,9.140797310621138e-08,58.156016371283684,0.00048586097401978113
9,0.7375032985493306,0.7363940397297531,1693596019.719795,11,0.7294436646019437,0.8696317896991508,1.5701421102720525e-05,0.6414034812882048,0.5600982806065844,9.149597200543702e-06,1.5391366847232682e-07,1.512975146404062e-05
10,0.5,0.5,1693596019.893012,4,40417.51334417357,0.8953935174234465,0.44483789312048067,0.8266198426081983,0.9945652511790672,3.4110495181349876,0.08471308448399846,1.3504840231344287e-08
11,0.7277947263098228,0.7268120459226325,1693596020.104328,6,0.005453588024301954,0.9950306197425484,0.991001495170638,0.9891610797881221,0.7029733985728902,1.0167402972529901e-08,3.749652980141098e-05,1.1375442013579774e-08
12,0.7386798978945489,0.7365889719845587,1693596020.316122,6,0.0031074079611590824,0.9363689464919114,0.03640648088774434,0.8053319758532292,0.6714798493758294,0.09218622520869045,3.738514337754243e-05,1.1877391323849428e-05
13,0.7402128477033608,0.7405696408292253,1693596020.5721905,9,3.19176230389535,0.9994084690529204,0.022045013110253496,0.9138551575545015,0.7995855085712341,3.5392794894070783e-06,0.5058614195749915,1.786929150090219e-06
14,0.7417282437081151,0.7395482487852585,1693596020.7781882,4,0.17366109745698402,0.9065340365248679,0.23193298885478555,0.9990210215239963,0.8676462891280454,1.0018474060505816e-08,0.0015846548925040895,0.00042409062662948714
15,0.724133315949848,0.7228094810999705,1693596020.958736,1,0.00023374031368261303,0.911981341606392,0.9350840486310198,0.9842359592475598,0.9917826086693337,1.5293285314672076e-08,0.003267000249405784,0.00018824791501806433
16,0.7412907172022828,0.7386510397714227,1693596021.1631076,4,0.08179148029384872,0.8795900750022444,0.20929263957444463,0.9255791598488717,0.8965491542672581,5.697690399357787e-06,1.9864968299956909,6.910244932756383e-07
17,0.7242981404010939,0.7220250082545296,1693596021.366761,4,43.14681996053268,0.9354214302151151,0.24619755276620245,0.9958508366162757,0.9403243433874017,82.59110675830595,0.2292663839806964,1.0338285825031087e-08
18,0.7201476134820468,0.7162395266884125,1693596021.5515707,2,2.21047808734238e-08,0.8299139101829912,0.09554626518699785,0.8557432387453838,0.8678235454127926,1.2037920266470748e-06,0.008151756056811822,1.3336857341074142e-05
19,0.74469772102176,0.73745038914704,1693596021.760178,5,0.2789390092133167,0.9418200073082991,0.4434638323023466,0.9316253564829926,0.8419648360251191,6.52235163784306e-05,0.0007048671873331622,0.0022866842660769246
20,0.7372217783866026,0.7350781313620447,1693596021.9703903,5,0.0019822683443402322,0.938982633381336,0.05440701137761646,0.9348234400468454,0.8509073940731573,2.806441361669976e-05,0.0003662375650150894,0.005850648110186066
21,0.7447423060358218,0.739321406816042,1693596022.1843922,5,0.43637128547364573,0.9481972929205228,0.3842972698462788,0.9459381008185302,0.9478018754544492,6.077799816632688e-07,0.00041243050342182775,0.0017706986461165297
22,0.7411580335190301,0.7396597150957748,1693596022.3763921,3,0.06307039124405951,0.8699850170642196,0.6539260380971444,0.887322757954719,0.8465755476155358,1.042438711640071e-06,0.000531808890759669,0.0025437983322546672
23,0.7397462296818839,0.7390260741550924,1693596022.586104,5,13.950185698183692,0.9478902592414957,0.31837225430162297,0.9611076647927467,0.770296326946527,1.0477150132165059e-08,0.002171210858012283,0.0009163016538634392
24,0.7327664086449766,0.7319003664428881,1693596022.7835019,3,0.22919098179812333,0.913092042642726,0.14751517779733025,0.9395230407457382,0.9343937254431315,2.8360223272194515e-05,0.00012926540744337439,0.1072433639879637
25,0.7299281315945232,0.7294858223905295,1693596022.9912064,5,0.022808715389732146,0.8512129744712058,0.9894217532041747,0.8940565599969061,0.8242246894583023,5.441344802066564e-07,0.015994161734245095,0.0029838473743701442
26,0.7130262082415191,0.7066812520123846,1693596023.192113,4,368.73804059610984,0.8998503011479588,0.060588970568063755,0.7856647130115528,0.8821132416726566,4.5940171777718704e-08,6.38968016902016e-06,0.0003560519628044852
27,0.7378198439079481,0.7381411192697866,1693596023.4277377,7,4.084040365466361,0.9568568385113089,0.012442976224159701,0.8510654591275832,0.9507338722413596,3.8931819993637224e-07,0.0011865807867169668,0.008591542242445292
28,0.7345353870679724,0.7337341319239749,1693596023.6137495,2,0.2482220944257248,0.9199966644099361,0.41842407996440983,0.9562518840734141,0.8212575000893673,2.317711986627109e-06,0.03928180691715334,0.09460233894259285
29,0.74316040336499,0.7409951611339896,1693596023.839607,6,1.2682006947437454,0.9707744806261372,0.2585166924026429,0.9921037109668922,0.9069780505689009,1.0103870544860437e-08,0.006782555043044042,8.210084977873748e-05
30,0.7405261789851793,0.735302506178811,1693596024.0836139,8,2.883700308235918,0.9660918921972661,0.44002021476754766,0.9188715198755033,0.9719442948861132,4.8277264239635806e-08,0.0059689683650278064,0.00010016231015212778
31,0.740192491883632,0.7390726507280032,1693596024.299037,5,0.257567168015647,0.9707806998736189,0.18129652507709157,0.9989587142349339,0.9071189803652331,1.7113941833984628e-08,0.0014213077317203526,0.0012617869680202382
32,0.7439148872905679,0.740114396779684,1693596024.5208085,6,0.612526504085104,0.9092941976424915,0.3002195725928506,0.9575115249435381,0.8674767971549823,2.021978536115107e-07,0.008183465332189251,0.00010127356099484738
33,0.7397266155721856,0.7384159437259943,1693596024.7603393,7,12.142692224066588,0.9607755270284595,0.06448918169431062,0.9660188006916218,0.9116815276886816,4.047482532688402e-07,0.07722469313968548,6.45758630399819e-05
34,0.7431168072976355,0.7399303218097419,1693596024.9848258,6,64.32195770052526,0.9975811100974232,0.33168181567745963,0.9466523766859412,0.9661288990113546,1.3831823101257968e-07,0.01123825551101388,9.428074443034149e-05
35,0.7385406212332462,0.7391584749797816,1693596025.2240288,7,0.01840115436048727,0.9341833554954087,0.11198562255287356,0.9065100441136487,0.9309591842822755,1.5003218571717513e-07,0.00020734548017095283,0.0008980498789108837
36,0.7403525364257917,0.7341891945652478,1693596025.446771,6,0.7843133834558362,0.8847245317619363,0.5183550227152287,0.9635303998585655,0.8891923621441411,3.553523972474946e-08,0.03543278020870919,4.053695468991026e-05
37,0.7405829610086333,0.741289559542357,1693596025.6984143,8,4.830954706295293,0.7931537877949704,0.09769227436578809,0.874515362426049,0.8511686845033009,1.78694014427731e-07,0.004569173544583118,0.003953581965325157
38,0.7034646594125228,0.6968377581863701,1693596025.9063969,5,329.77591208953163,0.9676492673396113,0.0050472397228446125,0.9298180641937013,0.9053465252584252,1.4287288352053996e-06,0.0006513919368478955,0.00033064315244879614
39,0.7387536568364814,0.7384961715326926,1693596026.134692,6,32.82971408963128,0.9826837338175635,0.2021972566949436,0.9042677024442909,0.9656184330551273,7.98759783427764e-08,0.012897218873793071,0.01500236190072751
40,0.7389502099945922,0.7394051085910802,1693596026.3915398,8,1.2118936861344787,0.8517319956367014,0.03102013496418696,0.9660782468350608,0.8212490561125273,1.0461830526083655e-05,9.059308013702215e-05,0.002125924072715683
41,0.7385192764668099,0.736725998720092,1693596026.622045,6,89.8897942190817,0.9902124148692364,0.305463513726468,0.9463640311183527,0.9528347927165289,1.9854699071876344e-07,0.009133595885989623,0.00012831698389984596
42,0.7458454760880104,0.740202307226549,1693596026.849271,6,12.469186381800652,0.996669078496235,0.5544090518067203,0.9347982235436866,0.9223199799137266,5.143673026077016e-08,0.004125922213841501,4.545544656218332e-05
43,0.7423896842309645,0.7377377942666608,1693596027.060406,5,0.7184252599033562,0.9537383477313935,0.4934406598981228,0.8732278756440287,0.9242806381084612,3.9086845353238644e-08,0.0006836276714746394,2.884784958490349e-05
44,0.7412182768559605,0.7403108075118771,1693596027.2936435,7,10.594024337831938,0.9213172259117423,0.5948885714673106,0.9779969458691675,0.8759809267453726,7.05540674435569e-07,0.0037162359055098854,0.00023293461597397288
45,0.6694741490154789,0.6630854165004135,1693596027.4799302,9,1138.5305221444696,0.9743934506620027,0.14044664960450545,0.9196418105687094,0.9142851777846579,3.7167384091127664e-08,0.13938509839470353,5.106269447248549e-06
46,0.7386504767300016,0.7360309964326244,1693596027.7004874,6,0.8602928106943771,0.9313818891132513,0.5913248402928057,0.940449907909496,0.8889605287271688,2.6167833760566704e-07,0.042191298407542766,2.690542362245444e-05
47,0.7410324372871807,0.7420672658593865,1693596027.9812386,10,13.91683872346078,0.8957892562988327,0.2844098414901815,0.979327197312691,0.9321417111015241,9.283771205504296e-08,0.0022314177640865855,0.0006264268972647438
48,0.7349204169860826,0.7316460864730765,1693596028.1968539,5,0.01838571294642012,0.9999467290353135,0.9673473046538316,0.8996126011997577,0.9855414612092662,2.7154244530042394e-06,0.01773048827265582,9.06460556922348e-05
49,0.7303774430486195,0.72938729048955,1693596028.4234798,6,141.11544455693132,0.9526195511041399,0.17630882309832152,0.982086433328106,0.947988657261837,2.287785038683183e-08,0.32734376108246427,0.00019825848542046154
50,0.7402084798554028,0.7408300342576816,1693596028.6558492,7,2.4971389689026706,0.9763287195440664,0.09569598771091092,0.9199998543459286,0.7943681447894073,9.226003123405607e-08,0.00025083053156214327,8.470167783490486e-06
51,0.7434594773317758,0.7397310266860815,1693596028.8808982,6,47.60666390529984,0.992578062159228,0.3417059654806769,0.9359547958739938,0.9665943479131597,1.0871853329240243e-08,0.0070057030195183395,5.1984708554137464e-05
52,0.7360125438000377,0.7368821912391815,1693596029.0894628,4,28.643687893652565,0.9482724829034723,0.31104050041306075,0.9513766448097515,0.991406696970056,1.5792982825527577e-08,0.0035768420419528342,0.000997694149441759
53,0.7334320521913329,0.7276554220328215,1693596029.3208857,7,0.10710817780005007,0.9825552097932859,0.684672961151189,0.9333654986312284,0.8982738032225489,2.8841835752895963e-08,0.0009741134897953092,3.203685728051343e-05
54,0.7451635973332064,0.7396312158568097,1693596029.5485735,6,4.686741513119019,0.9237931511981546,0.42299168013881244,0.9805497693978692,0.9223626638296536,7.964102729113075e-08,0.021483779038113892,6.703066312607957e-05
55,0.7393433163108134,0.7395815825545764,1693596029.7652555,5,6.3481300912165555,0.9187928587489971,0.4170037503319936,0.9693221764684322,0.9726027091556764,7.264457916534264e-07,0.08473767871688068,0.0003948018460128374
56,0.7398666339435189,0.7313996070588061,1693596029.970051,4,0.33308375788911293,0.8951530155581322,0.7070329759022975,0.907329250333093,0.9228389065790208,2.5841689074619855e-07,0.024619063214359464,2.0475623326446268e-05
57,0.7392298346761307,0.7378485168032763,1693596030.1855528,5,34.748296015750675,0.9491460836897279,0.15601082285753803,0.8881081953448847,0.8655296159065575,6.747483108058631e-08,0.6443399918329342,3.54503663427459e-06
58,0.7370685740591697,0.7371690339931702,1693596030.414598,6,0.0445321245494268,0.9379286278138773,0.06078062361479519,0.9535389502255913,0.9375315726155055,5.515112224013279e-07,0.0022722586210722146,5.424670352336541e-05
59,0.7355474091986218,0.7335185644786393,1693596030.6119666,3,3.3158445302168835,0.9216684732295093,0.9937967097030606,0.9228829321864156,0.9537637693057136,1.246717609431269e-06,0.00036725221893332913,0.00020487559373893023
60,0.5,0.5,1693596030.7912,5,2862.348609294947,0.9028163875420184,0.20430560968348263,0.9810552929751035,0.9947232537814173,7.987381767887204e-08,6.084019301095808e-05,1.166893245305824e-05
61,0.7432503151031447,0.7394528643177355,1693596031.0208673,6,1.4368906176786584,0.9821175649802957,0.3727059040940241,0.9942242248243021,0.9005975287248409,1.1485733751310884e-08,0.00638966424122733,7.28839785019836e-05
62,0.7444996020313625,0.7384479169332991,1693596031.2457032,6,0.4889156474509701,0.9854242351009164,0.39352748549456673,0.9963302892361082,0.8808663612005297,2.1788776278191473e-08,0.001353621076652115,0.00016561441698441408
63,0.7332260216272756,0.7287516359170884,1693596031.4785638,7,0.4288430475343189,0.9950153189653614,0.696182279442996,0.9382136657898447,0.8763168047213942,2.7686906442353902e-08,0.0012590948977457312,0.0006632418502549319
64,0.7428211122321007,0.7381551602697606,1693596031.6877706,4,0.11406212248911099,0.957050838964915,0.4138865955558493,0.9657085021331058,0.9211771267477706,2.8206598246758095e-07,0.00044117168225279557,0.0016350861654971013
65,0.7421328877359236,0.7422674136019085,1693596031.914287,6,10.023495062566639,0.9390221757871068,0.2395409134755949,0.9531233376104858,0.8608642140896209,1.3060347389077022e-07,0.01592971457557491,0.00020398891624138284
