trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596011.13800760,0,0,0,0,0,0,0,0,0
0,0.2555976518817632,0.23919687889887664,1693596011.5509844,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.24475006372373986,-0.20512511390605948,1693596011.8690188,2,41.74899781478371,0.6316575075925673,0.004663338778750113,0.5072874812427098,0.9593735040499425,10.165963385227615,2.158809279897319e-08,37.11020579598419
2,0.2247054231731036,0.2095203854496871,1693596012.1647654,2,4.895179127997987e-05,0.8030415921794145,0.5261695122952522,0.9263677705546425,0.5011296167592567,0.0016302727605977936,0.0033141818351955362,0.0007141248348406739
3,-0.2825967910425937,-0.24026754500900327,1693596012.8588343,9,1.2283377262004072e-06,0.8822802251694394,1.2707174379800676e-05,0.5676050891845584,0.558136508700845,1.2559601062903738e-05,0.05182346558157022,0.0005155820423156452
4,-0.0706534147920288,-0.04494643984169744,1693596013.251232,9,5.816050729110737e-05,0.8665629888063353,0.0325920573816216,0.6637847381317115,0.6673237645530279,60.33659393783202,0.017612504511100968,31.851892916622575
5,-0.2668120463893058,-0.22551864029968405,1693596016.4099646,9,531.0315100787736,0.7033201509033309,0.001805269551090575,0.7003158136808367,0.9975690801692793,5.965430074702689e-07,42.26384746642457,0.00015577677287057293
6,-0.26385324769973484,-0.22274291263015633,1693596016.7410004,5,0.010493860979464874,0.6868615744119577,0.002125888589290102,0.5175841307354023,0.5421363348659228,0.21144965525721876,0.02301441490595801,1.901419259695876e-08
7,-0.24724260352108818,-0.20735732254787465,1693596017.0779848,4,7.4316076099753975e-06,0.5275099966701,0.00413266644395438,0.7081848286473051,0.5241093749127852,0.005297185179348627,1.0843425669555034,1.367782980341828e-07
8,-0.2513488851330383,-0.21111853637399713,1693596017.437722,4,2.1969248024797694,0.7463686527182539,0.0034102041481854505,0.7307201300329775,0.9473715369639454,0.011422914637395457,0.010803289934538048,0.0002746113997981817
9,-0.0009274048534981816,-0.00017481894077930882,1693596017.723234,6,3546.646093239253,0.6042502442300901,0.528332480480921,0.5367350219711328,0.7975762283180452,2.04885256845208e-08,0.04493392181595766,0.023651296436630484
10,0.22443693626634076,0.21402990774780584,1693596018.3238277,11,1.445448146241447e-08,0.9830745882262086,0.8618585921339177,0.9692714833123864,0.8783301855809975,1.3824020810852633e-08,97.01707276394973,1.5715901484831777e-08
11,0.1446037736821767,0.1409937432978976,1693596018.6498506,1,0.011865291059922067,0.8348953352123628,0.15492918311748977,0.9947854538834326,0.7017291147948588,4.3580381151017465e-05,0.00010250983556356984,1.3062269335329316e-06
12,0.16096482656943278,0.1632433014031931,1693596019.0185566,3,0.582131667016468,0.9653001687421487,0.12185859449349196,0.8982745578735885,0.8029422397377938,9.095844258846091e-05,0.0001571673155334992,1.7121933990667078e-06
13,0.18078641515050353,0.17957747586700024,1693596019.446466,7,0.0032261628256701224,0.8038185339225882,0.7529630501346837,0.8716094252269891,0.6190423311874198,2.2164603453299873e-07,1.9224515024034086,4.255232779085857e-06
14,-0.28271947172440304,-0.24038257337964475,1693596019.7740946,1,97243.44405969665,0.9289134034904055,0.07025468022182961,0.8313265839374016,0.7482494279683032,1.8559846431488889e-06,0.0003617768894853859,1.3099655026652816e-08
15,-0.006946641258024799,0.015276282661755847,1693596020.199569,7,0.0003729962383877488,0.9989326010894997,0.04007636617535585,0.9361460722115681,0.6295792463004932,0.00048666082590693104,1.0296600095515493e-05,0.023166192251473875
16,0.22268274739993177,0.21213075853219077,1693596020.5764608,3,0.45311080711233315,0.9030941630159991,0.27050366185892144,0.9933250104383271,0.8945806000572742,1.3644761678401657e-08,1.1109244954660984,2.691740672778949e-07
17,0.1533896691015164,0.1270390200037831,1693596020.9614837,6,0.0004992533438742295,0.7902537731653537,0.9854578119862278,0.8125237307969897,0.5000457239830814,3.765061078150509e-06,0.0028852640206734836,1.2461439075023418e-05
18,0.24065520704962973,0.23376902002534594,1693596021.4000244,8,0.06827830696144963,0.9442409935268536,0.2699008441010346,0.9302764869681741,0.5945985095598881,1.4055152263696215e-07,0.2984232756544817,2.8639236595359388e-05
19,-0.1284253755362743,-0.09511940134092867,1693596021.853635,8,0.23941838501439322,0.9482529721443296,0.019288741169188574,0.9442139945642316,0.5976457749364248,2.2641539035667477e-07,8.295754685917904,1.2912742716823483e-07
20,0.24084708892233975,0.23372601144232352,1693596022.3750408,11,10.7529585581056,0.9379611732447543,0.18726840461281744,0.8793399027333411,0.6841992296205623,1.209052863583383e-07,0.25439642760993075,5.9202674341847675e-05
21,0.24518108844829734,0.23677540246106066,1693596022.8952928,11,9.714462755379333,0.9308731240618382,0.20868856425922752,0.8667985960518112,0.687348667977645,1.7803783963539774e-07,0.29954359392979807,7.044956451031928e-06
22,0.21857678693657268,0.21711306195151947,1693596023.4315498,11,10.08957254845458,0.9102244798115762,0.13637772252086663,0.8808884447750136,0.7008939173168044,8.231695665371642e-06,0.1941025864545398,6.357495372761795e-07
