trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693923254.60427280,0,0,0,0,0,0,0,0,0
0,0.6719433800441317,0.6715592740692857,1693923254.7938416,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.6774310118489589,0.669126796103712,1693923254.9734178,5,2.172906373407696e-08,0.7748312389393546,0.0015017995265951538,0.7101839010437445,0.6651674105019371,1.112977386395679e-06,0.01558510252222362,9.920800965244338e-06
2,0.6701396991295115,0.6640766014435009,1693923255.1342375,3,1.187790441340144,0.7645710471385195,4.708685960549632e-05,0.7567890606328732,0.5922199328234576,0.7134301815779208,3.4653964518555913,0.0008757262618707403
3,0.6660868755347588,0.6659686814300378,1693923255.3528337,10,1.0849037269315996e-07,0.752623045060852,2.1204719013178307e-05,0.7140611637986947,0.5482654578303063,1.8689587538335184e-07,0.009277972689158196,1.8202037553340975e-06
4,0.6621610464965537,0.6521247286159474,1693923255.5078743,2,7.311065788565077e-06,0.6749131425016497,0.002182415426974914,0.6008716131324827,0.8202033626074574,0.0006771710069246091,0.0011281509155511395,7.394801338955241e-05
5,0.6762902783406818,0.6704873776120359,1693923255.7476947,9,0.34678022609057996,0.5811492992511569,0.03189787362045474,0.9822755400446276,0.7500041805851083,7.8559848898666775,2.6069729606071557e-05,0.004692899743405533
6,0.6727501238388826,0.6669034056849532,1693923255.9287004,5,0.004761178012767861,0.8882795924985502,0.004764538794676591,0.9768711134724333,0.7721040800740511,6.621390825772811e-08,4.607061574576499e-05,3.224816743524893
7,0.674572312355095,0.6678008442592152,1693923256.1311114,5,2.257515582082828e-08,0.6235886194986766,2.166316231158394e-05,0.9969260057106364,0.9852901566885868,1.0059664836452487,0.010427284283418707,0.44627093679379526
8,0.6614049640628432,0.654352056948542,1693923256.2828703,2,6.446173844347787e-05,0.762033437650182,0.000606905964470846,0.5228394826227001,0.9915767226786063,0.00025914879486117515,0.0010964892893556906,1.719543533748475e-05
9,0.6717160862273422,0.6647411682091606,1693923256.4400885,3,0.0010704552319721462,0.9160084498172505,0.04827644495354312,0.6896052834708187,0.5065086683472753,0.9419967194117421,4.941831985203758e-06,0.006711952668910744
10,0.5,0.5,1693923256.6155632,8,4183.036811441992,0.5055588790073944,0.00046921851634550225,0.8107850475599938,0.6337795728822144,2.385382473939503e-05,4.70110672861146e-08,40.38188953711194
11,0.6583515509540712,0.6484622935251254,1693923256.9032412,11,0.14786658056397758,0.5458464606316102,0.028710008408824428,0.8712856354220024,0.6770876068361182,86.11114589317032,0.1540763303285703,0.014979495152376244
12,0.6522332107908358,0.6430359958155931,1693923257.142532,8,3.3511797796043553e-06,0.6596379285336147,0.4369300844810721,0.8840120582107063,0.7019370408369924,63.259387430796956,60.2389148552509,0.00023398379399354867
13,0.6725387789690874,0.6667414901036445,1693923257.3902087,8,1.4282352658992291e-08,0.5817447511471744,0.01972116261850105,0.6774784226234688,0.7567092881577636,0.16118371057188055,1.3591453821592438e-05,3.3785617521919227e-06
14,0.6714968948167799,0.6653010067558002,1693923257.6557982,9,0.00034632910003679356,0.694612413266144,0.1014248063148692,0.7607854792541083,0.8249258700482367,0.014097940533856589,9.700194080420862e-07,0.005112319768198942
15,0.6696528724479979,0.6629559283439121,1693923257.8823164,6,24.807502330185088,0.5944997489984045,0.00815585239833885,0.9105968500305891,0.6568921931413034,18.3803175532549,7.126192524639272e-05,0.08206613291826484
16,0.6740487263358566,0.6692431628409081,1693923258.0829895,4,0.026913761505019413,0.8159298568770328,0.7898322857605826,0.8228524094167885,0.7204365663348453,6.393748170721328,0.00017880373238597105,0.00027338321066378317
17,0.6741684713710431,0.6673919744467572,1693923258.3161533,7,4.836719482242122e-07,0.5037156277124194,0.00206387959534887,0.6426467349154121,0.6106608103308736,0.02128980155326953,4.606977385163337e-07,6.866247267821092e-06
18,0.6764147142426313,0.6694018229571487,1693923258.5983362,11,0.00022426882793045031,0.6992927730503552,0.10582313895985213,0.9272021542761038,0.6794288436583933,12.096868722210267,0.013540798282438444,0.00202014462168758
19,0.6574810966598298,0.6571774778478974,1693923258.8723438,11,1.3979934140111194e-05,0.7026418974792689,0.1250859173713286,0.8042653551902386,0.5840432975062578,0.029531222279708547,0.022657106056842645,4.0942079664525263e-05
20,0.6639976487670014,0.6545101360611019,1693923259.0783339,5,1.1480123433844982e-06,0.8211471370475139,0.1308762051423616,0.9270466338744825,0.6604263691602335,76.57286266480749,0.11403051234299234,3.1653327427164654e-07
21,0.6781303774390802,0.6714753236485616,1693923259.3608875,10,8.005578193719058e-05,0.6372759171231437,0.017831944297895634,0.9517172841425239,0.72073087871863,6.931059005806711,0.000631109152312322,0.0029336183886949857
22,0.6714104122913673,0.6710009295321109,1693923259.6401458,10,6.982881229396544e-05,0.6384769285450804,0.0109291636217376,0.9373059344862905,0.6955423983133666,3.1044210712706715,0.0005584542910593745,0.0009588961467741854
23,0.6760181227799408,0.6683023979921694,1693923259.9126496,11,3.042690508385373e-07,0.7289883030266002,0.016427013511699767,0.8444986627362332,0.6337396963095725,10.749265886269765,0.002839880284200614,0.00023318426518136804
24,0.6639587572171118,0.6637384665236008,1693923260.1886911,10,0.00013549991459106805,0.6711601586615346,0.06829623551168962,0.8713308875900602,0.7129644280492928,0.2560981797952456,0.00030256984323605643,0.039270307219422415
25,0.6760695517373605,0.6698766228539477,1693923260.4279296,7,0.00429120943334914,0.7119845656446826,0.006645000515561769,0.9555968398253253,0.6667727269703364,2.7013998388029155,0.02285135358071865,0.0017929761700928191
26,0.6636713350172692,0.6567544979460506,1693923260.6105583,1,9.374144132652894e-06,0.6443925476357243,0.2075027682211911,0.8978611367096119,0.5672176420649384,20.826008051626975,0.004290620280514669,0.12634859908240062
27,0.6297516774539544,0.6257911517898123,1693923260.8616488,9,9.896611618376364e-08,0.6228535709538141,0.9902282171961272,0.9488194321275292,0.6282757419432967,0.15834038478029616,0.00025732597085570055,0.00113067881807759
28,0.67486920157695,0.6712348065693033,1693923261.1101902,7,1.063871460359732e-08,0.7305058579980069,0.027392915468840606,0.91585108594221,0.7878303201815141,2.853340987464854,0.0020581954580892493,0.014844276249344087
29,0.6750849814480484,0.6705919490522853,1693923261.3179488,4,1.7859004228759267e-06,0.6901464737294232,0.24008171854644578,0.7946311438946643,0.7290797235300602,0.00533386838823092,0.09970350009041205,4.652063936953202e-07
30,0.6669485451148802,0.666100200374336,1693923261.5965238,10,0.0009703538556311053,0.778922932017593,0.05806838514251861,0.9629024843883802,0.6961341904785233,0.1388352646997039,0.035031011506320237,3.937577176177588e-05
31,0.6684479167093109,0.6594991870006273,1693923261.8790228,9,1.6892387243033518e-05,0.5984919984207676,0.04146336369917731,0.9935055884250956,0.7423429535221777,25.78690701487237,6.531705924304734e-05,0.0019496175925713328
32,0.6743699227763927,0.6694206087428254,1693923262.1860409,11,0.3640192104306532,0.5582705884916275,0.012390751236860507,0.9639191645992679,0.7420088983705599,7.466485495334766,0.7045933214123985,0.005547080867394288
33,0.6729353704317782,0.6691301253470252,1693923262.4683108,10,0.014041105242492899,0.6566691407573281,0.02399464779002377,0.9292361119918654,0.6832969256078382,2.3476197626555546,0.00424857611766723,0.00019552219310845566
34,0.6677109388965989,0.6587170638235679,1693923262.743005,9,2.300279660840998,0.6150658244777453,0.004447421555916976,0.9946496528412371,0.7957818531481029,21.511101487050684,0.0007324033400406131,0.0006335133347546732
35,0.6647921963081684,0.6655270171876013,1693923263.0063093,10,1.380450963979191e-07,0.6760519768357368,0.08451478271677161,0.7445227600427252,0.6040603822173272,0.44862003504742864,1.818293291038908e-05,7.541374606963195e-05
36,0.6639474991368806,0.6616793987013996,1693923263.324503,11,0.000933906157723015,0.6410926318186227,0.0029841921118398907,0.9658370866910044,0.762982778034411,0.810780231309144,0.009532348244882922,0.0035831368073683443
37,0.6738959746563555,0.6682911099206582,1693923263.5327065,4,4.887541029820342e-05,0.7276535301089933,0.03888477832214586,0.9024219853096707,0.6533829430863076,5.439412804810842e-07,0.0014543347826098119,0.001066276574731796
38,0.6767911776224846,0.6708097977657145,1693923263.769005,6,3.93464025740137e-06,0.684557205502752,0.0013129569407140781,0.9986063363007515,0.7210650963228655,1.1158030891830022,0.00017686951012639427,0.021508931035732155
39,0.6735207906038015,0.6680989544811098,1693923263.9876165,5,3.081861485964028e-06,0.7500726664658184,0.00108473662222538,0.8554821547393178,0.716140127290453,0.06146435263657728,0.00016903141069545628,0.0165507637712615
40,0.6758251149347646,0.6690350620781221,1693923264.224067,6,6.164385208459055e-08,0.6830540491590696,0.00021368467081681237,0.9372112632355527,0.678145154808875,1.1629876485033606,0.0007284020289771022,0.41411244567080463
41,0.6773703717349862,0.6709129397524637,1693923264.461823,6,4.5279693697547314e-07,0.6233990564915641,0.004831526165259104,0.9848770356499675,0.7338981313957814,5.67741649051088,9.276120785552434e-05,0.011017852482652753
42,0.6772537823738036,0.6705235289521697,1693923264.7023168,6,6.356215640180437e-07,0.6520261913034976,0.0017748498435360383,0.9756570939373893,0.7303454601717227,5.935649516859134,9.384535189147275e-05,0.03768528640088497
43,0.6770066163396364,0.6710131029425642,1693923264.9482248,6,6.575651722586694e-07,0.6154328375067698,0.00169513958164802,0.9972441111673148,0.7317238909206124,0.6211626632141612,8.792052235090282e-05,0.037165422604520625
44,0.6765335211044654,0.6704170484998263,1693923265.1912994,6,8.323751690909315e-07,0.6162827533700775,0.004250733429953359,0.9785496236536856,0.7749118789559242,3.454781485503016,4.9381205630108136e-05,0.0629747050827116
45,0.6758738146606132,0.6697266593483566,1693923265.4232018,5,5.174862823746471e-08,0.5480859895842636,0.0021424930644740846,0.9755416624886846,0.7469089831071268,0.2905783928087022,3.3952264916293034e-05,0.14447878008609444
46,0.6614487170564691,0.65153666989053,1693923265.6782882,7,2.951990406715843e-07,0.6563117254998236,0.0053137925837039935,0.9623311067541162,0.8257532494295379,41.709162992627085,3.7068870618781767e-06,0.008283273706085769
47,0.6704400851793173,0.6627370282904895,1693923265.8890803,3,5.058848415347683e-08,0.5816369250775866,0.0069871284226666695,0.9973838615934376,0.8032203394855721,8.201273657687185,0.00011329301215075946,0.025721631530824258
48,0.6579273260217221,0.648504605348731,1693923266.1207664,6,6.918162916627607e-07,0.6015910233862585,0.00046776139879789463,0.891737247528301,0.7052956865320731,68.5150802592534,0.00042525728296377054,0.28353302018285687
49,0.6753034052622314,0.6693381892206884,1693923266.3567436,5,2.8791464768650677e-08,0.63063572027793,0.0029218943751641753,0.9504023748707153,0.7357825183968261,0.8361401063723761,1.800357183232464e-05,0.04250195564031455
50,0.6751404189643385,0.6680459724787963,1693923266.579265,4,2.0588685064112364e-07,0.5693930976143384,0.012042655789458748,0.9798848323137097,0.7605832665360427,0.0001628758456000626,0.0014071534596718364,0.0080712053406113
51,0.6774702445527949,0.6707710826315608,1693923266.8248441,6,4.446277614578157e-06,0.6587118916452865,0.0015677470008764415,0.9972377519215915,0.7225708533386241,0.961130898903706,9.771249912636723e-05,0.02824926810234409
52,0.6741051020254992,0.6704456560143914,1693923267.0909505,8,1.9847763096759327e-06,0.6631370235828239,0.0012945146270242054,0.977766097655322,0.6940486760943853,0.45575826212165393,9.76214897613121e-05,0.06391954668380455
53,0.6755252406158784,0.6687615384564307,1693923267.3309977,6,9.771834902657748e-06,0.6104765834977272,0.0007928088551397675,0.9457993248000736,0.7282225866806248,6.522132079277222,7.482521876927558e-06,0.0031303957062845836
54,0.6612057301581453,0.6507656780062108,1693923267.579872,7,1.1238185032382217e-08,0.6358145850666541,0.0017658195767304811,0.9271416613293535,0.7711777631608722,40.686197473297455,3.908237243717848e-05,0.008644548111543096
55,0.6764571026204718,0.6703284777164985,1693923267.8151455,5,7.373205456527706e-07,0.5829929913187932,0.0031182537457608416,0.9978619213743336,0.7125381489263111,1.5597529272776152,0.00033747669325610055,1.3020772337683728
56,0.6768517324479706,0.6693006453161772,1693923268.0497377,6,1.893853358396369e-07,0.5359436530981361,0.007741681227771843,0.9117205909442386,0.6485634682413588,4.556178450247382,7.202378377370196e-05,0.1697215347920256
57,0.6736146079390617,0.6660524750719911,1693923268.3097916,8,3.622428469078353e-05,0.6508887631912676,0.003926731599473624,0.9475598880959892,0.7517622175747724,11.666219895543927,0.0007194403640022384,0.04173570430931793
58,0.674652909974932,0.6706060130302709,1693923268.5596845,7,5.340384974323009e-06,0.622095759671717,0.0018617275797388425,0.9717736078768046,0.6901324087160873,1.786472471191775,1.1250446974884077e-05,0.015174494351117377
59,0.6760972704955056,0.6688603090821537,1693923268.787623,5,4.603793095427069e-07,0.5901535619986241,0.0007137060470149668,0.8817081857260338,0.6789147136580097,0.056011594246566807,0.0054033985824407625,0.0038270133607797093
60,0.6696133838787021,0.6633739282142102,1693923269.0087278,4,2.818199597108221e-08,0.6740777984944011,0.0004477067162950856,0.9846113216902823,0.7283638435460006,17.739500488540607,0.0024657055826516785,0.7663867039651417
61,0.6780015918243139,0.6697084361217992,1693923269.2453651,6,1.756693219722099e-07,0.5361650699833279,0.0059354358127594545,0.914620384361515,0.6513575252390076,4.298512750708245,8.374309452141354e-05,0.18661504597638787
62,0.6518222908623963,0.6406683504829634,1693923269.4734502,6,1.5589993587253874e-06,0.6030956425002918,0.002675309245812233,0.9589441524853117,0.6674614347992175,95.83452196872533,0.00015184478620461104,0.10237339837185569
63,0.6809634903869641,0.6705747310543184,1693923269.7018754,5,1.1241387484771878e-07,0.5363233571564918,0.005564186503101588,0.9221498933780121,0.700002826095082,3.3754907025580136,2.489745274268391e-05,0.02861559386287281
64,0.6791618563960224,0.6711844068055709,1693923269.9361935,5,9.826583908279812e-08,0.523190076314304,0.01687185762803112,0.9179027506636533,0.702265243112814,4.071421041780161,2.661553655708582e-05,0.2406957239307422
65,0.6790025375030533,0.6704596185472901,1693923270.1665928,5,1.1317709509671086e-07,0.5325830380186911,0.01597203342953466,0.9252985580656352,0.7007303276404137,2.147288642355614,5.246601716647858e-06,0.24511271850217214
66,0.6689274938694635,0.6613121121523763,1693923270.370081,3,8.043438846504321e-08,0.520300739409583,0.01933937336884191,0.9177853322831471,0.6477390710267845,1.9737630016604266,6.4295370979514e-06,0.27336474915710396
67,0.6706811104424494,0.66281165498548,1693923270.5961463,5,2.508740103745552e-08,0.5220741997051944,0.009575239424982857,0.9064649300519092,0.7065622242672289,16.04031428816489,2.5053782183659315e-06,1.89853489050974
68,0.676105117036273,0.6689948990459071,1693923270.8083644,4,1.3375428474588196e-07,0.5120860027715185,0.013512964233810949,0.8817775721990823,0.6331480765120657,3.660464493197436,2.8500684065038706e-05,0.5847669641674949
69,0.6608697788094273,0.6512702843140589,1693923271.0058937,2,1.6218854145310905e-08,0.501223480683925,0.020535725591348895,0.9332825552189516,0.6671606986076838,39.668649722748235,1.2543282246214048e-05,3.7148319180690748
70,0.67848108369598,0.671755551868283,1693923271.231558,5,1.1400950873643134e-07,0.5662445034599416,0.03395223686773274,0.8926595459261532,0.689836191383421,1.8407675918362265,1.3081216965063537e-06,0.17913157666732407
71,0.6758939427434508,0.6709690204410744,1693923271.4584763,5,1.1952366061109122e-07,0.5364846233831878,0.028184999077756213,0.8952501729512535,0.6962546301317024,1.6008394495913942,1.6866201385732536e-06,0.14975036427317243
72,0.6781301215736203,0.6708100928786951,1693923271.6910317,5,5.01974877678302e-08,0.5639841883328901,0.009866844554917289,0.8603203713918115,0.6832425945108581,0.3864825380636816,5.152675988032678e-07,0.0796953661206059
73,0.6772858508447653,0.6699972687293638,1693923271.9025245,4,2.4433895295508056e-07,0.5643968924347853,0.015859438320626248,0.9169895497329245,0.6886047083767207,0.3358312214905069,5.470460321331515e-07,0.09195965216581303
74,0.6779144269910085,0.6712005181298603,1693923272.128945,5,4.047941387330201e-08,0.5552314906706187,0.00920712574360328,0.8517722093017799,0.706407954623424,0.6405128597348364,1.311753497930243e-07,0.2555013135245283
75,0.6764598318520428,0.6701066265332687,1693923272.3502722,5,3.1847557903127806e-08,0.5561009694922596,0.009532342620028927,0.8641233448611284,0.6648372901235815,3.4097140036423443,1.6318030161671224e-07,0.21666569302445174
76,0.6789838593244879,0.671314108960582,1693923272.5717895,5,7.531766340047173e-08,0.5707370117790027,0.032919309451807884,0.8412399964039554,0.7065026947281492,0.5924084507083701,1.922790623088823e-07,0.3411179996241744
77,0.6777005234666154,0.6715373065967859,1693923272.7950456,5,1.111631450830533e-08,0.5358847818231421,0.045772064397122954,0.8804785225540702,0.6845384290471389,0.16318493944319767,1.2450586019371587e-06,0.4729109538166264
78,0.6747711198173599,0.6657615213398779,1693923273.0074208,4,1.1736219568806386e-07,0.5728229344192216,0.02514465973604432,0.8374150309954178,0.6752179261581275,11.302230753226574,3.7759292983234636e-06,0.09088193449436589
79,0.676760985498228,0.6706958564883282,1693923273.220601,4,1.464281776221305e-06,0.527708372330696,0.03523244879054242,0.8697875288897282,0.6430349490019691,2.295183295907,6.033996863177247e-07,0.06854343293791194
80,0.67896424297257,0.6701245915359679,1693923273.4433653,5,6.545834493777117e-08,0.5483930164019682,0.015479198429450119,0.8981669033769274,0.6570300628245261,0.41057230948894574,2.356090951016473e-06,0.955016196773816
