trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693595194.52855850,0,0,0,0,0,0,0,0,0
0,0.6568922254799245,0.6573202312957303,1693595194.966178,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.6585337440446818,0.655055782823269,1693595195.4029138,9,1.861124137551614e-08,0.8168241174631377,0.05546505049361988,0.7492535061512953,0.6123983227654238,9.563759526973396e-07,0.40300192627116094,4.910303832962881e-07
2,0.6369644756605068,0.6286047662179971,1693595195.7117105,1,8.122274050843789,0.9766966730974682,1.046505057794038e-05,0.7560961316928883,0.9063104808260567,0.01334322066549959,0.16502630445045147,8.293936036104634e-06
3,0.6642380643233853,0.6606252201490477,1693595197.1270468,11,19.475346092319793,0.7712721840056307,5.138664194679253e-05,0.6866703800257346,0.8370668075331726,0.00026201837219340553,0.00021884666527130592,0.01505461954644427
4,0.6591720282467531,0.6589901302140321,1693595197.607637,6,2.8520909141542377,0.8005194767022722,0.10619791350957802,0.7608235761968171,0.9543244404043341,1.5572591447800067e-05,8.027743594569378e-08,1.0162500181582044e-05
5,0.6053138647097088,0.6051787166851984,1693595197.9743733,2,592.730454677773,0.5234481596946249,0.013534298216580247,0.7737930779596218,0.9096434978350343,9.760574862421093e-07,3.7025678398776036,3.284932079269039e-05
6,0.6596901406561617,0.6563470947177956,1693595198.4258728,9,7.038857764707208e-05,0.9419682397805931,0.0004241878151176135,0.5825079488595742,0.6962646219732936,8.602085315767334e-08,1.6257605403637159,3.247283429798376e-07
7,0.5,0.5,1693595198.768248,5,18853.381651817843,0.9938127374509361,0.001912153423910879,0.91306142192137,0.6256870671035297,0.009412749094198732,10.673764174960096,0.002216049658169263
8,0.661172007046329,0.6550311240322969,1693595199.1886306,7,3.240880173227432e-08,0.6785908793172681,2.500722207115075e-05,0.6527299591714091,0.665359655991066,0.547397692188383,2.5095282382096167e-08,0.00019720675381842506
9,0.6574392180591271,0.6532168732974684,1693595199.6279826,4,1.8809829540407301,0.6731735750400165,1.6424296669437108e-05,0.9399575872589581,0.8816202935718405,6.0390194346543735,0.00014965507137173735,0.011370397405663523
