trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596135.02502850,0,0,0,0,0,0,0,0,0
0,0.013044091997656437,0.005075920275348866,1693596135.1301672,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2841229674806085,-0.26424446390357725,1693596135.2222896,5,2.172906373407696e-08,0.7748312389393546,0.0015017995265951538,0.7101839010437445,0.6651674105019371,1.112977386395679e-06,0.01558510252222362,9.920800965244338e-06
2,-0.292502458338356,-0.2720858571699325,1693596135.309573,3,1.187790441340144,0.7645710471385195,4.708685960549632e-05,0.7567890606328732,0.5922199328234576,0.7134301815779208,3.4653964518555913,0.0008757262618707403
3,-0.2926522399403664,-0.27222635143707796,1693596135.397165,10,1.0849037269315996e-07,0.752623045060852,2.1204719013178307e-05,0.7140611637986947,0.5482654578303063,1.8689587538335184e-07,0.009277972689158196,1.8202037553340975e-06
4,-0.2802901074974058,-0.26065575018225684,1693596135.486624,2,7.311065788565077e-06,0.6749131425016497,0.002182415426974914,0.6008716131324827,0.8202033626074574,0.0006771710069246091,0.0011281509155511395,7.394801338955241e-05
5,-0.1530415838243353,-0.1419584659118076,1693596135.5788062,9,0.34678022609057996,0.5811492992511569,0.03189787362045474,0.9822755400446276,0.7500041805851083,7.8559848898666775,2.6069729606071557e-05,0.004692899743405533
6,-0.26629784091299413,-0.24755774845034328,1693596135.66723,5,0.004761178012767861,0.8882795924985502,0.004764538794676591,0.9768711134724333,0.7721040800740511,6.621390825772811e-08,4.607061574576499e-05,3.224816743524893
7,-0.292648670750578,-0.27222350271874896,1693596135.764224,5,2.257515582082828e-08,0.6235886194986766,2.166316231158394e-05,0.9969260057106364,0.9852901566885868,1.0059664836452487,0.010427284283418707,0.44627093679379526
8,-0.2892549475083366,-0.2690457766295815,1693596135.8534517,2,6.446173844347787e-05,0.762033437650182,0.000606905964470846,0.5228394826227001,0.9915767226786063,0.00025914879486117515,0.0010964892893556906,1.719543533748475e-05
9,-0.10880350095018865,-0.10068557494706631,1693596135.9400182,3,0.0010704552319721462,0.9160084498172505,0.04827644495354312,0.6896052834708187,0.5065086683472753,0.9419967194117421,4.941831985203758e-06,0.006711952668910744
10,0.014147119793132767,0.006367873943211033,1693596136.0614812,8,519.5887841449027,0.9937705520227542,0.7404920999821625,0.8648360145721091,0.8832573138607819,1.1204187618081372e-08,4.70110672861146e-08,1.9932072833807017e-08
11,0.013636199988397268,0.0064672525565163674,1693596136.180062,8,1071.0016877121966,0.999730480719438,0.9678299354544022,0.8573559144133687,0.9142164019974712,1.2296523042065702e-08,3.389393702822316e-08,1.045113363365278e-08
12,-0.0002730347091901564,-9.553609110146688e-05,1693596136.2945914,8,3965.3833316382447,0.9970187724067701,0.44410969435355097,0.8563455024996814,0.8831823979365346,1.620932469288204e-08,1.4144385781273827e-08,5.153224028187745e-08
13,-0.29277548936707354,-0.27234194729343253,1693596136.4095485,11,46495.30171856738,0.9026250023335635,0.4405802231180723,0.8550351061275416,0.880594903575702,2.5345411778881304e-06,1.3471337139310025e-08,1.450789612021122e-08
14,0.013759396851212968,0.006436001604090302,1693596136.5333207,8,188.5415464053218,0.5208060941126074,0.6486485246812407,0.8792226735500873,0.9030336796142235,1.0535468592051342e-08,2.4602933946040203e-07,1.1756443568723016e-08
15,-0.0570112795113249,-0.054068037737538654,1693596136.6590357,7,69.79617713113318,0.5203582558658004,0.07637186862177199,0.906537721931313,0.8290746692135615,6.2825434926215886e-06,2.753859902078523e-07,2.496068123008927e-07
16,-0.015435873718267379,-0.017275580450260675,1693596136.7864196,9,31.924279181303348,0.691107883402724,0.12004592795426546,0.7922239721821409,0.9139212279019588,1.7698129741201794e-08,3.387708277864982e-07,3.569878867228658e-07
17,-0.29277548936707354,-0.27234194729343253,1693596136.9024928,11,95125.56947205302,0.5034620399189702,0.9452794773387267,0.9150306068304951,0.7081030538682408,1.6726258487752818e-07,7.595833265712819e-07,1.3093729108802804e-08
18,-0.21410231152830206,-0.1989516197135568,1693596137.0271473,7,78.07492967751418,0.8215613331210728,0.015457628294806881,0.7975925041139633,0.8197724872788252,3.462845299203584e-05,5.976558824970529e-06,2.445662697572869e-07
19,0.006144826308845053,0.002319095668450344,1693596137.1465151,9,1647.0387735681174,0.6954714841863576,0.20252190604797787,0.9166054341237531,0.9422567587726212,1.0639357117658718e-08,3.14663515045697e-07,1.1892369441879525e-06
20,-0.01017559306730531,-0.012842981826958866,1693596137.2768152,7,8.63182488005809,0.572684666859015,0.1308762051423616,0.8146029712044907,0.8585152630720801,4.494809655300791e-07,5.473597831781806e-08,7.678451571304293e-08
21,0.013406128177394394,0.006364021039382828,1693596137.3962233,8,951.607153674435,0.9461785530423554,0.712906315196906,0.8623733190002986,0.9273815699065573,1.5038872162679317e-08,3.252471902390021e-08,1.0277278878930634e-08
22,0.013615996682612375,0.006161078657972996,1693596137.5195484,8,414.2959128461771,0.9579025766416309,0.8600809342979774,0.9015072771609298,0.9398907293538432,1.0606558682883938e-08,8.98603180974917e-08,1.0056903018933909e-08
23,-0.0014861742638945241,-0.0009782900518320314,1693596137.635892,10,4952.015684458621,0.8614108608034161,0.26540480900353575,0.8245540032805767,0.8946799863455683,2.1687015494787165e-07,1.2408837743699823e-08,6.755373676371603e-08
24,0.009180287255147745,0.0029998253321765755,1693596137.7655578,6,6.35996343466328,0.8387650798996029,0.21538693301440048,0.9382155293776396,0.8563712121349474,7.996906281486577e-08,2.270098647109632e-06,1.2311081793332315e-08
25,0.013544926130612311,0.006008487520085093,1693596137.888473,10,257.99847706619823,0.9493278486052086,0.8721617979381593,0.8705341309388777,0.7951909435878692,1.3338056812606583e-06,3.3973921518284695e-07,1.0681700857311432e-06
26,-0.29277548936707354,-0.27234194729343253,1693596138.0055795,8,17125.30879557488,0.8155235788295745,0.0888032477114947,0.8341187113411501,0.9567247372846259,6.775174492477335e-08,8.610019653908404e-08,9.744807566476424e-08
27,-0.00023363620603267243,-7.3361124589999e-05,1693596138.122342,7,6337.413942699017,0.8744604983048013,0.42749150725746143,0.9488194321275292,0.9041790965501154,1.0363813188447994e-08,7.089661495985655e-08,6.44848121728375e-08
28,-0.1736712828061333,-0.1614492255847655,1693596138.2518494,9,0.12543864462420098,0.9201142659670742,0.0255228691455589,0.8860510025431886,0.8549007287905472,4.7421339528879005e-07,1.3978109166978287e-06,4.324384455492734e-07
29,0.01198848092680549,0.005031756504991769,1693596138.37727,6,4.222054792125607,0.9847150807109943,0.2638356821910941,0.7662262644333513,0.9592495266661932,5.5589825236863845e-06,38.351371258329785,3.354237822041202e-06
30,-0.004580538453549332,-0.0076697219080115175,1693596138.5023358,4,234.87315593380353,0.9779055084985088,0.14450637628769541,0.9516181777080455,0.9982250536332589,4.6139412127073166e-08,1.0005526737118165e-08,3.247678214935264e-08
31,0.013878329316622029,0.006414762828785725,1693596138.6258554,8,792.0274626611152,0.9603322816038964,0.9074403610171349,0.8932867540958964,0.9315637636580567,1.1595255581925234e-08,1.0186373448970972e-07,1.0510620156379306e-08
32,0.01331121196176166,0.0064770913759713,1693596138.7461133,8,1212.88509955146,0.9379241732650058,0.4553618275363821,0.8780138362968591,0.9265606191558207,5.3443478070560555e-08,1.1733618792716976e-07,4.2166607889454673e-08
33,-0.29277548936707354,-0.27234194729343253,1693596138.8634417,7,22907.793355797694,0.9910801672382441,0.37419865481264364,0.8323255190171023,0.9643734797797158,4.3805736646212044e-07,9.150273318589841e-07,1.3028966741691992e-08
34,0.01415586083964171,0.005669080379177238,1693596138.9918437,9,40.0128482517183,0.9992099969448969,0.7152495203052349,0.9314056352280793,0.9124950622219936,4.310827775510336e-08,5.557349949951325e-08,1.9083827038166008e-07
35,0.011481626039276938,0.004522968129218152,1693596139.1200373,10,41.85637256624137,0.9646769385557696,0.24907354179961608,0.9260818786103872,0.8855781018238025,5.778946868032697e-08,1.674039095937682e-05,2.0562544634017586e-07
36,-0.06325126468308806,-0.05994468914321227,1693596139.2505043,9,1.306956270833639,0.9195747413775317,0.07093948424479635,0.8929748642565184,0.9665351869669644,1.4619464655073217e-07,6.628344268708044e-05,1.500959677742921e-07
37,0.014458825095179706,0.005668765548239585,1693596139.3830702,10,16.33588997597914,0.7299639028697047,0.562967166686928,0.9635854380349493,0.9361438787751833,4.157719746780226e-08,0.00021513990144504238,7.577265849130843e-07
38,0.001484597389974418,-0.002824477747829013,1693596139.5147448,11,13.954270785979952,0.9604245728038625,0.16430487700497717,0.9660089410463215,0.9464979124862551,7.780711887171123e-07,0.00013755102698955078,7.176658154727798e-07
39,0.014079605355081681,0.005609423570513972,1693596139.6478224,10,0.8886832979023926,0.7887988983113885,0.3962311499121564,0.9900759426833297,0.9776226836569561,4.589860181067277e-08,0.061106588310446595,5.135040103257323e-06
