trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693596021.13958620,0,0,0,0,0,0,0,0,0
0,-0.21383233809025537,-0.028540290339404306,1693596021.322954,6,1,1,0.3,1,1,1e-20,1,1e-20
1,-0.2626541097965194,-0.2706397944359955,1693596021.4880538,5,2.172906373407696e-08,0.7748312389393546,0.0015017995265951538,0.7101839010437445,0.6651674105019371,1.112977386395679e-06,0.01558510252222362,9.920800965244338e-06
2,-0.27069533380878497,-0.27901838918923905,1693596021.6384714,3,1.187790441340144,0.7645710471385195,4.708685960549632e-05,0.7567890606328732,0.5922199328234576,0.7134301815779208,3.4653964518555913,0.0008757262618707403
3,-0.27083921068763606,-0.279164244588032,1693596021.8517988,10,1.0849037269315996e-07,0.752623045060852,2.1204719013178307e-05,0.7140611637986947,0.5482654578303063,1.8689587538335184e-07,0.009277972689158196,1.8202037553340975e-06
4,-0.25904092019125047,-0.2670391988140832,1693596021.9980755,2,7.311065788565077e-06,0.6749131425016497,0.002182415426974914,0.6008716131324827,0.8202033626074574,0.0006771710069246091,0.0011281509155511395,7.394801338955241e-05
5,-0.15984453612724803,-0.1450552742382778,1693596022.226418,9,0.34678022609057996,0.5811492992511569,0.03189787362045474,0.9822755400446276,0.7500041805851083,7.8559848898666775,2.6069729606071557e-05,0.004692899743405533
6,-0.24587235383468964,-0.25277777825583136,1693596022.3969383,5,0.004761178012767861,0.8882795924985502,0.004764538794676591,0.9768711134724333,0.7721040800740511,6.621390825772811e-08,4.607061574576499e-05,3.224816743524893
7,-0.27083711619773876,-0.2791612226413065,1693596022.5830183,5,2.257515582082828e-08,0.6235886194986766,2.166316231158394e-05,0.9969260057106364,0.9852901566885868,1.0059664836452487,0.010427284283418707,0.44627093679379526
8,-0.26759984251045643,-0.2758344394967973,1693596022.7311823,2,6.446173844347787e-05,0.762033437650182,0.000606905964470846,0.5228394826227001,0.9915767226786063,0.00025914879486117515,0.0010964892893556906,1.719543533748475e-05
9,-0.0915826240067168,-0.09676145911254586,1693596022.88069,3,0.0010704552319721462,0.9160084498172505,0.04827644495354312,0.6896052834708187,0.5065086683472753,0.9419967194117421,4.941831985203758e-06,0.006711952668910744
10,-0.2709598186106372,-0.2792883384388065,1693596023.0522153,8,8395.134325479103,0.5055588790073944,0.6565945388470559,0.8327678923238666,0.5392320513185636,58.46068010779832,1.9304015457431958e-08,40.38188953711194
11,-0.13763085733932434,-0.10049214767972003,1693596023.2962253,11,0.06294989547801805,0.8891350816563748,0.04944641842217218,0.8815975315533263,0.5034354502879981,84.25271256673184,4.986953095423423e-06,0.02469053618887042
12,-0.1342090101219977,-0.08365962457869958,1693596023.5367804,11,0.002580430049180794,0.8858226705087259,0.05886535945240718,0.8674911832582646,0.5090330596853225,78.4802379556655,1.5627528549407224e-06,0.0486171583510175
13,-0.15051318519160262,-0.07736053483290717,1693596023.7635067,8,0.0003292292474619405,0.870989003369039,0.061036314803679714,0.807190158816822,0.6223177036408275,0.8039382624513265,2.1918877826307658e-07,0.13417063249809796
14,-0.008075225731089875,-0.0034600796502946007,1693596023.943289,3,0.0033882389127360734,0.9900382139329307,0.17762216919589705,0.6526827539828703,0.5170501226839802,78.00416304909392,1.4141381773395292e-06,0.034182871840866276
15,0.024955693558461056,0.01602827464999923,1693596024.1131008,1,4.701749671440266e-06,0.9895990964008645,0.523155251943204,0.6438539815201912,0.6483198179936224,0.16062469017457778,2.6857528262989717e-08,0.002433452453832764
16,0.022917677580707063,0.01416875115534344,1693596024.2828553,1,4.9404238867723735e-06,0.984003703392144,0.9207120635468079,0.6326708042444714,0.6789071943813942,0.042714873588444065,1.0879410579552588e-08,0.0005857332596270663
17,0.02270395218880039,0.012343707925252967,1693596024.4534671,1,6.198246150902039e-06,0.9590659095003606,0.9060298475695755,0.6114160194013487,0.6839773354893591,0.03728844551206725,1.141104196717999e-08,0.0005936286300469708
18,0.023271714679972577,0.012089385593770152,1693596024.6211345,1,8.694005661234871e-07,0.8368359701297297,0.7994066783963915,0.5342290208015453,0.68517048755466,0.022946031691272434,8.996443089672193e-08,0.00033596848145090043
19,-0.018465596801356066,0.009838596192437654,1693596024.8060622,4,3.5630049675111873e-07,0.8080881511750566,0.30726662234823743,0.509079586961062,0.6046475527766421,0.023152909707098185,2.5683555157017517e-07,0.00012408350591764386
20,0.014365973230783258,0.009926950954836866,1693596024.9775531,1,5.07682603167377e-07,0.8226578767556573,0.2107072194611794,0.5638198363795595,0.7113148753799374,0.00624387827720856,1.0719319887927634e-07,0.006219799642922256
21,0.025830011350684745,0.016952977367774125,1693596025.1500192,1,4.322864999770843e-06,0.9461785530423554,0.815212560307797,0.5660045422343949,0.6481311672824535,0.067899481838203,2.6739690963887886e-08,0.0006117037202249407
22,0.0246305945340195,0.011086380173233046,1693596025.3278735,2,3.9849388135043946e-05,0.9364345729533807,0.7444379612745623,0.5642428826244561,0.6364169788165261,0.3038476423270851,7.546288215028891e-08,0.0020409377445121776
23,0.016732123674362942,0.012719476161306531,1693596025.5047371,2,5.330276870103153e-05,0.9432478858208748,0.19915922304196795,0.5715059364145123,0.6337396963095725,0.1563930519205314,1.3194345686779448e-07,0.0032217954766642935
